LINE,
2,1.0
3,2.0
6,2.0
7,4.0
22,4.0
23,6.0
88,6.0
89,8.0
112,8.0
113,14.0
522,14.0
523,18.0
886,18.0
887,20.0
1128,20.0
1129,22.0
1326,22.0
1327,34.0
9550,34.0
9551,36.0
15682,36.0
15683,44.0
19608,44.0
19609,52.0
31396,52.0
31397,72.0
155920,72.0
155921,86.0
360652,86.0
360653,96.0
370260,96.0
370261,112.0
492112,112.0
492113,114.0
1349532,114.0
1349533,118.0
1357200,118.0
1357201,132.0
2010732,132.0
2010733,148.0
4652352,148.0
4652353,154.0
17051706,154.0
17051707,180.0
20831322,180.0
20831323,210.0
47326692,210.0
47326693,220.0
122164746,220.0
122164747,222.0
189695658,222.0
189695659,234.0
191912782,234.0
191912783,248.0
387096132,248.0
387096133,250.0
436273008,250.0
436273009,282.0
1294268490,282.0
1294268491,288.0
1453168140,288.0
1453168141,292.0
2300942548,292.0
2300942549,320.0
3842610772,320.0
3842610773,336.0
4302407358,336.0
4302407359,354.0
10726904658,354.0
10726904659,382.0
20678048296,382.0
20678048297,384.0
22367084958,384.0
22367084959,394.0
25056082086,394.0
25056082087,456.0
42652618342,456.0
42652618343,464.0
127976334670,464.0
127976334671,468.0
182226896238,468.0
182226896239,474.0
241160624142,474.0
241160624143,486.0
297501075798,486.0
297501075799,490.0
303371455240,490.0
303371455241,500.0
304599508536,500.0
304599508537,514.0
416608695820,514.0
416608695821,516.0
461690510010,516.0
461690510011,532.0
614487453522,532.0
614487453523,534.0
738832927926,534.0
738832927927,540.0
1346294310748,540.0
1346294310749,582.0
1408695493608,582.0
1408695493609,588.0
1968188556460,588.0
1968188556461,602.0
2614941710598,602.0
2614941710599,652.0
7177162611712,652.0
7177162611713,674.0
13829048559700,674.0
13829048559701,716.0
19581334192422,716.0
19581334192423,766.0
42842283925350,766.0
42842283925351,778.0
90874329411492,778.0
90874329411493,804.0
145508250945419,804.0
