LINE,
1073741824,5.4400028E7
2147483648,1.05097565E8
3221225472,1.54570516E8
4294967296,2.03280221E8
5368709120,2.51437996E8
6442450944,2.99164159E8
7516192768,3.46538918E8
8589934592,3.93615806E8
9663676416,4.40434411E8
10737418240,4.87025115E8
11811160064,5.3341722E8
12884901888,5.79626882E8
13958643712,6.25670302E8
15032385536,6.71562744E8
16106127360,7.17315988E8
17179869184,7.62939111E8
18253611008,8.08439121E8
19327352832,8.53829009E8
20401094656,8.99110448E8
21474836480,9.44293561E8
22548578304,9.89381581E8
23622320128,1.034379981E9
24696061952,1.07928971E9
25769803776,1.124116614E9
26843545600,1.168870145E9
27917287424,1.213548989E9
28991029248,1.258155266E9
30064771072,1.302690752E9
31138512896,1.347163648E9
32212254720,1.391572698E9
33285996544,1.435920889E9
34359738368,1.480206279E9
35433480192,1.524439493E9
36507222016,1.568616884E9
37580963840,1.612739532E9
38654705664,1.656810703E9
39728447488,1.700828803E9
40802189312,1.744803209E9
41875931136,1.78872603E9
42949672960,1.832604295E9
44023414784,1.876437828E9
45097156608,1.920231108E9
46170898432,1.963976913E9
47244640256,2.00768124E9
48318382080,2.051346E9
49392123904,2.094974026E9
50465865728,2.138559265E9
51539607552,2.182112798E9
52613349376,2.225628124E9
53687091200,2.269107957E9
54760833024,2.312549293E9
55834574848,2.355957122E9
56908316672,2.399331967E9
57982058496,2.442673274E9
59055800320,2.485979261E9
60129542144,2.529258067E9
61203283968,2.572504405E9
62277025792,2.615718797E9
63350767616,2.658902274E9
64424509440,2.702060228E9
65498251264,2.745187056E9
66571993088,2.788284408E9
67645734912,2.831353826E9
68719476736,2.874398515E9
69793218560,2.917417992E9
70866960384,2.960405998E9
71940702208,3.003369753E9
73014444032,3.046308196E9
74088185856,3.089218931E9
75161927680,3.132108467E9
76235669504,3.174973041E9
77309411328,3.217817382E9
78383153152,3.260630455E9
79456894976,3.30342453E9
80530636800,3.346193285E9
81604378624,3.388938275E9
82678120448,3.431664007E9
83751862272,3.474368585E9
84825604096,3.517048757E9
85899345920,3.55970789E9
86973087744,3.602343508E9
88046829568,3.644960832E9
89120571392,3.687559633E9
90194313216,3.73013258E9
91268055040,3.772690071E9
92341796864,3.815227869E9
93415538688,3.857744016E9
94489280512,3.900242488E9
95563022336,3.942720532E9
96636764160,3.98517924E9
97710505984,4.027619764E9
98784247808,4.070044873E9
99857989632,4.112446915E9
100931731456,4.154834834E9
102005473280,4.19720541E9
103079215104,4.239555921E9
104152956928,4.281886047E9
105226698752,4.324202301E9
106300440576,4.366496458E9
107374182400,4.408777644E9
108447924224,4.451039448E9
109521666048,4.493288625E9
110595407872,4.535521975E9
111669149696,4.577741476E9
112742891520,4.619942224E9
113816633344,4.662126209E9
114890375168,4.704301989E9
115964116992,4.746455365E9
117037858816,4.788593523E9
118111600640,4.830716377E9
119185342464,4.87282382E9
120259084288,4.91491433E9
121332826112,4.956992098E9
122406567936,4.999062979E9
123480309760,5.041113848E9
124554051584,5.083151021E9
125627793408,5.125170256E9
126701535232,5.167175026E9
127775277056,5.209170515E9
128849018880,5.251149245E9
129922760704,5.293119033E9
130996502528,5.335072889E9
132070244352,5.377008495E9
133143986176,5.418934534E9
134217728000,5.460847403E9
135291469824,5.50274367E9
136365211648,5.54462902E9
137438953472,5.586502348E9
138512695296,5.628361931E9
139586437120,5.670213188E9
140660178944,5.712045912E9
141733920768,5.753869402E9
142807662592,5.795678074E9
143881404416,5.837478669E9
144955146240,5.879265188E9
146028888064,5.921041236E9
147102629888,5.962805809E9
148176371712,6.004561393E9
149250113536,6.04629609E9
150323855360,6.088021757E9
151397597184,6.129734866E9
152471339008,6.171436395E9
153545080832,6.213123043E9
154618822656,6.254807346E9
155692564480,6.296481317E9
156766306304,6.338141758E9
157840048128,6.379788292E9
158913789952,6.421425702E9
159987531776,6.463050406E9
161061273600,6.50466804E9
162135015424,6.546268726E9
163208757248,6.587861994E9
164282499072,6.629442337E9
165356240896,6.67101374E9
166429982720,6.712576203E9
167503724544,6.754128035E9
168577466368,6.795670672E9
169651208192,6.837203805E9
170724950016,6.878724465E9
171798691840,6.920237847E9
172872433664,6.961736781E9
173946175488,7.003227547E9
175019917312,7.044708638E9
176093659136,7.086178784E9
177167400960,7.127645494E9
178241142784,7.169094286E9
179314884608,7.210537326E9
180388626432,7.251971352E9
181462368256,7.293393773E9
182536110080,7.33480918E9
183609851904,7.376210536E9
184683593728,7.417604437E9
185757335552,7.458987282E9
186831077376,7.500363649E9
187904819200,7.541733151E9
188978561024,7.583090633E9
190052302848,7.624439319E9
191126044672,7.665775203E9
192199786496,7.707110326E9
193273528320,7.748432257E9
194347270144,7.789747063E9
195421011968,7.831051266E9
196494753792,7.872345857E9
197568495616,7.913634815E9
198642237440,7.954914502E9
199715979264,7.996189487E9
200789721088,8.03745217E9
201863462912,8.07870735E9
202937204736,8.119944397E9
204010946560,8.161178098E9
205084688384,8.202407098E9
206158430208,8.243628111E9
207232172032,8.284838978E9
208305913856,8.326045617E9
209379655680,8.367238393E9
210453397504,8.408427046E9
211527139328,8.449604292E9
212600881152,8.490771383E9
213674622976,8.531933662E9
214748364800,8.573089193E9
215822106624,8.614242043E9
216895848448,8.655380506E9
217969590272,8.696511548E9
219043332096,8.737633613E9
220117073920,8.778746765E9
221190815744,8.819857803E9
222264557568,8.860960033E9
223338299392,8.902049303E9
224412041216,8.943133801E9
225485783040,8.984211924E9
226559524864,9.025284288E9
227633266688,9.066346906E9
228707008512,9.107406711E9
229780750336,9.148446868E9
230854492160,9.189484331E9
231928233984,9.230516397E9
233001975808,9.271544483E9
234075717632,9.312565902E9
235149459456,9.353578158E9
236223201280,9.39458939E9
237296943104,9.435586848E9
238370684928,9.476581146E9
239444426752,9.5175652E9
240518168576,9.558542731E9
241591910400,9.599512761E9
242665652224,9.640472707E9
243739394048,9.681424428E9
244813135872,9.722373646E9
245886877696,9.763316005E9
246960619520,9.804252674E9
248034361344,9.845177481E9
249108103168,9.886097137E9
250181844992,9.927007675E9
251255586816,9.967920487E9
252329328640,1.000881716E10
253403070464,1.0049713727E10
254476812288,1.0090606737E10
255550554112,1.0131485262E10
256624295936,1.017235902E10
257698037760,1.0213226856E10
258771779584,1.0254089323E10
259845521408,1.0294944313E10
260919263232,1.0335793686E10
261993005056,1.0376638162E10
263066746880,1.0417477765E10
264140488704,1.045830779E10
265214230528,1.0499130652E10
266287972352,1.0539944975E10
267361714176,1.058075531E10
268435456000,1.0621557349E10
269509197824,1.0662360756E10
270582939648,1.0703154404E10
271656681472,1.0743942661E10
272730423296,1.0784723548E10
273804165120,1.0825497159E10
274877906944,1.0866266172E10
275951648768,1.0907026907E10
277025390592,1.0947783306E10
278099132416,1.0988535864E10
279172874240,1.10292786E10
280246616064,1.1070017255E10
281320357888,1.111074803E10
282394099712,1.1151474919E10
283467841536,1.1192196105E10
284541583360,1.1232914479E10
285615325184,1.1273623779E10
286689067008,1.131432494E10
287762808832,1.135502013E10
288836550656,1.1395708329E10
289910292480,1.1436394887E10
290984034304,1.147707466E10
292057776128,1.1517750672E10
293131517952,1.155841778E10
294205259776,1.1599081184E10
295279001600,1.1639738341E10
296352743424,1.1680391341E10
297426485248,1.1721037008E10
298500227072,1.1761676588E10
299573968896,1.1802318621E10
300647710720,1.1842946832E10
301721452544,1.1883570115E10
302795194368,1.1924189191E10
