LINE,
1,2.0
2,3.0
4,7.0
6,23.0
8,89.0
10,139.0
12,199.0
14,113.0
16,1831.0
18,523.0
20,887.0
22,1129.0
24,1669.0
26,2477.0
28,2971.0
30,4297.0
32,5591.0
34,1327.0
36,9551.0
38,30593.0
40,19333.0
42,16141.0
44,15683.0
46,81463.0
48,28229.0
50,31907.0
52,19609.0
54,35617.0
56,82073.0
58,44293.0
60,43331.0
62,34061.0
64,89689.0
66,162143.0
68,134513.0
70,173359.0
72,31397.0
74,404597.0
76,212701.0
78,188029.0
80,542603.0
82,265621.0
84,461717.0
86,155921.0
88,544279.0
90,404851.0
92,927869.0
94,1100977.0
96,360653.0
98,604073.0
100,396733.0
102,1444309.0
104,1388483.0
106,1098847.0
108,2238823.0
110,1468277.0
112,370261.0
114,492113.0
116,5845193.0
118,1349533.0
120,1895359.0
122,3117299.0
124,6752623.0
126,1671781.0
128,3851459.0
130,5518687.0
132,1357201.0
134,6958667.0
136,6371401.0
138,3826019.0
140,7621259.0
142,1.0343761E7
144,1.1981443E7
146,6034247.0
148,2010733.0
150,1.3626257E7
152,8421251.0
154,4652353.0
156,1.7983717E7
158,4.9269581E7
160,3.3803689E7
162,3.9175217E7
164,2.0285099E7
166,8.3751121E7
168,3.7305713E7
170,2.7915737E7
172,3.8394127E7
174,5.2721113E7
176,3.8089277E7
178,3.9389989E7
180,1.7051707E7
182,3.6271601E7
184,7.9167733E7
186,1.47684137E8
188,1.34065829E8
190,1.42414669E8
192,1.23454691E8
194,1.66726367E8
196,7.0396393E7
198,4.6006769E7
200,3.78043979E8
202,1.07534587E8
204,1.12098817E8
206,2.32423823E8
208,1.92983851E8
210,2.0831323E7
212,2.15949407E8
214,2.53878403E8
216,2.02551667E8
218,3.27966101E8
220,4.7326693E7
222,1.22164747E8
224,4.09866323E8
226,5.19653371E8
228,8.95858039E8
230,6.07010093E8
232,5.25436489E8
234,1.89695659E8
236,2.16668603E8
238,6.73919143E8
240,3.91995431E8
242,3.67876529E8
244,6.93103639E8
246,5.55142061E8
248,1.91912783E8
250,3.87096133E8
252,6.30045137E8
254,1.202442089E9
256,1.872851947E9
258,1.316355323E9
260,9.44192807E8
262,1.649328997E9
264,2.357881993E9
266,1.438779821E9
268,1.579306789E9
270,1.391048047E9
272,1.851255191E9
274,1.282463269E9
276,6.49580171E8
278,4.260928601E9
280,1.855047163E9
282,4.36273009E8
284,1.667186459E9
286,2.842739311E9
288,1.294268491E9
290,1.948819133E9
292,1.453168141E9
294,5.692630189E9
296,5.260030511E9
298,8.650524583E9
300,4.758958741E9
302,6.675573497E9
304,2.433630109E9
306,3.917587237E9
308,5.490459101E9
310,4.024713661E9
312,6.570018347E9
314,8.948418749E9
316,1.2109172293E10
318,4.372999721E9
320,2.300942549E9
322,7.961074441E9
324,1.0958687879E10
326,5.837935373E9
328,1.3086861181E10
330,6.291356009E9
332,5.893180121E9
334,3.0827138509E10
336,3.842610773E9
338,2.2076314313E10
340,8.605261447E9
342,1.2010745569E10
344,1.9724087267E10
346,1.1291401837E10
348,1.7002876643E10
350,1.6808773277E10
352,3.0750892801E10
354,4.302407359E9
356,2.4355072517E10
358,1.6792321339E10
360,2.0068818197E10
362,3.5877724601E10
364,2.5425617317E10
366,2.0108776097E10
368,5.1430518413E10
370,5.9942358571E10
372,2.0404137779E10
374,2.3064761663E10
376,1.6161669787E10
378,3.8116957819E10
380,2.3323808741E10
382,1.0726904659E10
384,2.0678048297E10
386,3.5238645587E10
388,1.56798792223E11
390,5.3241805651E10
392,1.17215204531E11
394,2.2367084959E10
396,5.0806025873E10
398,4.0267027589E10
400,4.7203303159E10
402,4.4293346177E10
404,1.44999022043E11
406,4.9306638307E10
408,1.34664608389E11
410,9.8276144093E10
412,1.24221464119E11
414,4.9914935177E10
416,1.21972158437E11
418,1.29300694603E11
420,8.2490815123E10
422,2.80974865361E11
424,2.64495345259E11
426,1.80265084403E11
428,2.19950168411E11
430,2.50964194171E11
432,8.7241770619E10
434,1.27084569923E11
436,3.67459059871E11
438,1.01328529441E11
440,1.41846299801E11
442,4.17470554687E11
444,3.6172730063E10
446,1.90418076203E11
448,4.02872474743E11
450,6.3816175447E10
452,4.66855187471E11
454,2.02530831163E11
456,2.5056082087E10
458,3.04040251469E11
460,1.31956235563E11
462,4.00729567081E11
464,4.2652618343E10
466,5.65855695631E11
468,1.27976334671E11
470,6.81753256133E11
472,8.65244709607E11
474,1.82226896239E11
476,7.25978934347E11
478,3.67766547571E11
480,4.82423533897E11
482,1.051602787181E12
484,7.67644374817E11
486,2.41160624143E11
488,1.275363152099E12
490,2.97501075799E11
492,9.10361180689E11
494,8.04541404419E11
496,8.80318998907E11
498,4.28315806823E11
500,3.03371455241E11
502,1.258535916601E12
504,7.47431049203E11
506,1.339347750707E12
508,1.841086484491E12
510,2.209016910131E12
512,1.999066711391E12
514,3.04599508537E11
516,4.16608695821E11
518,2.296497058133E12
520,2.336167262449E12
522,1.214820695701E12
524,2.256065636039E12
526,1.620505682371E12
528,1.529741785139E12
530,2.205492372371E12
532,4.61690510011E11
534,6.14487453523E11
536,5.371284217763E12
538,2.122536905311E12
540,7.38832927927E11
542,2.707053887651E12
544,2.652427555639E12
546,2.164206784721E12
548,3.380058341279E12
550,2.496646209271E12
552,2.210401546601E12
554,3.621153039299E12
556,4.338624362173E12
558,5.263973982823E12
560,4.260199366373E12
562,2.081209441279E12
564,1.480064231153E12
566,4.897642179197E12
568,6.010330572331E12
570,4.442109925217E12
572,5.441175346967E12
574,3.108794067079E12
576,8.817792098461E12
578,7.552870120721E12
580,9.383081340541E12
582,1.346294310749E12
584,6.993007248239E12
586,6.364466316577E12
588,1.408695493609E12
590,2.0761252261751E13
592,3.410069454097E12
594,5.499789519863E12
596,1.0487995154603E13
598,5.614481773561E12
600,4.872634110067E12
602,1.968188556461E12
604,5.439564948583E12
606,1.2112937821403E13
608,2.0767330530329E13
610,9.105981382177E12
612,1.3397310636587E13
614,1.7418754709747E13
616,8.095224517651E12
618,4.165633395149E12
620,9.344093035661E12
622,1.3059969946711E13
624,2.4923033918059E13
626,3.3605480400197E13
628,3.4140047613391E13
630,1.2644461143649E13
632,4.5678685880759E13
634,1.7659394869309E13
636,9.483480841753E12
638,1.7499522060011E13
640,2.2099408494481E13
642,1.4141685364577E13
644,4.1433781612373E13
646,5.1027160468351E13
648,9.787731507761E12
650,5.120731250207E12
652,2.614941710599E12
654,5.4916086007427E13
656,6.5862966031241E13
658,3.9883132551139E13
660,1.0653514291843E13
662,1.1082394066097E13
664,3.8745678640849E13
666,1.8691113008663E13
668,2.8340177964929E13
670,4.7137733785861E13
672,2.6456514142099E13
674,7.177162611713E12
676,7.8610833115261E13
678,3.7970994487033E13
680,8.2385435331119E13
682,4.1459443375351E13
684,3.0236507704253E13
686,7.4014757794301E13
688,1.10526670235599E14
690,1.5712145060693E13
692,4.3603583701331E13
694,6.2088893223739E13
696,2.3333096984797E13
698,3.3785727371453E13
700,1.4998144209049E13
702,1.9786638118631E13
704,9.7731545943599E13
706,3.5625755878981E13
708,1.43679495784681E14
710,1.38965383978937E14
712,1.06749746034601E14
714,4.9639993268989E13
716,1.3829048559701E13
718,8.2342388119111E13
720,1.11113196467011E14
724,5.9692452738913E13
728,5.7723522921803E13
730,2.4179270588173E13
732,1.40085225001801E14
738,1.43282994823909E14
740,5.7360609786539E13
744,4.2610475373269E13
750,1.45508250945419E14
756,7.0099348325843E13
758,4.7581758352253E13
760,9.8103148488133E13
762,1.44895907074481E14
766,1.9581334192423E13
778,4.2842283925351E13
788,9.6949415903999E13
804,9.0874329411493E13
