LINE,
2,1.0
3,2.0
7,4.0
23,6.0
89,8.0
113,14.0
139,10.0
199,12.0
523,18.0
887,20.0
1129,22.0
1327,34.0
1669,24.0
1831,16.0
2477,26.0
2971,28.0
4297,30.0
5591,32.0
9551,36.0
15683,44.0
16141,42.0
19333,40.0
19609,52.0
28229,48.0
30593,38.0
31397,72.0
31907,50.0
34061,62.0
35617,54.0
43331,60.0
44293,58.0
81463,46.0
82073,56.0
89689,64.0
134513,68.0
155921,86.0
162143,66.0
173359,70.0
188029,78.0
212701,76.0
265621,82.0
360653,96.0
370261,112.0
396733,100.0
404597,74.0
404851,90.0
461717,84.0
492113,114.0
542603,80.0
544279,88.0
604073,98.0
927869,92.0
1098847,106.0
1100977,94.0
1349533,118.0
1357201,132.0
1388483,104.0
1444309,102.0
1468277,110.0
1671781,126.0
1895359,120.0
2010733,148.0
2238823,108.0
3117299,122.0
3826019,138.0
3851459,128.0
4652353,154.0
5518687,130.0
5845193,116.0
6034247,146.0
6371401,136.0
6752623,124.0
6958667,134.0
7621259,140.0
8421251,152.0
10343761,142.0
11981443,144.0
13626257,150.0
17051707,180.0
17983717,156.0
20285099,164.0
20831323,210.0
27915737,170.0
33803689,160.0
36271601,182.0
37305713,168.0
38089277,176.0
38394127,172.0
39175217,162.0
39389989,178.0
46006769,198.0
47326693,220.0
49269581,158.0
52721113,174.0
70396393,196.0
79167733,184.0
83751121,166.0
107534587,202.0
112098817,204.0
122164747,222.0
123454691,192.0
134065829,188.0
142414669,190.0
147684137,186.0
166726367,194.0
189695659,234.0
191912783,248.0
192983851,208.0
202551667,216.0
215949407,212.0
216668603,236.0
232423823,206.0
253878403,214.0
327966101,218.0
367876529,242.0
378043979,200.0
387096133,250.0
391995431,240.0
409866323,224.0
436273009,282.0
519653371,226.0
525436489,232.0
555142061,246.0
607010093,230.0
630045137,252.0
649580171,276.0
673919143,238.0
693103639,244.0
895858039,228.0
944192807,260.0
1202442089,254.0
1282463269,274.0
1294268491,288.0
1316355323,258.0
1391048047,270.0
1438779821,266.0
1453168141,292.0
1579306789,268.0
1649328997,262.0
1667186459,284.0
1851255191,272.0
1855047163,280.0
1872851947,256.0
1948819133,290.0
2300942549,320.0
2357881993,264.0
2433630109,304.0
2842739311,286.0
3842610773,336.0
3917587237,306.0
4024713661,310.0
4260928601,278.0
4302407359,354.0
4372999721,318.0
4758958741,300.0
5260030511,296.0
5490459101,308.0
5692630189,294.0
5837935373,326.0
5893180121,332.0
6291356009,330.0
6570018347,312.0
6675573497,302.0
7961074441,322.0
8605261447,340.0
8650524583,298.0
8948418749,314.0
10726904659,382.0
10958687879,324.0
11291401837,346.0
12010745569,342.0
12109172293,316.0
13086861181,328.0
16161669787,376.0
16792321339,358.0
16808773277,350.0
17002876643,348.0
19724087267,344.0
20068818197,360.0
20108776097,366.0
20404137779,372.0
20678048297,384.0
22076314313,338.0
22367084959,394.0
23064761663,374.0
23323808741,380.0
24355072517,356.0
25056082087,456.0
25425617317,364.0
30750892801,352.0
30827138509,334.0
35238645587,386.0
35877724601,362.0
36172730063,444.0
38116957819,378.0
40267027589,398.0
42652618343,464.0
44293346177,402.0
47203303159,400.0
49306638307,406.0
49914935177,414.0
50806025873,396.0
51430518413,368.0
53241805651,390.0
59942358571,370.0
63816175447,450.0
82490815123,420.0
87241770619,432.0
98276144093,410.0
101328529441,438.0
117215204531,392.0
121972158437,416.0
124221464119,412.0
127084569923,434.0
127976334671,468.0
129300694603,418.0
131956235563,460.0
134664608389,408.0
141846299801,440.0
144999022043,404.0
156798792223,388.0
180265084403,426.0
182226896239,474.0
190418076203,446.0
202530831163,454.0
219950168411,428.0
241160624143,486.0
250964194171,430.0
264495345259,424.0
280974865361,422.0
297501075799,490.0
303371455241,500.0
304040251469,458.0
304599508537,514.0
367459059871,436.0
367766547571,478.0
400729567081,462.0
402872474743,448.0
416608695821,516.0
417470554687,442.0
428315806823,498.0
461690510011,532.0
466855187471,452.0
482423533897,480.0
565855695631,466.0
614487453523,534.0
681753256133,470.0
725978934347,476.0
738832927927,540.0
747431049203,504.0
767644374817,484.0
804541404419,494.0
865244709607,472.0
880318998907,496.0
910361180689,492.0
1051602787181,482.0
1214820695701,522.0
1258535916601,502.0
1275363152099,488.0
1339347750707,506.0
1346294310749,582.0
1408695493609,588.0
1480064231153,564.0
1529741785139,528.0
1620505682371,526.0
1841086484491,508.0
1968188556461,602.0
1999066711391,512.0
2081209441279,562.0
2122536905311,538.0
2164206784721,546.0
2205492372371,530.0
2209016910131,510.0
2210401546601,552.0
2256065636039,524.0
2296497058133,518.0
2336167262449,520.0
2496646209271,550.0
2614941710599,652.0
2652427555639,544.0
2707053887651,542.0
3108794067079,574.0
3380058341279,548.0
3410069454097,592.0
3621153039299,554.0
4165633395149,618.0
4260199366373,560.0
4338624362173,556.0
4442109925217,570.0
4872634110067,600.0
4897642179197,566.0
5120731250207,650.0
5263973982823,558.0
5371284217763,536.0
5439564948583,604.0
5441175346967,572.0
5499789519863,594.0
5614481773561,598.0
6010330572331,568.0
6364466316577,586.0
6993007248239,584.0
7177162611713,674.0
7552870120721,578.0
8095224517651,616.0
8817792098461,576.0
9105981382177,610.0
9344093035661,620.0
9383081340541,580.0
9483480841753,636.0
9787731507761,648.0
10487995154603,596.0
10653514291843,660.0
11082394066097,662.0
12112937821403,606.0
12644461143649,630.0
13059969946711,622.0
13397310636587,612.0
13829048559701,716.0
14141685364577,642.0
14998144209049,700.0
15712145060693,690.0
17418754709747,614.0
17499522060011,638.0
17659394869309,634.0
18691113008663,666.0
19581334192423,766.0
19786638118631,702.0
20761252261751,590.0
20767330530329,608.0
22099408494481,640.0
23333096984797,696.0
24179270588173,730.0
24923033918059,624.0
26456514142099,672.0
28340177964929,668.0
30236507704253,684.0
33605480400197,626.0
33785727371453,698.0
34140047613391,628.0
35625755878981,706.0
37970994487033,678.0
38745678640849,664.0
39883132551139,658.0
41433781612373,644.0
41459443375351,682.0
42610475373269,744.0
42842283925351,778.0
43603583701331,692.0
45678685880759,632.0
47137733785861,670.0
