bucket bits,small size,segment start,sieve nanos
1,16,33,25677511156
1,16,36,35039487144
1,16,39,49684102145
1,16,42,68519927503
1,16,45,92520687934
1,16,48,121109025461
1,16,51,154272876953
1,16,54,190747579080
1,16,57,229214416028
1,16,60,270923664604
1,16,63,316896042097
1,17,33,19395951610
1,17,36,26236147697
1,17,39,37724066240
1,17,42,52801316985
1,17,45,72553805063
1,17,48,96308865606
1,17,51,124649686390
1,17,54,157381317070
1,17,57,192540709128
1,17,60,230870942951
1,17,63,273378355594
1,18,33,18793407179
1,18,36,20936643341
1,18,39,30009631882
1,18,42,42082314730
1,18,45,58398641683
1,18,48,78003624343
1,18,51,101550218502
1,18,54,129425644351
1,18,57,160886014558
1,18,60,195925610938
1,18,63,235135869938
1,19,33,23063291219
1,19,36,24591991345
1,19,39,28937067207
1,19,42,38600831572
1,19,45,52097471479
1,19,48,68575707216
1,19,51,88264352964
1,19,54,111638458498
1,19,57,138650667033
1,19,60,170043424520
1,19,63,205895355271
1,20,33,24649616059
1,20,36,26081035448
1,20,39,28359206713
1,20,42,34640522864
1,20,45,45924854480
1,20,48,59688447674
1,20,51,76310711163
1,20,54,96163162580
1,20,57,119160316060
1,20,60,146476743731
1,20,63,179063280050
1,21,33,26127496869
1,21,36,27763756901
1,21,39,29395949585
1,21,42,31823624080
1,21,45,40960939587
1,21,48,52331526867
1,21,51,66457637320
1,21,54,83557196906
1,21,57,103498518354
1,21,60,127499742042
1,21,63,156775853762
1,22,33,29254842464
1,22,36,30567708645
1,22,39,32196255406
1,22,42,33328088717
1,22,45,36749191219
1,22,48,46156235022
1,22,51,58576719429
1,22,54,73814653665
1,22,57,91795071146
1,22,60,113371382422
1,22,63,140298664661
1,23,33,29685748445
1,23,36,31078103925
1,23,39,32871638916
1,23,42,34720099880
1,23,45,36511479216
1,23,48,43526445716
1,23,51,55313962902
1,23,54,70026599684
1,23,57,87172419480
1,23,60,108297498312
1,23,63,134218915832
1,24,33,43168663070
1,24,36,44427068206
1,24,39,49891924735
1,24,42,53602137048
1,24,45,59539577974
1,24,48,67725185586
1,24,51,83580247251
1,24,54,93978717478
1,24,57,117186923565
1,24,60,139338985918
1,24,63,166964757462
2,16,33,25152824879
2,16,36,33378046052
2,16,39,45247254349
2,16,42,59737898584
2,16,45,77600760897
2,16,48,98291945788
2,16,51,120796125542
2,16,54,145391937833
2,16,57,171265967485
2,16,60,198764434643
2,16,63,229719239650
2,17,33,19479315073
2,17,36,25969107246
2,17,39,36328372625
2,17,42,49481615156
2,17,45,65740229959
2,17,48,84625166933
2,17,51,106595513512
2,17,54,130888303188
2,17,57,156585113726
2,17,60,185102914909
2,17,63,213469791588
2,18,33,18721058385
2,18,36,20868745039
2,18,39,29353786957
2,18,42,39820474865
2,18,45,53087257120
2,18,48,68268085841
2,18,51,85970500089
2,18,54,105945787802
2,18,57,127810334823
2,18,60,150834921053
2,18,63,177697715405
2,19,33,22955290753
2,19,36,24514192828
2,19,39,28896719969
2,19,42,38238622175
2,19,45,50094960891
2,19,48,63995591479
2,19,51,80142242391
2,19,54,98705924548
2,19,57,119384202490
2,19,60,142883411085
2,19,63,168132186298
2,20,33,24509377347
2,20,36,26096676678
2,20,39,28272508889
2,20,42,34445642499
2,20,45,44553486447
2,20,48,56168536587
2,20,51,69503930353
2,20,54,84892627200
2,20,57,101915957821
2,20,60,121072672442
2,20,63,143860558320
2,21,33,27289653456
2,21,36,28012696587
2,21,39,29470225930
2,21,42,31776160223
2,21,45,40610933345
2,21,48,50879525951
2,21,51,63035593563
2,21,54,77332990883
2,21,57,93297658666
2,21,60,112252502715
2,21,63,133393416022
2,22,33,28946354356
2,22,36,30423759403
2,22,39,32004124479
2,22,42,33158419728
2,22,45,36689087209
2,22,48,45356954682
2,22,51,55964272835
2,22,54,71535596532
2,22,57,82543896051
2,22,60,98571121446
2,22,63,118428261935
2,23,33,29598113352
2,23,36,31010966829
2,23,39,33074377129
2,23,42,35161954324
2,23,45,36430355354
2,23,48,42983093450
2,23,51,53868831716
2,23,54,66839648951
2,23,57,81206655613
2,23,60,98019821516
2,23,63,117508066566
2,24,33,43712096280
2,24,36,45723731560
2,24,39,49928493142
2,24,42,51279531287
2,24,45,55160696413
2,24,48,64027749548
2,24,51,81164291149
2,24,54,94281982090
2,24,57,111846407986
2,24,60,126137906437
2,24,63,151556868094
3,16,33,24286799950
3,16,36,31371621281
3,16,39,41280906531
3,16,42,53071573697
3,16,45,67136645101
3,16,48,82731481430
3,16,51,99873817898
