LINE,
1673789441,2.6135570312E10
1674051585,5555497.666666667
1674313729,5538339.0
1674575873,6153883.333333333
1674838017,5502415.0
1675100161,5538968.0
1675362305,5507723.333333333
1675624449,5511588.0
1675886593,5521250.0
1676148737,5537803.333333333
1676410881,5522041.666666667
1676673025,5500204.0
1676935169,5570607.666666667
1677197313,5535196.0
1677459457,5557407.0
1677721601,5533728.666666667
1677983745,5525860.333333333
1678245889,5542413.0
1678508033,5498690.0
1678770177,5504999.333333333
1679032321,5498341.333333333
1679294465,5514265.666666667
1679556609,5516221.333333333
1679818753,5508514.666666667
1680080897,5525232.0
1680343041,5502997.0
1680605185,5596799.333333333
1680867329,5552866.666666667
1681129473,5555823.666666667
1681391617,5556661.666666667
1681653761,5524067.666666667
1681915905,5517827.666666667
1682178049,5506047.0
1682440193,5505744.666666667
1682702337,5523625.0
1682964481,5532705.0
1683226625,5520714.666666667
1683488769,5502764.666666667
1683750913,5517618.666666667
1684013057,5499482.0
1684275201,5519853.666666667
1684537345,5513194.333333333
1684799489,5509772.333333333
1685061633,5511937.666666667
1685323777,5539014.333333333
1685585921,5526325.666666667
1685848065,5504091.666666667
1686110209,5516920.0
1686372353,5525022.333333333
1686634497,5513381.333333333
1686896641,5503556.333333333
1687158785,5544880.666666667
1687420929,5548373.666666667
1687683073,5538735.0
1687945217,5526396.0
1688207361,5515685.666666667
1688469505,5524673.0
1688731649,5524765.666666667
1688993793,5522903.333333333
1689255937,5512263.666666667
1689518081,5560060.666666667
1689780225,5553262.333333333
1690042369,5557825.666666667
1690304513,5572563.0
1690566657,5525254.666666667
1690828801,5541505.333333333
1691090945,5565788.0
1691353089,5542506.666666667
1691615233,5533938.666666667
1691877377,5565439.0
1692139521,5572283.666666667
1692401665,5522647.333333333
1692663809,5636844.0
1692925953,5603480.666666667
1693188097,5533426.666666667
1693450241,5577615.333333333
1693712385,5552588.0
1693974529,5585251.333333333
1694236673,5560107.333333333
1694498817,5567092.333333333
1694760961,5555055.333333333
1695023105,5566393.333333333
1695285249,5548792.666666667
1695547393,5523694.666666667
1695809537,5536104.333333333
1696071681,5560643.333333333
1696333825,5531261.666666667
1696595969,5582667.666666667
1696858113,5544648.333333333
1697120257,5871406.666666667
1697382401,5556126.0
1697644545,5569117.666666667
1697906689,5564041.666666667
1698168833,5574309.666666667
1698430977,5548676.0
1698693121,5544415.666666667
