LINE,
2905604097,1.7062870537666666E10
2908749825,1.9177362333333332E7
2911895553,1.8816240333333332E7
2915041281,1.8846437E7
2918187009,1.8682604333333332E7
2921332737,1.8714057E7
2924478465,1.8670287333333332E7
2927624193,1.8670869E7
2930769921,1.8671474666666668E7
2933915649,1.8672451666666668E7
2937061377,1.8631476666666668E7
2940207105,1.8755335333333332E7
2943352833,1.8668122333333332E7
2946498561,1.8762715666666668E7
2949644289,1.8736919333333332E7
2952790017,1.8700576333333332E7
2955935745,1.8655061333333332E7
2959081473,1.8656970333333332E7
2962227201,1.8690775333333332E7
2965372929,1.8652779333333332E7
2968518657,1.8697946E7
2971664385,1.8696968E7
2974810113,1.8776569333333332E7
2977955841,1.887817E7
2981101569,1.8691474333333332E7
2984247297,1.8644771E7
2987393025,1.8703044666666668E7
2990538753,1.8720994333333332E7
2993684481,1.8668005333333332E7
2996830209,1.9207745333333332E7
2999975937,1.8697317333333332E7
3003121665,1.8704721E7
3006267393,1.8711892E7
3009413121,1.8734661E7
3012558849,1.8733380333333332E7
3015704577,1.8665258666666668E7
3018850305,1.8805018666666668E7
3021996033,1.8797870666666668E7
3025141761,1.8689285333333332E7
3028287489,1.8767115333333332E7
3031433217,1.8804901333333332E7
3034578945,1.8688284E7
3037724673,1.8721018333333332E7
3040870401,1.864768E7
3044016129,1.9745762E7
3047161857,1.9300173666666668E7
3050307585,1.8854770333333332E7
3053453313,1.8707935E7
3056599041,1.8875632333333332E7
3059744769,1.8727723333333332E7
3062890497,1.8725302333333332E7
3066036225,1.8789722E7
3069181953,1.8754473333333332E7
3072327681,1.8815635666666668E7
3075473409,1.8724137333333332E7
3078619137,1.8802899333333332E7
3081764865,1.8799500666666668E7
3084910593,1.8966895666666668E7
3088056321,1.8729143666666668E7
3091202049,1.8706886666666668E7
3094347777,1.8683278666666668E7
3097493505,1.8745068E7
3100639233,1.8680485666666668E7
3103784961,1.8674595E7
3106930689,1.8786695666666668E7
3110076417,1.8738642666666668E7
3113222145,1.8705792333333332E7
3116367873,1.8688074666666668E7
3119513601,1.8669473E7
3122659329,1.8697294333333332E7
3125805057,1.8666655333333332E7
3128950785,1.8691287333333332E7
3132096513,1.8686025333333332E7
3135242241,1.8679437E7
3138387969,1.8704046E7
3141533697,1.8702881333333332E7
3144679425,1.8768932E7
3147825153,1.8763345E7
3150970881,1.8911555666666668E7
3154116609,1.8728096E7
3157262337,1.8680508333333332E7
3160408065,1.8710309E7
3163553793,1.8678716E7
3166699521,1.8704813666666668E7
3169845249,1.8731145666666668E7
3172990977,1.8801247333333332E7
3176136705,1.8678762E7
3179282433,1.8886295E7
3182428161,1.8795193333333332E7
3185573889,1.8820687E7
3188719617,1.8753006666666668E7
3191865345,1.8821432333333332E7
3195011073,1.8771492333333332E7
