LINE,
2905604097,1.6164476579666666E10
2908749825,1.7708264E7
2911895553,1.7786629333333332E7
2915041281,1.7802579E7
2918187009,1.7705796333333332E7
2921332737,1.7703864E7
2924478465,1.7760694666666668E7
2927624193,1.7736551333333332E7
2930769921,1.7779133E7
2933915649,1.7812589E7
2937061377,1.777932E7
2940207105,1.7833822E7
2943352833,1.7810284666666668E7
2946498561,1.7816267E7
2949644289,1.7718112333333332E7
2952790017,1.7706914333333332E7
2955935745,1.7732477E7
2959081473,1.7724049E7
2962227201,1.7743256E7
2965372929,1.7732430666666668E7
2968518657,1.7727261333333332E7
2971664385,1.7700255E7
2974810113,1.7699626E7
2977955841,1.7858198E7
2981101569,1.7748937333333332E7
2984247297,1.7723396333333332E7
2987393025,1.7740136333333332E7
2990538753,1.7714783E7
2993684481,1.7743908333333332E7
2996830209,1.7672992666666668E7
2999975937,1.7701628E7
3003121665,1.7683539E7
3006267393,1.7681443333333332E7
3009413121,1.7724142333333332E7
3012558849,1.7695645666666668E7
3015704577,1.7735154333333332E7
3018850305,1.7729962333333332E7
3021996033,1.7796595E7
3025141761,1.7970741333333332E7
3028287489,1.7822367333333332E7
3031433217,1.7848023666666668E7
3034578945,1.7762627E7
3037724673,1.7684540333333332E7
3040870401,1.7687799333333332E7
3044016129,1.7823019333333332E7
3047161857,1.7776851333333332E7
3050307585,1.7732523666666668E7
3053453313,1.7764233333333332E7
3056599041,1.7747469666666668E7
3059744769,1.7719672333333332E7
3062890497,1.7780926333333332E7
3066036225,1.7694551333333332E7
3069181953,1.7723349666666668E7
3072327681,1.7737389333333332E7
3075473409,1.7719719666666668E7
3078619137,1.7779133666666668E7
3081764865,1.7698578666666668E7
3084910593,1.7708706666666668E7
3088056321,1.7775432E7
3091202049,1.7720766E7
3094347777,1.7826559333333332E7
3097493505,1.7777132333333332E7
3100639233,1.7769052333333332E7
3103784961,1.7838618E7
3106930689,1.7876590333333332E7
3110076417,1.7777736333333332E7
3113222145,1.7768516666666668E7
3116367873,1.7914423333333332E7
3119513601,1.7816127666666668E7
3122659329,1.7772311333333332E7
3125805057,1.7733524E7
3128950785,1.771015E7
3132096513,1.7755153333333332E7
3135242241,1.7764163666666668E7
3138387969,1.7767236666666668E7
3141533697,1.7816825666666668E7
3144679425,1.7731220333333332E7
3147825153,1.7786816333333332E7
3150970881,1.7824578333333332E7
3154116609,1.7811540666666668E7
3157262337,1.7744163666666668E7
3160408065,1.820619E7
3163553793,1.7698415666666668E7
3166699521,1.7717250333333332E7
3169845249,1.7708822666666668E7
3172990977,1.7705213666666668E7
3176136705,1.7730730333333332E7
3179282433,1.7698532666666668E7
3182428161,1.7749309666666668E7
3185573889,1.7737226E7
3188719617,1.7792824E7
3191865345,1.7789261E7
3195011073,1.8093809E7
3198156801,1.7776549E7
3201302529,1.7750916333333332E7
3204448257,1.7766561666666668E7
3207593985,1.7868534666666668E7
3210739713,1.8044567666666668E7
3213885441,1.7750544333333332E7
3217031169,1.7742232E7
3220176897,1.7826185666666668E7
3223322625,1.7823251666666668E7
3226468353,1.7794452666666668E7
3229614081,1.7763558E7
3232759809,1.7714457E7
3235905537,1.7734827666666668E7
3239051265,1.7706401666666668E7
3242196993,1.7706425E7
3245342721,1.7754710333333332E7
3248488449,1.7712245333333332E7
3251634177,1.7796687666666668E7
3254779905,1.7741929333333332E7
3257925633,1.773264E7
3261071361,1.7802997333333332E7
3264217089,1.7786839666666668E7
3267362817,1.7708450333333332E7
3270508545,1.7768796666666668E7
3273654273,1.7785652333333332E7
3276800001,1.7918776E7
3279945729,1.7840131E7
3283091457,1.7772731333333332E7
3286237185,1.7858314333333332E7
3289382913,1.7942337333333332E7
3292528641,1.7798689666666668E7
3295674369,1.7800366333333332E7
3298820097,1.7815127E7
3301965825,1.7799155666666668E7
3305111553,1.7805092666666668E7
3308257281,1.7794615666666668E7
3311403009,1.7777317333333332E7
3314548737,1.7790750666666668E7
3317694465,1.7762975666666668E7
3320840193,1.7699393666666668E7
3323985921,1.7812519E7
3327131649,1.7885531333333332E7
3330277377,1.778053E7
3333423105,1.7757947666666668E7
3336568833,1.7718321333333332E7
3339714561,1.7755548666666668E7
3342860289,1.7743512333333332E7
3346006017,1.7731313E7
3349151745,1.7775594666666668E7
3352297473,1.7734735333333332E7
3355443201,1.7727518E7
3358588929,1.7713851666666668E7
3361734657,1.7790332E7
3364880385,1.7771334666666668E7
3368026113,1.7782998E7
3371171841,1.7776199333333332E7
3374317569,1.7818619333333332E7
3377463297,1.7733081666666668E7
3380609025,1.8184258333333332E7
3383754753,1.7810168E7
3386900481,1.7915004666666668E7
3390046209,1.7828048E7
3393191937,1.7861806666666668E7
3396337665,1.7873726666666668E7
3399483393,1.7832331333333332E7
3402629121,1.7826906666666668E7
3405774849,1.7716644666666668E7
3408920577,1.7754012E7
3412066305,1.7737156E7
3415212033,1.7762160333333332E7
3418357761,1.7787189E7
3421503489,1.774896E7
3424649217,1.7827908E7
3427794945,1.7757248333333332E7
3430940673,1.7732593E7
3434086401,1.7727937333333332E7
3437232129,1.776854E7
3440377857,1.7738948666666668E7
3443523585,1.7742837666666668E7
3446669313,1.7754035333333332E7
3449815041,1.7737715666666668E7
3452960769,1.7848745E7
3456106497,1.7786653333333332E7
3459252225,1.7915680666666668E7
3462397953,1.8047943333333332E7
3465543681,1.7961195333333332E7
3468689409,1.7907276E7
3471835137,1.7808142E7
3474980865,1.7775874333333332E7
3478126593,1.774619E7
3481272321,1.7988785E7
3484418049,1.7827769333333332E7
3487563777,1.7839526333333332E7
3490709505,1.7840038666666668E7
3493855233,1.7760554333333332E7
3497000961,1.7898848E7
3500146689,1.789447E7
3503292417,1.7872144E7
3506438145,1.7852168333333332E7
3509583873,1.7776712333333332E7
3512729601,1.7719392666666668E7
3515875329,1.7763721E7
3519021057,1.7759297333333332E7
3522166785,1.8065754333333332E7
3525312513,1.7754990333333332E7
3528458241,1.7766398333333332E7
3531603969,1.7735248E7
3534749697,1.7781461E7
3537895425,1.7740347333333332E7
3541041153,1.7973721E7
3544186881,1.7810796666666668E7
3547332609,1.7799062333333332E7
3550478337,1.7791426E7
3553624065,1.7810052E7
3556769793,1.7763836666666668E7
3559915521,1.7741650333333332E7
3563061249,1.7755525666666668E7
3566206977,1.7781601E7
3569352705,1.7846231333333332E7
3572498433,1.8014441666666668E7
3575644161,1.7876823E7
3578789889,1.7899360666666668E7
3581935617,1.8454884666666668E7
3585081345,1.7753361E7
3588227073,1.7755852E7
3591372801,1.7733479E7
3594518529,1.7758925333333332E7
3597664257,1.7813847E7
3600809985,1.7796757333333332E7
3603955713,1.7902875E7
3607101441,1.7802089E7
3610247169,1.7760671E7
3613392897,1.7764791666666668E7
3616538625,1.7775035E7
3619684353,1.7926344E7
3622830081,1.7839899333333332E7
3625975809,1.7749286333333332E7
3629121537,1.7811192333333332E7
3632267265,1.7803323666666668E7
3635412993,1.7844415E7
3638558721,1.8048688333333332E7
3641704449,1.7941151E7
3644850177,1.7770147333333332E7
3647995905,1.78453E7
3651141633,1.7852959333333332E7
3654287361,1.7801995666666668E7
3657433089,1.7849397333333332E7
3660578817,1.8379265E7
3663724545,1.7849444666666668E7
3666870273,1.7859594666666668E7
3670016001,1.7807164333333332E7
3673161729,1.7778715333333332E7
3676307457,1.7948344333333332E7
