LINE,
68720525313,1.3401594666666666E7
68721573889,1.1212534333333334E7
68722622465,9908037.666666666
68723671041,9780290.666666666
68724719617,7651598.666666667
68725768193,7662680.666666667
68726816769,7615070.0
68727865345,7258208.0
68728913921,7207872.666666667
68729962497,7283887.666666667
68731011073,7744934.666666667
68732059649,7202937.0
68733108225,7213018.333333333
68734156801,7219141.333333333
68735205377,7177210.666666667
68736253953,7171949.0
68737302529,7249244.333333333
68738351105,7275879.0
68739399681,7187943.666666667
68740448257,7225078.666666667
68741496833,7207547.333333333
68742545409,7193624.666666667
68743593985,7193764.0
68744642561,7196348.666666667
68745691137,7162962.666666667
68746739713,7166524.333333333
68747788289,7192437.333333333
68748836865,7196278.333333333
68749885441,7186151.0
68750934017,7167945.0
68751982593,7263283.666666667
68753031169,7175301.333333333
68754079745,7193670.666666667
68755128321,7213832.666666667
68756176897,7168829.333333333
68757225473,7468837.666666667
68758274049,7178771.0
68759322625,7184451.666666667
68760371201,7216510.333333333
68761419777,7196231.666666667
68762468353,7233925.0
68763516929,7185289.333333333
68764565505,7178817.0
68765614081,7162124.333333333
68766662657,7176512.666666667
68767711233,7176139.666666667
68768759809,7178096.0
68769808385,7175441.666666667
68770856961,7161705.333333333
68771905537,7195021.333333333
68772954113,7191784.666666667
68774002689,7282653.666666667
68775051265,7211924.0
68776099841,7221493.0
68777148417,7212925.0
68778196993,7191505.666666667
68779245569,7179120.0
68780294145,7176535.666666667
68781342721,7184009.0
68782391297,7158795.333333333
68783439873,7204823.333333333
68784488449,7174417.333333333
68785537025,7167363.0
68786585601,7197442.333333333
68787634177,7226032.333333333
68788682753,7230386.333333333
68789731329,7219140.666666667
68790779905,7198839.666666667
68791828481,7189480.666666667
68792877057,7189945.666666667
68793925633,7210038.0
68794974209,7173067.0
68796022785,7221655.333333333
68797071361,7180516.666666667
68798119937,7213670.0
68799168513,7303304.0
68800217089,7251013.666666667
68801265665,7197210.0
68802314241,7197815.666666667
68803362817,7219095.333333333
68804411393,7203542.666666667
68805459969,7187338.666666667
68806508545,7175488.0
68807557121,7209060.333333333
68808605697,7172996.666666667
68809654273,7211527.666666667
68810702849,7167456.0
68811751425,7159586.666666667
68812800001,7170924.666666667
68813848577,7180563.666666667
68814897153,7167851.333333333
68815945729,7263888.666666667
68816994305,7213111.333333333
68818042881,7166944.0
68819091457,7167013.666666667
68820140033,7187873.666666667
68821188609,7171018.0
68822237185,7191808.666666667
68823285761,7167269.666666667
68824334337,7178118.666666667
68825382913,7160704.333333333
68826431489,7212110.0
68827480065,7191273.0
68828528641,7205102.333333333
68829577217,7164406.0
68830625793,7217651.333333333
68831674369,7177304.0
68832722945,7287240.0
68833771521,7232993.333333333
68834820097,7245123.666666667
68835868673,7220631.333333333
68836917249,7219211.333333333
68837965825,7213437.333333333
68839014401,7186756.666666667
68840062977,7170366.333333333
68841111553,7175674.0
68842160129,7181424.666666667
68843208705,7177047.666666667
68844257281,7156932.333333333
68845305857,7187874.0
