LINE,
68720525313,1.2049184666666666E7
68721573889,8976885.333333334
68722622465,7579052.333333333
68723671041,7551580.0
68724719617,7536307.666666667
68725768193,8205167.333333333
68726816769,7872472.0
68727865345,7873100.666666667
68728913921,7359087.333333333
68729962497,7323419.333333333
68731011073,7333547.333333333
68732059649,7348633.666666667
68733108225,7300324.0
68734156801,7288357.333333333
68735205377,7317832.0
68736253953,7280697.666666667
68737302529,7308193.333333333
68738351105,7282746.333333333
68739399681,7324979.333333333
68740448257,7294596.666666667
68741496833,7299206.666666667
68742545409,7299905.0
68743593985,7303560.333333333
68744642561,7317529.333333333
68745691137,7290848.666666667
68746739713,7324653.666666667
68747788289,7300790.0
68748836865,7314107.0
68749885441,7303211.0
68750934017,7318414.0
68751982593,7282234.333333333
68753031169,7311173.666666667
68754079745,7299043.666666667
68755128321,7315434.0
68756176897,7312291.0
68757225473,7331847.666666667
68758274049,7301302.333333333
68759322625,7370960.666666667
68760371201,7308961.333333333
68761419777,7324001.666666667
68762468353,7324839.666666667
68763516929,7302582.666666667
68764565505,7300138.0
68765614081,7276576.666666667
68766662657,7318717.0
68767711233,7281233.333333333
68768759809,7324839.666666667
68769808385,7309520.333333333
68770856961,7309753.333333333
68771905537,7298973.666666667
68772954113,7334292.333333333
68774002689,7317087.333333333
68775051265,7303723.0
68776099841,7329543.0
68777148417,7289381.666666667
68778196993,7318833.666666667
68779245569,7278486.0
68780294145,7316668.0
68781342721,7286517.666666667
68782391297,7304398.666666667
68783439873,7313757.666666667
68784488449,7298927.333333333
68785537025,7302186.666666667
68786585601,7302652.333333333
68787634177,7297088.666666667
68788682753,7364930.666666667
68789731329,7294713.333333333
68790779905,7365116.666666667
68791828481,7345723.333333333
68792877057,7336923.0
68793925633,7382346.0
68794974209,7336294.333333333
68796022785,7322348.666666667
68797071361,7308286.666666667
68798119937,7321324.333333333
68799168513,7302536.0
68800217089,7308077.0
68801265665,7289009.333333333
68802314241,7337621.666666667
68803362817,7419503.0
68804411393,7336154.666666667
68805459969,7321534.0
68806508545,7320416.333333333
68807557121,7299463.0
68808605697,7377293.666666667
68809654273,7372381.333333333
68810702849,7362113.666666667
68811751425,7311080.333333333
68812800001,7304282.333333333
68813848577,7305469.666666667
68814897153,7282350.666666667
68815945729,7302443.0
68816994305,7293828.0
68818042881,7401366.666666667
68819091457,7342114.333333333
68820140033,7289661.333333333
68821188609,7307425.333333333
68822237185,7304515.0
68823285761,7327959.666666667
68824334337,7319112.333333333
68825382913,7365000.666666667
68826431489,7309287.666666667
68827480065,7293618.666666667
68828528641,7377526.666666667
68829577217,7414008.666666667
68830625793,7335968.666666667
68831674369,7404742.333333333
68832722945,7346561.333333333
68833771521,7329892.0
68834820097,7303839.666666667
68835868673,7349332.333333333
68836917249,7279556.666666667
68837965825,7352963.666666667
68839014401,7326143.666666667
68840062977,7330381.0
68841111553,7274272.0
68842160129,7318181.333333333
68843208705,7328495.0
68844257281,7341299.666666667
68845305857,7342627.0
68846354433,7356782.333333333
68847403009,7390447.666666667
68848451585,7340275.666666667
68849500161,7313757.666666667
68850548737,7294759.666666667
68851597313,7303793.0
68852645889,7316179.0
68853694465,7298974.0
68854743041,7328401.333333333
68855791617,7325911.0
68856840193,7284399.666666667
68857888769,7318041.333333333
68858937345,7441597.333333333
68859985921,7339321.0
68861034497,7401087.333333333
68862083073,7381368.0
68863131649,7298950.333333333
68864180225,7368120.333333333
68865228801,7362463.333333333
68866277377,7297041.0
68867325953,7294550.333333333
