LINE,
68720525313,1.2852799E7
68721573889,9528336.0
68722622465,7821136.0
68723671041,7849027.333333333
68724719617,7843579.333333333
68725768193,8567616.666666666
68726816769,8228845.0
68727865345,8161584.0
68728913921,7774153.666666667
68729962497,7767355.333333333
68731011073,8092949.333333333
68732059649,7771010.666666667
68733108225,7739766.333333333
68734156801,7744539.0
68735205377,7775294.0
68736253953,7743630.666666667
68737302529,7759183.666666667
68738351105,7749335.0
68739399681,7753083.666666667
68740448257,7748520.666666667
68741496833,7749032.333333333
68742545409,7733736.333333333
68743593985,7761581.333333333
68744642561,7760440.666666667
68745691137,7762396.0
68746739713,7737252.333333333
68747788289,7737019.0
68748836865,7765609.333333333
68749885441,7749195.333333333
68750934017,7756180.0
68751982593,7753828.666666667
68753031169,7897965.333333333
68754079745,7829936.0
68755128321,7815036.0
68756176897,7773874.0
68757225473,7773292.0
68758274049,7726658.666666667
68759322625,7789030.666666667
68760371201,7746634.333333333
68761419777,7748590.0
68762468353,7757507.0
68763516929,7759136.333333333
68764565505,7763141.0
68765614081,7757367.333333333
68766662657,7799694.0
68767711233,7770452.0
68768759809,7752245.666666667
68769808385,7800135.666666667
68770856961,7769078.0
68771905537,7800135.666666667
68772954113,7787331.0
68774002689,7796644.333333333
68775051265,7746471.666666667
68776099841,7771452.666666667
68777148417,7788471.666666667
68778196993,7733131.0
68779245569,7782045.666666667
68780294145,7747775.333333333
68781342721,7741489.333333333
68782391297,7814407.666666667
68783439873,7826956.0
68784488449,7790660.0
68785537025,7818807.666666667
68786585601,7743049.0
68787634177,7818924.0
68788682753,7816735.666666667
68789731329,7783932.333333333
68790779905,7811124.666666667
68791828481,7801183.666666667
68792877057,7801742.333333333
68793925633,7779298.666666667
68794974209,7815478.333333333
68796022785,7812754.666666667
68797071361,7776225.333333333
68798119937,7767891.0
68799168513,7759555.666666667
68800217089,7753013.666666667
68801265665,7741000.0
68802314241,7769776.0
68803362817,7751314.333333333
68804411393,7777902.0
68805459969,7743747.333333333
68806508545,7775154.666666667
68807557121,7737461.0
68808605697,7756622.333333333
68809654273,7788681.333333333
68810702849,7757227.666666667
68811751425,7749684.333333333
68812800001,7751872.666666667
68813848577,7736041.333333333
68814897153,7747775.666666667
68815945729,7757646.666666667
68816994305,7763862.666666667
68818042881,7763979.333333333
68819091457,7780300.0
68820140033,7734434.666666667
68821188609,7747170.333333333
68822237185,7751803.0
68823285761,7733573.666666667
68824334337,7738951.333333333
68825382913,7801812.333333333
68826431489,8030950.333333333
68827480065,7765726.0
68828528641,7755039.0
68829577217,7745820.0
68830625793,7750219.666666667
68831674369,7773199.0
68832722945,7810729.0
68833771521,7778996.0
68834820097,7752734.333333333
68835868673,7790730.0
68836917249,7759532.333333333
68837965825,7793034.666666667
68839014401,7768961.666666667
68840062977,7798809.333333333
68841111553,7924134.0
68842160129,7845605.0
68843208705,7792057.333333333
68844257281,7742770.0
68845305857,7766121.0
68846354433,7859900.0
68847403009,7752198.666666667
68848451585,7784863.333333333
68849500161,7746704.0
68850548737,7808936.0
68851597313,7760184.333333333
68852645889,7757833.0
68853694465,7771848.666666667
68854743041,7781277.333333333
68855791617,7756599.0
68856840193,7788658.0
68857888769,7795712.666666667
68858937345,7809565.0
68859985921,7851635.0
68861034497,7827655.0
68862083073,7774572.666666667
68863131649,7785282.333333333
68864180225,7815827.666666667
68865228801,7776830.666666667
68866277377,7825769.0
68867325953,7753153.666666667
68868374529,7754736.666666667
68869423105,7742793.0
68870471681,7737904.0
68871520257,7745237.666666667
68872568833,7751360.666666667
68873617409,7773780.333333333
68874665985,7789705.333333333
68875714561,7747170.0
68876763137,7736274.333333333
68877811713,7755318.666666667
68878860289,7736972.666666667
68879908865,7750592.666666667
68880957441,7769008.333333333
68882006017,7766586.666666667
68883054593,7874567.666666667
68884103169,7785770.666666667
68885151745,7776691.0
68886200321,7763048.0
68887248897,7792848.666666667
68888297473,7801462.666666667
68889346049,7804302.666666667
68890394625,7758950.666666667
68891443201,7753083.333333333
68892491777,7742630.333333333
68893540353,7755295.333333333
68894588929,7739068.0
68895637505,8064103.666666667
68896686081,7766586.666666667
68897734657,7781254.666666667
68898783233,7816828.666666667
68899831809,7777412.666666667
68900880385,7808424.0
68901928961,7757669.666666667
68902977537,7816572.666666667
68904026113,7777017.0
68905074689,7784071.0
68906123265,8257411.666666667
68907171841,7784071.666666667
68908220417,7747030.333333333
68909268993,7737205.333333333
68910317569,7753502.666666667
68911366145,7768798.666666667
68912414721,7763513.333333333
68913463297,7770777.666666667
68914511873,7761581.333333333
68915560449,7751826.333333333
68916609025,7752478.666666667
68917657601,7889188.333333333
68918706177,7790171.333333333
68919754753,7809774.666666667
68920803329,7769729.666666667
68921851905,7748450.333333333
