LINE,
1099512676353,3.2390186666666668E7
1099513724929,2.0091941666666668E7
1099514773505,1.8290937333333332E7
1099515822081,1.8532578E7
1099516870657,1.8101027666666668E7
1099517919233,1.7666311666666668E7
1099518967809,1.7611762666666668E7
1099520016385,1.7631203E7
1099521064961,1.7524130333333332E7
1099522113537,1.7020150666666668E7
1099523162113,1.7084804333333332E7
1099524210689,1.7176347666666668E7
1099525259265,1.7171039666666668E7
1099526307841,1.7078448E7
1099527356417,1.7071883E7
1099528404993,1.7071906333333332E7
1099529453569,1.7099052333333332E7
1099530502145,1.7136023666666668E7
1099531550721,1.7249335666666668E7
1099532599297,1.7225076E7
1099533647873,1.7157163333333332E7
1099534696449,1.7065177666666668E7
1099535745025,1.7094209666666668E7
1099536793601,1.6989745E7
1099537842177,1.7285445666666668E7
1099538890753,1.7118678666666668E7
1099539939329,1.7134161333333332E7
1099540987905,1.7089367333333332E7
1099542036481,1.7052698666666668E7
1099543085057,1.7036657333333332E7
1099544133633,1.7032536666666668E7
1099545182209,1.7058193333333332E7
1099546230785,1.7259068E7
1099547279361,1.7220816E7
1099548327937,1.7124336333333332E7
1099549376513,1.7361903333333332E7
1099550425089,1.7227404666666668E7
1099551473665,1.718133E7
1099552522241,1.7247776333333332E7
1099553570817,1.7174275666666668E7
1099554619393,1.7108946666666668E7
1099555667969,1.7155394E7
1099556716545,1.7096095333333332E7
1099557765121,1.7178396333333332E7
1099558813697,1.7125034666666668E7
1099559862273,1.7093954E7
1099560910849,1.7181889E7
1099561959425,1.7250733E7
1099563008001,1.7433168333333332E7
1099564056577,1.7346933E7
1099565105153,1.7306376E7
1099566153729,1.7371588333333332E7
1099567202305,1.7343091666666668E7
1099568250881,1.7318413333333332E7
1099569299457,1.7196975666666668E7
1099570348033,1.7158234333333332E7
1099571396609,1.7219465666666668E7
1099572445185,1.7136140333333332E7
1099573493761,1.7155836666666668E7
1099574542337,1.7150016E7
1099575590913,1.7085549333333332E7
1099576639489,1.7172064333333332E7
1099577688065,1.7221421333333332E7
1099578736641,1.7143334E7
1099579785217,1.7202120333333332E7
1099580833793,1.7254458333333332E7
1099581882369,1.7256041333333332E7
1099582930945,1.7278228666666668E7
1099583979521,1.7300788666666668E7
1099585028097,1.7169619333333332E7
1099586076673,1.7172017333333332E7
1099587125249,1.7131111333333332E7
1099588173825,1.7083011333333332E7
1099589222401,1.7235646333333332E7
1099590270977,1.7097748333333332E7
1099591319553,1.7176022E7
1099592368129,1.7060102E7
1099593416705,1.734379E7
1099594465281,1.7231176333333332E7
1099595513857,1.7279485666666668E7
1099596562433,1.7270173E7
1099597611009,1.7230151666666668E7
1099598659585,1.713011E7
1099599708161,1.7371797666666668E7
1099600756737,1.7250220666666668E7
1099601805313,1.7209733666666668E7
1099602853889,1.7158909666666668E7
1099603902465,1.7120541666666668E7
1099604951041,1.7161307666666668E7
1099605999617,1.7121077E7
1099607048193,1.7168455333333332E7
1099608096769,1.7111834333333332E7
1099609145345,1.7236763333333332E7
1099610193921,1.7150155666666668E7
1099611242497,1.7173647E7
1099612291073,1.7243073E7
1099613339649,1.7265539666666668E7
1099614388225,1.7247566333333332E7
1099615436801,1.7228964666666668E7
1099616485377,1.7159352E7
1099617533953,1.7139376333333332E7
1099618582529,1.7128829333333332E7
1099619631105,1.7084594666666668E7
1099620679681,1.7201957333333332E7
1099621728257,1.7111973666666668E7
1099622776833,1.7101567E7
1099623825409,1.7175114E7
1099624873985,1.7432865666666668E7
1099625922561,1.7588248E7
1099626971137,1.7326048666666668E7
1099628019713,1.7306632666666668E7
1099629068289,1.7161331E7
1099630116865,1.7207522E7
1099631165441,1.7165684666666668E7
1099632214017,1.7171598E7
1099633262593,1.7114395333333332E7
