LINE,
33554433,1.1278345E7
67108865,1.1199891E7
100663297,1.1202331E7
134217729,1.1215756E7
167772161,1.1232422E7
201326593,1.1250376E7
234881025,1.1268426E7
268435457,1.128719E7
301989889,1.1305187E7
335544321,1.1322825E7
369098753,1.13404E7
402653185,1.1357885E7
436207617,1.137448E7
469762049,1.1391663E7
503316481,1.1407398E7
536870913,1.1423402E7
570425345,1.1439158E7
603979777,1.1455343E7
637534209,1.146963E7
671088641,1.1484605E7
704643073,1.1499513E7
738197505,1.15131E7
771751937,1.1527721E7
805306369,1.1542413E7
838860801,1.1555876E7
872415233,1.1569153E7
905969665,1.1581713E7
939524097,1.1596195E7
973078529,1.1609232E7
1006632961,1.1621855E7
1040187393,1.163477E7
1073741825,1.1646913E7
1107296257,1.1660002E7
1140850689,1.1670873E7
1174405121,1.1683965E7
1207959553,1.1695187E7
1241513985,1.1707425E7
1275068417,1.1719735E7
1308622849,1.1731146E7
1342177281,1.1742589E7
1375731713,1.1753852E7
1409286145,1.1764862E7
1442840577,1.1775871E7
1476395009,1.1787503E7
1509949441,1.1799077E7
1543503873,1.1808912E7
1577058305,1.181981E7
1610612737,1.1830447E7
1644167169,1.1841393E7
1677721601,1.185086E7
1711276033,1.1862541E7
1744830465,1.1871991E7
1778384897,1.1882411E7
1811939329,1.1893191E7
1845493761,1.1902448E7
1879048193,1.1912227E7
1912602625,1.1922367E7
1946157057,1.1932115E7
1979711489,1.1942597E7
2013265921,1.1952344E7
2046820353,1.1961532E7
2080374785,1.1970992E7
2113929217,1.1981245E7
2147483649,1.198921E7
2181038081,1.1999789E7
2214592513,1.2008061E7
2248146945,1.2018021E7
2281701377,1.2027866E7
2315255809,1.2036875E7
2348810241,1.2044524E7
2382364673,1.2054183E7
2415919105,1.2063067E7
2449473537,1.2072407E7
2483027969,1.2081534E7
2516582401,1.208962E7
2550136833,1.2099297E7
2583691265,1.2108043E7
2617245697,1.2115844E7
2650800129,1.2124113E7
2684354561,1.213312E7
2717908993,1.2142183E7
2751463425,1.2149235E7
2785017857,1.21585E7
2818572289,1.2167397E7
2852126721,1.2175231E7
2885681153,1.2184098E7
2919235585,1.2191485E7
2952790017,1.2200413E7
2986344449,1.2207626E7
3019898881,1.2215808E7
3053453313,1.2224483E7
3087007745,1.2233022E7
3120562177,1.223958E7
3154116609,1.2248725E7
3187671041,1.2256243E7
3221225473,1.2264472E7
3254779905,1.2272079E7
3288334337,1.2279368E7
3321888769,1.2287792E7
3355443201,1.2295368E7
3388997633,1.2302815E7
3422552065,1.2311158E7
3456106497,1.2318889E7
3489660929,1.2326162E7
3523215361,1.2334198E7
3556769793,1.2341885E7
3590324225,1.2348445E7
3623878657,1.235608E7
3657433089,1.2364317E7
3690987521,1.2370886E7
3724541953,1.2378966E7
3758096385,1.2386135E7
3791650817,1.2393179E7
3825205249,1.2400757E7
3858759681,1.2406929E7
3892314113,1.2415397E7
3925868545,1.2421765E7
3959422977,1.2429637E7
3992977409,1.2436137E7
4026531841,1.2443573E7
4060086273,1.245083E7
4093640705,1.2457332E7
4127195137,1.2465769E7
4160749569,1.2471731E7
4194304001,1.2478209E7
4227858433,1.2486162E7
4261412865,1.2492878E7
4294967297,1.2500172E7
