LINE,
2905604097,3.825314743E9
2908749825,5702734.0
2911895553,5705551.0
2915041281,5708161.0
2918187009,5710647.0
2921332737,5713214.0
2924478465,5715789.0
2927624193,5718539.0
2930769921,5720807.0
2933915649,5723215.0
2937061377,5725748.0
2940207105,5728665.0
2943352833,5731049.0
2946498561,5733322.0
2949644289,5736151.0
2952790017,5738360.0
2955935745,5740428.0
2959081473,5743548.0
2962227201,5746178.0
2965372929,5748572.0
2968518657,5751184.0
2971664385,5753363.0
2974810113,5755701.0
2977955841,5758818.0
2981101569,5761304.0
2984247297,5763625.0
2987393025,5766068.0
2990538753,5768504.0
2993684481,5771369.0
2996830209,5773546.0
2999975937,5775602.0
3003121665,5778583.0
3006267393,5781020.0
3009413121,5783447.0
3012558849,5786321.0
3015704577,5788740.0
3018850305,5790990.0
3021996033,5793468.0
3025141761,5795946.0
3028287489,5798324.0
3031433217,5801098.0
3034578945,5803619.0
3037724673,5806046.0
3040870401,5808591.0
3044016129,5811230.0
3047161857,5813544.0
3050307585,5815633.0
3053453313,5818597.0
3056599041,5820968.0
3059744769,5823451.0
3062890497,5825424.0
3066036225,5828923.0
3069181953,5830758.0
3072327681,5833417.0
3075473409,5835951.0
3078619137,5838173.0
3081764865,5840455.0
3084910593,5843248.0
3088056321,5845565.0
3091202049,5847858.0
3094347777,5850371.0
3097493505,5852854.0
3100639233,5855005.0
3103784961,5857894.0
3106930689,5860299.0
3110076417,5862690.0
3113222145,5865628.0
3116367873,5867445.0
3119513601,5870141.0
3122659329,5872767.0
3125805057,5875446.0
3128950785,5877277.0
3132096513,5879957.0
3135242241,5882300.0
3138387969,5884957.0
3141533697,5887317.0
3144679425,5889547.0
3147825153,5892310.0
3150970881,5894514.0
3154116609,5897275.0
3157262337,5899730.0
3160408065,5901766.0
3163553793,5904406.0
3166699521,5907085.0
3169845249,5909112.0
3172990977,5911603.0
3176136705,5913771.0
3179282433,5916879.0
3182428161,5918655.0
3185573889,5921552.0
3188719617,5923631.0
3191865345,5926458.0
3195011073,5928362.0
3198156801,5931207.0
3201302529,5933481.0
3204448257,5936119.0
3207593985,5938232.0
3210739713,5940936.0
3213885441,5943160.0
3217031169,5945489.0
3220176897,5947764.0
3223322625,5950378.0
3226468353,5952958.0
3229614081,5954902.0
3232759809,5957570.0
3235905537,5960253.0
3239051265,5962172.0
3242196993,5964788.0
3245342721,5967448.0
3248488449,5969821.0
3251634177,5971911.0
3254779905,5974691.0
3257925633,5976906.0
3261071361,5979367.0
3264217089,5981301.0
3267362817,5984131.0
3270508545,5985997.0
3273654273,5988873.0
3276800001,5991175.0
3279945729,5993796.0
3283091457,5996048.0
3286237185,5998415.0
3289382913,6000828.0
3292528641,6002938.0
3295674369,6005487.0
3298820097,6008003.0
3301965825,6010374.0
3305111553,6012881.0
3308257281,6015190.0
3311403009,6017170.0
3314548737,6019815.0
3317694465,6022393.0
3320840193,6024691.0
3323985921,6027329.0
3327131649,6029390.0
3330277377,6031680.0
3333423105,6034258.0
3336568833,6036346.0
3339714561,6038830.0
3342860289,6040977.0
3346006017,6043729.0
3349151745,6045667.0
3352297473,6048529.0
3355443201,6050542.0
3358588929,6052740.0
3361734657,6055421.0
3364880385,6057859.0
3368026113,6060078.0
3371171841,6062702.0
3374317569,6064965.0
3377463297,6067070.0
3380609025,6069188.0
3383754753,6071715.0
3386900481,6074570.0
3390046209,6076679.0
3393191937,6078785.0
3396337665,6081666.0
3399483393,6083449.0
3402629121,6086271.0
3405774849,6088194.0
3408920577,6090514.0
3412066305,6093043.0
3415212033,6095574.0
3418357761,6097611.0
3421503489,6100268.0
3424649217,6102614.0
3427794945,6104718.0
3430940673,6107170.0
3434086401,6109535.0
3437232129,6111232.0
3440377857,6114594.0
3443523585,6116337.0
3446669313,6119151.0
3449815041,6120777.0
3452960769,6123794.0
3456106497,6125710.0
3459252225,6127935.0
3462397953,6130574.0
3465543681,6132855.0
3468689409,6134999.0
3471835137,6137145.0
3474980865,6139804.0
3478126593,6141806.0
3481272321,6144850.0
3484418049,6146523.0
3487563777,6149069.0
3490709505,6151214.0
3493855233,6153254.0
3497000961,6156477.0
3500146689,6158067.0
3503292417,6160696.0
3506438145,6163201.0
3509583873,6165110.0
3512729601,6167681.0
3515875329,6170015.0
3519021057,6172213.0
3522166785,6174084.0
3525312513,6176987.0
3528458241,6179201.0
3531603969,6181092.0
3534749697,6183826.0
3537895425,6186137.0
3541041153,6188144.0
3544186881,6190384.0
3547332609,6192901.0
3550478337,6195437.0
3553624065,6197285.0
3556769793,6200183.0
3559915521,6202154.0
3563061249,6203812.0
3566206977,6206883.0
3569352705,6208871.0
3572498433,6211410.0
3575644161,6213354.0
3578789889,6215734.0
3581935617,6218357.0
3585081345,6220170.0
3588227073,6222676.0
3591372801,6224660.0
3594518529,6227110.0
3597664257,6229785.0
3600809985,6231486.0
