LINE,
2905604097,3.194190507E9
2908749825,3526258.0
2911895553,3526473.0
2915041281,3526638.0
2918187009,3526687.0
2921332737,3526741.0
2924478465,3526684.0
2927624193,3527101.0
2930769921,3526818.0
2933915649,3527068.0
2937061377,3526964.0
2940207105,3527275.0
2943352833,3527150.0
2946498561,3527103.0
2949644289,3527388.0
2952790017,3527327.0
2955935745,3526879.0
2959081473,3527535.0
2962227201,3527565.0
2965372929,3527718.0
2968518657,3527916.0
2971664385,3527575.0
2974810113,3527634.0
2977955841,3528229.0
2981101569,3528228.0
2984247297,3528193.0
2987393025,3528248.0
2990538753,3528280.0
2993684481,3528514.0
2996830209,3528245.0
2999975937,3528040.0
3003121665,3528536.0
3006267393,3528564.0
3009413121,3528481.0
3012558849,3528917.0
3015704577,3528928.0
3018850305,3528753.0
3021996033,3528779.0
3025141761,3528856.0
3028287489,3528855.0
3031433217,3529017.0
3034578945,3529476.0
3037724673,3529283.0
3040870401,3529463.0
3044016129,3529456.0
3047161857,3529574.0
3050307585,3529105.0
3053453313,3529803.0
3056599041,3529756.0
3059744769,3529694.0
3062890497,3529426.0
3066036225,3530372.0
3069181953,3529908.0
3072327681,3530076.0
3075473409,3530218.0
3078619137,3530062.0
3081764865,3530028.0
3084910593,3530127.0
3088056321,3530166.0
3091202049,3530093.0
3094347777,3530243.0
3097493505,3530338.0
3100639233,3530187.0
3103784961,3530424.0
3106930689,3530662.0
3110076417,3530651.0
3113222145,3531012.0
3116367873,3530741.0
3119513601,3531123.0
3122659329,3531103.0
3125805057,3531414.0
3128950785,3531088.0
3132096513,3531348.0
3135242241,3531165.0
3138387969,3531595.0
3141533697,3531348.0
3144679425,3531548.0
3147825153,3531596.0
3150970881,3531775.0
3154116609,3531844.0
3157262337,3531917.0
3160408065,3531717.0
3163553793,3531934.0
3166699521,3532359.0
3169845249,3532028.0
3172990977,3531985.0
3176136705,3531851.0
3179282433,3532468.0
3182428161,3531948.0
3185573889,3532441.0
3188719617,3532459.0
3191865345,3532635.0
3195011073,3532321.0
3198156801,3532877.0
3201302529,3532723.0
3204448257,3533038.0
3207593985,3532929.0
3210739713,3532974.0
3213885441,3532933.0
3217031169,3533183.0
3220176897,3532762.0
3223322625,3533254.0
3226468353,3533288.0
3229614081,3533225.0
3232759809,3533435.0
3235905537,3533648.0
3239051265,3533256.0
3242196993,3533635.0
3245342721,3533982.0
3248488449,3533992.0
3251634177,3533796.0
3254779905,3534196.0
3257925633,3534006.0
3261071361,3534166.0
3264217089,3533862.0
3267362817,3534230.0
3270508545,3533915.0
3273654273,3534430.0
3276800001,3534443.0
3279945729,3534597.0
3283091457,3534569.0
3286237185,3534814.0
3289382913,3534743.0
3292528641,3534598.0
3295674369,3534783.0
3298820097,3534997.0
3301965825,3534859.0
3305111553,3535185.0
3308257281,3535178.0
3311403009,3534715.0
3314548737,3535170.0
3317694465,3535346.0
3320840193,3535532.0
3323985921,3535496.0
3327131649,3535434.0
3330277377,3535388.0
3333423105,3535671.0
3336568833,3535549.0
3339714561,3535547.0
3342860289,3535667.0
3346006017,3535993.0
3349151745,3535681.0
3352297473,3536006.0
3355443201,3536039.0
3358588929,3535643.0
3361734657,3536171.0
3364880385,3536207.0
3368026113,3536190.0
3371171841,3536369.0
3374317569,3536531.0
3377463297,3536370.0
3380609025,3536248.0
3383754753,3536392.0
3386900481,3536840.0
3390046209,3536916.0
3393191937,3536606.0
3396337665,3537171.0
3399483393,3536729.0
3402629121,3537075.0
3405774849,3536945.0
3408920577,3536956.0
3412066305,3537096.0
3415212033,3537314.0
3418357761,3537376.0
3421503489,3537400.0
3424649217,3537630.0
3427794945,3537482.0
3430940673,3537536.0
3434086401,3537396.0
3437232129,3537416.0
3440377857,3537907.0
3443523585,3537762.0
3446669313,3538093.0
3449815041,3537678.0
3452960769,3538062.0
3456106497,3537948.0
3459252225,3537928.0
3462397953,3538074.0
3465543681,3538365.0
