LINE,
2905604097,4.797508042E9
2908749825,5259594.0
2911895553,5259935.0
2915041281,5260196.0
2918187009,5260259.0
2921332737,5260311.0
2924478465,5260095.0
2927624193,5260889.0
2930769921,5260305.0
2933915649,5260708.0
2937061377,5260390.0
2940207105,5261029.0
2943352833,5260736.0
2946498561,5260573.0
2949644289,5261067.0
2952790017,5260890.0
2955935745,5260133.0
2959081473,5261145.0
2962227201,5261118.0
2965372929,5261302.0
2968518657,5261649.0
2971664385,5260863.0
2974810113,5261009.0
2977955841,5261978.0
2981101569,5261903.0
2984247297,5261833.0
2987393025,5261819.0
2990538753,5261778.0
2993684481,5262279.0
2996830209,5261553.0
2999975937,5261160.0
3003121665,5262107.0
3006267393,5262080.0
3009413121,5261862.0
3012558849,5262692.0
3015704577,5262614.0
3018850305,5262213.0
3021996033,5262282.0
3025141761,5262291.0
3028287489,5262248.0
3031433217,5262525.0
3034578945,5263312.0
3037724673,5262882.0
3040870401,5263131.0
3044016129,5263144.0
3047161857,5263282.0
3050307585,5262385.0
3053453313,5263486.0
3056599041,5263476.0
3059744769,5263294.0
3062890497,5262720.0
3066036225,5264498.0
3069181953,5263440.0
3072327681,5263841.0
3075473409,5264016.0
3078619137,5263627.0
3081764865,5263576.0
3084910593,5263686.0
3088056321,5263811.0
3091202049,5263584.0
3094347777,5263686.0
3097493505,5263851.0
3100639233,5263459.0
3103784961,5263819.0
3106930689,5264224.0
3110076417,5264188.0
3113222145,5264847.0
3116367873,5264240.0
3119513601,5264757.0
3122659329,5264818.0
3125805057,5265286.0
3128950785,5264560.0
3132096513,5264972.0
3135242241,5264589.0
3138387969,5265373.0
3141533697,5264858.0
3144679425,5265171.0
3147825153,5265269.0
3150970881,5265453.0
3154116609,5265574.0
3157262337,5265680.0
3160408065,5265219.0
3163553793,5265509.0
3166699521,5266362.0
3169845249,5265596.0
3172990977,5265533.0
3176136705,5265187.0
3179282433,5266344.0
3182428161,5265271.0
3185573889,5266213.0
3188719617,5266142.0
3191865345,5266369.0
3195011073,5265693.0
3198156801,5266661.0
3201302529,5266318.0
3204448257,5266934.0
3207593985,5266620.0
3210739713,5266665.0
3213885441,5266546.0
3217031169,5266858.0
3220176897,5266045.0
3223322625,5267753.0
3226468353,5266950.0
3229614081,5266710.0
3232759809,5267043.0
3235905537,5267466.0
3239051265,5266659.0
3242196993,5267228.0
3245342721,5267848.0
3248488449,5267791.0
3251634177,5267362.0
3254779905,5268125.0
3257925633,5267675.0
3261071361,5267974.0
3264217089,5267218.0
3267362817,5267910.0
3270508545,5267171.0
3273654273,5268134.0
3276800001,5268117.0
3279945729,5268366.0
3283091457,5268228.0
3286237185,5268638.0
3289382913,5268474.0
3292528641,5268159.0
3295674369,5268334.0
3298820097,5268784.0
3301965825,5268436.0
3305111553,5269096.0
3308257281,5268984.0
3311403009,5268042.0
3314548737,5268904.0
3317694465,5269160.0
3320840193,5269461.0
3323985921,5269455.0
3327131649,5269172.0
