LINE,
68720525313,1241808.0
68721573889,1241532.0
68722622465,1241565.0
68723671041,1241683.0
68724719617,1241715.0
68725768193,1241551.0
68726816769,1241747.0
68727865345,1241473.0
68728913921,1241679.0
68729962497,1241676.0
68731011073,1241634.0
68732059649,1241715.0
68733108225,1241572.0
68734156801,1241601.0
68735205377,1241650.0
68736253953,1241662.0
68737302529,1241731.0
68738351105,1241600.0
68739399681,1241608.0
68740448257,1241645.0
68741496833,1241600.0
68742545409,1241623.0
68743593985,1241644.0
68744642561,1241709.0
68745691137,1241644.0
68746739713,1241582.0
68747788289,1241703.0
68748836865,1241696.0
68749885441,1241547.0
68750934017,1241700.0
68751982593,1241575.0
68753031169,1241660.0
68754079745,1241676.0
68755128321,1241622.0
68756176897,1241604.0
68757225473,1241707.0
68758274049,1241582.0
68759322625,1241669.0
68760371201,1241624.0
68761419777,1241680.0
68762468353,1241689.0
68763516929,1241614.0
68764565505,1241601.0
68765614081,1241691.0
68766662657,1241625.0
68767711233,1241658.0
68768759809,1241613.0
68769808385,1241610.0
68770856961,1241712.0
68771905537,1241614.0
68772954113,1241681.0
68774002689,1241738.0
68775051265,1241551.0
68776099841,1241621.0
68777148417,1241690.0
68778196993,1241691.0
68779245569,1241595.0
68780294145,1241674.0
68781342721,1241665.0
68782391297,1241701.0
68783439873,1241552.0
68784488449,1241702.0
68785537025,1241672.0
68786585601,1241683.0
68787634177,1241574.0
68788682753,1241640.0
68789731329,1241739.0
68790779905,1241649.0
68791828481,1241619.0
68792877057,1241665.0
68793925633,1241649.0
68794974209,1241672.0
68796022785,1241589.0
68797071361,1241686.0
68798119937,1241661.0
68799168513,1241647.0
68800217089,1241644.0
68801265665,1241742.0
68802314241,1241572.0
68803362817,1241713.0
68804411393,1241580.0
68805459969,1241720.0
68806508545,1241630.0
68807557121,1241694.0
68808605697,1241668.0
68809654273,1241670.0
68810702849,1241682.0
68811751425,1241572.0
68812800001,1241708.0
68813848577,1241591.0
68814897153,1241712.0
68815945729,1241632.0
68816994305,1241714.0
68818042881,1241632.0
68819091457,1241699.0
68820140033,1241504.0
68821188609,1241696.0
68822237185,1241776.0
68823285761,1241601.0
68824334337,1241747.0
68825382913,1241619.0
68826431489,1241650.0
68827480065,1241644.0
68828528641,1241778.0
68829577217,1241652.0
68830625793,1241620.0
68831674369,1241740.0
68832722945,1241644.0
68833771521,1241623.0
68834820097,1241620.0
68835868673,1241720.0
68836917249,1241656.0
68837965825,1241679.0
68839014401,1241698.0
68840062977,1241624.0
68841111553,1241676.0
68842160129,1241658.0
68843208705,1241706.0
68844257281,1241645.0
68845305857,1241762.0
68846354433,1241609.0
68847403009,1241737.0
68848451585,1241582.0
68849500161,1241687.0
68850548737,1241640.0
68851597313,1241754.0
68852645889,1241665.0
68853694465,1241673.0
68854743041,1241645.0
68855791617,1241571.0
68856840193,1241758.0
68857888769,1241695.0
68858937345,1241749.0
68859985921,1241646.0
68861034497,1241626.0
68862083073,1241776.0
68863131649,1241661.0
68864180225,1241551.0
68865228801,1241774.0
68866277377,1241680.0
68867325953,1241624.0
68868374529,1241644.0
68869423105,1241809.0
68870471681,1241598.0
68871520257,1241678.0
68872568833,1241767.0
68873617409,1241671.0
68874665985,1241583.0
68875714561,1241688.0
