LINE,
1099512676353,1335350.0
1099513724929,1335593.0
1099514773505,1335611.0
1099515822081,1335254.0
1099516870657,1335503.0
1099517919233,1335680.0
1099518967809,1335166.0
1099520016385,1335762.0
1099521064961,1335322.0
1099522113537,1335535.0
1099523162113,1335545.0
1099524210689,1335589.0
1099525259265,1335306.0
1099526307841,1335570.0
1099527356417,1335462.0
1099528404993,1335356.0
1099529453569,1335510.0
1099530502145,1335551.0
1099531550721,1335487.0
1099532599297,1335466.0
1099533647873,1335541.0
1099534696449,1335258.0
1099535745025,1335520.0
1099536793601,1335529.0
1099537842177,1335411.0
1099538890753,1335538.0
1099539939329,1335462.0
1099540987905,1335573.0
1099542036481,1335405.0
1099543085057,1335484.0
1099544133633,1335388.0
1099545182209,1335613.0
1099546230785,1335309.0
1099547279361,1335676.0
1099548327937,1335550.0
1099549376513,1335492.0
1099550425089,1335442.0
1099551473665,1335323.0
1099552522241,1335510.0
1099553570817,1335695.0
1099554619393,1335291.0
1099555667969,1335495.0
1099556716545,1335445.0
1099557765121,1335605.0
1099558813697,1335279.0
1099559862273,1335608.0
1099560910849,1335533.0
1099561959425,1335413.0
1099563008001,1335590.0
1099564056577,1335370.0
1099565105153,1335447.0
1099566153729,1335459.0
1099567202305,1335481.0
1099568250881,1335562.0
1099569299457,1335375.0
1099570348033,1335665.0
1099571396609,1335457.0
1099572445185,1335336.0
1099573493761,1335523.0
1099574542337,1335580.0
1099575590913,1335218.0
1099576639489,1335635.0
1099577688065,1335432.0
1099578736641,1335680.0
1099579785217,1335362.0
1099580833793,1335405.0
1099581882369,1335531.0
1099582930945,1335671.0
1099583979521,1335280.0
1099585028097,1335435.0
1099586076673,1335550.0
1099587125249,1335432.0
1099588173825,1335421.0
1099589222401,1335813.0
1099590270977,1335111.0
1099591319553,1335729.0
1099592368129,1335344.0
1099593416705,1335592.0
1099594465281,1335516.0
1099595513857,1335516.0
1099596562433,1335445.0
1099597611009,1335620.0
1099598659585,1335181.0
1099599708161,1335775.0
1099600756737,1335322.0
1099601805313,1335512.0
1099602853889,1335461.0
1099603902465,1335505.0
1099604951041,1335472.0
1099605999617,1335561.0
1099607048193,1335402.0
1099608096769,1335427.0
1099609145345,1335564.0
1099610193921,1335457.0
1099611242497,1335433.0
1099612291073,1335539.0
1099613339649,1335517.0
1099614388225,1335494.0
1099615436801,1335503.0
1099616485377,1335543.0
1099617533953,1335415.0
1099618582529,1335531.0
1099619631105,1335276.0
1099620679681,1335759.0
1099621728257,1335339.0
1099622776833,1335528.0
1099623825409,1335350.0
1099624873985,1335573.0
1099625922561,1335553.0
1099626971137,1335455.0
1099628019713,1335567.0
1099629068289,1335402.0
1099630116865,1335438.0
1099631165441,1335552.0
1099632214017,1335390.0
1099633262593,1335506.0
1099634311169,1335507.0
1099635359745,1335551.0
1099636408321,1335376.0
1099637456897,1335606.0
1099638505473,1335386.0
1099639554049,1335533.0
1099640602625,1335513.0
1099641651201,1335457.0
1099642699777,1335537.0
1099643748353,1335550.0
1099644796929,1335424.0
1099645845505,1335547.0
1099646894081,1335450.0
1099647942657,1335403.0
1099648991233,1335515.0
1099650039809,1335371.0
1099651088385,1335639.0
1099652136961,1335321.0
1099653185537,1335662.0
1099654234113,1335602.0
1099655282689,1335253.0
1099656331265,1335603.0
1099657379841,1335619.0
1099658428417,1335437.0
1099659476993,1335278.0
1099660525569,1335673.0
1099661574145,1335446.0
1099662622721,1335480.0
1099663671297,1335247.0
1099664719873,1335760.0
1099665768449,1335435.0
1099666817025,1335419.0
1099667865601,1335543.0
1099668914177,1335480.0
1099669962753,1335373.0
1099671011329,1335622.0
1099672059905,1335384.0
1099673108481,1335616.0
1099674157057,1335361.0
1099675205633,1335465.0
1099676254209,1335495.0
1099677302785,1335523.0
1099678351361,1335713.0
1099679399937,1335294.0
1099680448513,1335600.0
1099681497089,1335588.0
1099682545665,1335323.0
1099683594241,1335382.0
1099684642817,1335424.0
1099685691393,1335715.0
1099686739969,1335346.0
1099687788545,1335604.0
1099688837121,1335451.0
1099689885697,1335600.0
1099690934273,1335172.0
1099691982849,1335731.0
1099693031425,1335363.0
1099694080001,1335535.0
1099695128577,1335569.0
1099696177153,1335515.0
1099697225729,1335577.0
1099698274305,1335433.0
1099699322881,1335393.0
1099700371457,1335434.0
1099701420033,1335567.0
1099702468609,1335383.0
1099703517185,1335658.0
1099704565761,1335474.0
1099705614337,1335577.0
1099706662913,1335411.0
1099707711489,1335412.0
1099708760065,1335526.0
1099709808641,1335456.0
1099710857217,1335677.0
1099711905793,1335161.0
1099712954369,1335536.0
1099714002945,1335634.0
1099715051521,1335479.0
1099716100097,1335425.0
1099717148673,1335485.0
1099718197249,1335466.0
1099719245825,1335732.0
1099720294401,1335349.0
1099721342977,1335515.0
1099722391553,1335546.0
1099723440129,1335221.0
1099724488705,1335717.0
1099725537281,1335460.0
1099726585857,1335460.0
1099727634433,1335295.0
1099728683009,1335640.0
1099729731585,1335539.0
1099730780161,1335553.0
1099731828737,1335457.0
1099732877313,1335509.0
1099733925889,1335390.0
1099734974465,1335547.0
1099736023041,1335491.0
1099737071617,1335412.0
1099738120193,1335486.0
1099739168769,1335588.0
1099740217345,1335554.0
1099741265921,1335430.0
1099742314497,1335400.0
1099743363073,1335370.0
1099744411649,1335779.0
1099745460225,1335296.0
1099746508801,1335527.0
1099747557377,1335432.0
1099748605953,1335656.0
1099749654529,1335274.0
1099750703105,1335502.0
1099751751681,1335736.0
1099752800257,1335385.0
1099753848833,1335372.0
1099754897409,1335617.0
1099755945985,1335355.0
1099756994561,1335588.0
1099758043137,1335538.0
1099759091713,1335350.0
1099760140289,1335613.0
1099761188865,1335619.0
1099762237441,1335261.0
1099763286017,1335487.0
1099764334593,1335615.0
1099765383169,1335395.0
1099766431745,1335529.0
1099767480321,1335548.0
