LINE,
18446742974198972417,2.04736916E8
18446742974200020993,1774081.0
18446742974201069569,1772197.0
18446742974202118145,1772793.0
18446742974203166721,1772731.0
18446742974204215297,1772320.0
18446742974205263873,1774197.0
18446742974206312449,1773200.0
18446742974207361025,1773354.0
18446742974208409601,1774046.0
18446742974209458177,1773170.0
18446742974210506753,1771869.0
18446742974211555329,1772844.0
18446742974212603905,1772869.0
18446742974213652481,1773820.0
18446742974214701057,1771220.0
18446742974215749633,1771360.0
18446742974216798209,1773538.0
18446742974217846785,1773416.0
18446742974218895361,1773173.0
18446742974219943937,1771448.0
18446742974220992513,1771917.0
18446742974222041089,1773405.0
18446742974223089665,1773131.0
18446742974224138241,1773559.0
18446742974225186817,1772696.0
18446742974226235393,1773272.0
18446742974227283969,1773358.0
18446742974228332545,1773474.0
18446742974229381121,1773928.0
18446742974230429697,1773171.0
18446742974231478273,1774078.0
18446742974232526849,1772143.0
18446742974233575425,1774442.0
18446742974234624001,1773307.0
18446742974235672577,1772772.0
18446742974236721153,1772156.0
18446742974237769729,1773064.0
18446742974238818305,1772433.0
18446742974239866881,1774215.0
18446742974240915457,1773210.0
18446742974241964033,1773787.0
18446742974243012609,1772398.0
18446742974244061185,1772473.0
18446742974245109761,1774083.0
18446742974246158337,1774016.0
18446742974247206913,1771755.0
18446742974248255489,1772981.0
18446742974249304065,1772332.0
18446742974250352641,1776119.0
18446742974251401217,1773759.0
18446742974252449793,1772704.0
18446742974253498369,1773609.0
18446742974254546945,1770048.0
18446742974255595521,1772509.0
18446742974256644097,1773187.0
18446742974257692673,1772316.0
18446742974258741249,1772801.0
18446742974259789825,1772914.0
18446742974260838401,1774548.0
18446742974261886977,1771669.0
18446742974262935553,1771136.0
18446742974263984129,1773310.0
18446742974265032705,1772153.0
18446742974266081281,1773904.0
18446742974267129857,1772909.0
18446742974268178433,1772295.0
18446742974269227009,1773987.0
18446742974270275585,1772743.0
18446742974271324161,1773304.0
18446742974272372737,1774960.0
18446742974273421313,1774123.0
18446742974274469889,1774836.0
18446742974275518465,1771245.0
18446742974276567041,1772041.0
18446742974277615617,1772290.0
18446742974278664193,1774678.0
18446742974279712769,1772312.0
18446742974280761345,1774231.0
18446742974281809921,1773248.0
18446742974282858497,1772379.0
18446742974283907073,1772659.0
18446742974284955649,1774094.0
18446742974286004225,1772441.0
18446742974287052801,1772935.0
18446742974288101377,1772648.0
18446742974289149953,1772764.0
18446742974290198529,1773781.0
18446742974291247105,1770926.0
18446742974292295681,1775135.0
18446742974293344257,1772201.0
18446742974294392833,1773619.0
18446742974295441409,1775571.0
18446742974296489985,1773770.0
18446742974297538561,1772836.0
18446742974298587137,1772197.0
18446742974299635713,1773542.0
18446742974300684289,1773974.0
18446742974301732865,1772944.0
18446742974302781441,1773525.0
18446742974303830017,1773314.0
18446742974304878593,1773338.0
18446742974305927169,1771976.0
18446742974306975745,1774046.0
18446742974308024321,1772438.0
18446742974309072897,1773461.0
18446742974310121473,1775114.0
18446742974311170049,1773006.0
18446742974312218625,1771416.0
18446742974313267201,1774057.0
18446742974314315777,1774605.0
18446742974315364353,1771749.0
18446742974316412929,1771912.0
18446742974317461505,1772395.0
18446742974318510081,1772562.0
18446742974319558657,1772230.0
18446742974320607233,1772947.0
18446742974321655809,1773539.0
18446742974322704385,1772146.0
18446742974323752961,1774003.0
18446742974324801537,1771490.0
18446742974325850113,1773666.0
18446742974326898689,1772446.0
18446742974327947265,1771396.0
18446742974328995841,1773077.0
18446742974330044417,1773042.0
18446742974331092993,1772515.0
18446742974332141569,1774256.0
18446742974333190145,1771797.0
18446742974334238721,1772738.0
18446742974335287297,1771731.0
18446742974336335873,1772177.0
18446742974337384449,1773404.0
18446742974338433025,1772037.0
18446742974339481601,1773964.0
18446742974340530177,1771886.0
18446742974341578753,1773556.0
18446742974342627329,1772182.0
18446742974343675905,1773398.0
18446742974344724481,1774374.0
18446742974345773057,1771130.0
18446742974346821633,1772786.0
18446742974347870209,1772594.0
18446742974348918785,1773468.0
18446742974349967361,1775391.0
18446742974351015937,1774193.0
18446742974352064513,1772087.0
18446742974353113089,1773921.0
18446742974354161665,1772936.0
18446742974355210241,1773036.0
18446742974356258817,1773500.0
18446742974357307393,1773154.0
18446742974358355969,1773709.0
18446742974359404545,1773709.0
18446742974360453121,1772207.0
18446742974361501697,1773474.0
18446742974362550273,1774827.0
18446742974363598849,1774034.0
18446742974364647425,1771482.0
18446742974365696001,1772537.0
18446742974366744577,1774655.0
18446742974367793153,1772777.0
18446742974368841729,1772749.0
18446742974369890305,1772711.0
18446742974370938881,1775158.0
18446742974371987457,1773198.0
18446742974373036033,1771627.0
18446742974374084609,1772969.0
18446742974375133185,1772495.0
18446742974376181761,1774402.0
18446742974377230337,1774457.0
18446742974378278913,1772752.0
18446742974379327489,1772592.0
18446742974380376065,1772332.0
18446742974381424641,1773925.0
18446742974382473217,1772935.0
18446742974383521793,1772184.0
18446742974384570369,1772709.0
18446742974385618945,1771201.0
18446742974386667521,1775397.0
18446742974387716097,1774580.0
18446742974388764673,1770987.0
18446742974389813249,1773023.0
18446742974390861825,1774297.0
18446742974391910401,1772903.0
18446742974392958977,1773392.0
18446742974394007553,1771783.0
18446742974395056129,1772572.0
18446742974396104705,1773202.0
18446742974397153281,1772442.0
18446742974398201857,1774532.0
18446742974399250433,1773295.0
18446742974400299009,1772283.0
18446742974401347585,1773811.0
18446742974402396161,1774405.0
18446742974403444737,1772882.0
18446742974404493313,1774793.0
18446742974405541889,1772677.0
18446742974406590465,1772585.0
18446742974407639041,1772045.0
18446742974408687617,1772704.0
18446742974409736193,1772594.0
18446742974410784769,1774450.0
18446742974411833345,1772675.0
18446742974412881921,1773751.0
18446742974413930497,1773593.0
18446742974414979073,1773170.0
18446742974416027649,1770516.0
18446742974417076225,1774290.0
18446742974418124801,1771178.0
18446742974419173377,1772718.0
18446742974420221953,1773841.0
18446742974421270529,1773268.0
18446742974422319105,1773316.0
18446742974423367681,1774488.0
18446742974424416257,1771625.0
18446742974425464833,1772717.0
18446742974426513409,1772916.0
18446742974427561985,1774523.0
18446742974428610561,1773614.0
18446742974429659137,1771230.0
18446742974430707713,1774655.0
18446742974431756289,1773082.0
18446742974432804865,1773815.0
18446742974433853441,1772333.0
18446742974434902017,1772551.0
18446742974435950593,1772677.0
18446742974436999169,1773057.0
18446742974438047745,1772417.0
18446742974439096321,1771933.0
18446742974440144897,1774086.0
18446742974441193473,1773699.0
18446742974442242049,1773683.0
18446742974443290625,1771990.0
18446742974444339201,1772887.0
18446742974445387777,1771957.0
18446742974446436353,1773233.0
18446742974447484929,1772744.0
18446742974448533505,1773545.0
18446742974449582081,1773203.0
18446742974450630657,1771557.0
18446742974451679233,1772624.0
18446742974452727809,1774508.0
18446742974453776385,1772384.0
18446742974454824961,1772877.0
18446742974455873537,1772924.0
18446742974456922113,1773924.0
18446742974457970689,1772448.0
18446742974459019265,1772966.0
18446742974460067841,1772533.0
18446742974461116417,1774111.0
18446742974462164993,1772448.0
18446742974463213569,1771993.0
18446742974464262145,1773249.0
18446742974465310721,1774367.0
18446742974466359297,1771665.0
18446742974467407873,3.1865163E7
18446742974468456449,1773217.0
18446742974469505025,1773417.0
18446742974470553601,1773720.0
18446742974471602177,1772653.0
18446742974472650753,1773479.0
18446742974473699329,1773522.0
18446742974474747905,1773488.0
18446742974475796481,1774141.0
18446742974476845057,1773511.0
18446742974477893633,1772628.0
18446742974478942209,1772487.0
18446742974479990785,1774176.0
18446742974481039361,1774867.0
18446742974482087937,1773127.0
18446742974483136513,1773620.0
18446742974484185089,1772814.0
18446742974485233665,1772415.0
18446742974486282241,1770840.0
18446742974487330817,1774355.0
18446742974488379393,1771895.0
18446742974489427969,1774727.0
18446742974490476545,1774804.0
18446742974491525121,1773951.0
