LINE,
16777217,1.15613365E8
33554433,1.9523036966666666E8
50331649,2.5038920466666666E8
67108865,3.063850626666667E8
83886081,3.616838436666667E8
100663297,4.214238606666667E8
117440513,4.73714369E8
134217729,5.23568031E8
150994945,5.73459921E8
167772161,6.235007443333334E8
184549377,6.736270576666666E8
201326593,7.23637987E8
218103809,7.74570056E8
234881025,8.252679116666666E8
251658241,8.75633398E8
268435457,9.261962896666666E8
285212673,9.768487453333334E8
301989889,1.027346402E9
318767105,1.077878748E9
335544321,1.1286839086666667E9
352321537,1.1797638163333333E9
369098753,1.230434712E9
385875969,1.281455321E9
402653185,1.333320916E9
419430401,1.3860002053333333E9
436207617,1.440499982E9
452984833,1.49250529E9
469762049,1.5453532783333333E9
486539265,1.597441795E9
503316481,1.6492884383333333E9
520093697,1.7010505226666667E9
536870913,1.7532153103333333E9
553648129,1.805485773E9
570425345,1.8574368346666667E9
587202561,1.909889244E9
603979777,1.9621155183333333E9
620756993,2.0142206113333333E9
637534209,2.066211508E9
654311425,2.1186692486666667E9
671088641,2.1706703426666665E9
687865857,2.2226862206666665E9
704643073,2.2750171696666665E9
721420289,2.3274807773333335E9
738197505,2.3798977983333335E9
754974721,2.4328512293333335E9
771751937,2.48594158E9
788529153,2.5390777486666665E9
805306369,2.5914710456666665E9
822083585,2.6450134333333335E9
838860801,2.6982829596666665E9
855638017,2.7508854893333335E9
872415233,2.8035557453333335E9
889192449,2.8567364056666665E9
905969665,2.9094503846666665E9
922746881,2.9632320613333335E9
939524097,3.0169370483333335E9
956301313,3.0700434866666665E9
973078529,3.1245848673333335E9
989855745,3.1776117753333335E9
1006632961,3.2304657233333335E9
1023410177,3.2834339383333335E9
1040187393,3.336697318E9
1056964609,3.389919815E9
1073741825,3.443638701E9
1090519041,3.4985763593333335E9
1107296257,3.5520857336666665E9
1124073473,3.6053386836666665E9
1140850689,3.6585577586666665E9
1157627905,3.711916128E9
1174405121,3.765354959E9
1191182337,3.818855882E9
1207959553,3.8723797146666665E9
1224736769,3.9261399726666665E9
1241513985,3.9796510693333335E9
1258291201,4.0334048313333335E9
1275068417,4.087184529E9
1291845633,4.1407981583333335E9
1308622849,4.194355795E9
1325400065,4.247982951E9
1342177281,4.302219365333333E9
1358954497,4.355877509333333E9
1375731713,4.409619957E9
1392508929,4.463885147666667E9
1409286145,4.517698022E9
1426063361,4.572024024E9
1442840577,4.626284628333333E9
1459617793,4.680319423666667E9
1476395009,4.734388583E9
1493172225,4.788659524E9
1509949441,4.842829842E9
