LINE,
2905604097,2.3622861728333332E10
2908749825,2.3654903729666668E10
2911895553,2.3686901379E10
2915041281,2.3718881217666668E10
2918187009,2.3751037532E10
2921332737,2.3783174243E10
2924478465,2.3815403149333332E10
2927624193,2.3848253166E10
2930769921,2.3880417769666668E10
2933915649,2.3912677896666668E10
2937061377,2.3944755518E10
2940207105,2.3976802338333332E10
2943352833,2.4008920261E10
2946498561,2.4041021862666668E10
2949644289,2.4073123022666668E10
2952790017,2.4105267812666668E10
2955935745,2.4137404709666668E10
2959081473,2.4169620183333332E10
2962227201,2.4201753122666668E10
2965372929,2.4233968898E10
2968518657,2.4266308299333332E10
2971664385,2.4298529126666668E10
2974810113,2.4330681227E10
2977955841,2.4363009779333332E10
2981101569,2.4395419096E10
2984247297,2.4427709187333332E10
2987393025,2.4460127514E10
2990538753,2.4492408781333332E10
2993684481,2.4524782360333332E10
2996830209,2.4557110331333332E10
2999975937,2.4589757773333332E10
3003121665,2.4622059971333332E10
3006267393,2.4654354136666668E10
3009413121,2.4686631399333332E10
3012558849,2.4719026444E10
3015704577,2.4751515872666668E10
3018850305,2.4783915551E10
3021996033,2.4816457806E10
3025141761,2.4848981481333332E10
3028287489,2.4881439316666668E10
3031433217,2.4914604823333332E10
3034578945,2.4947009762666668E10
3037724673,2.4979360875E10
3040870401,2.5011836172333332E10
3044016129,2.5044228376666668E10
3047161857,2.5076675991333332E10
3050307585,2.5109151032333332E10
3053453313,2.5141621417E10
3056599041,2.5174057810333332E10
3059744769,2.5206572127E10
3062890497,2.5239198195666668E10
3066036225,2.5271840282666668E10
3069181953,2.5304420021E10
3072327681,2.5336937108666668E10
3075473409,2.5369539384E10
3078619137,2.5402182612E10
3081764865,2.5434971978333332E10
3084910593,2.5467790051666668E10
3088056321,2.5500350093333332E10
3091202049,2.5533058090666668E10
3094347777,2.5565837003666668E10
3097493505,2.5598443283333332E10
3100639233,2.5631082064333332E10
3103784961,2.5663636402333332E10
3106930689,2.5696249363333332E10
3110076417,2.5728992679333332E10
3113222145,2.5761825536333332E10
3116367873,2.5794486295E10
3119513601,2.5827351187666668E10
3122659329,2.5860116877E10
3125805057,2.5893119318666668E10
3128950785,2.5925943143666668E10
3132096513,2.5958705294E10
3135242241,2.5991392454666668E10
3138387969,2.6024103199333332E10
3141533697,2.6056817901E10
3144679425,2.6089546409E10
3147825153,2.6122334798333332E10
3150970881,2.6155068592333332E10
3154116609,2.6187818474E10
3157262337,2.6220702295E10
3160408065,2.6253611678666668E10
3163553793,2.6286488747E10
3166699521,2.6319659049333332E10
3169845249,2.6352481639666668E10
3172990977,2.6385344203333332E10
3176136705,2.6418314981333332E10
3179282433,2.6451485167E10
3182428161,2.6484338651E10
3185573889,2.6517228362333332E10
3188719617,2.6550265470333332E10
3191865345,2.6583226074E10
3195011073,2.6616119882333332E10
3198156801,2.6649018859333332E10
3201302529,2.6681944656666668E10
3204448257,2.6714840538E10
3207593985,2.6747908586666668E10
3210739713,2.6780976727666668E10
3213885441,2.6813944153333332E10
3217031169,2.6847082419666668E10
3220176897,2.6880141715E10
3223322625,2.6913212161666668E10
3226468353,2.6946388027666668E10
3229614081,2.6979381994E10
3232759809,2.7012393561666668E10
3235905537,2.70454106E10
3239051265,2.7078411597E10
3242196993,2.7111487608333332E10
3245342721,2.7144513190666668E10
3248488449,2.7177849607333332E10
3251634177,2.7210883362E10
3254779905,2.7244138595666668E10
3257925633,2.7277317139666668E10
3261071361,2.7310419669333332E10
3264217089,2.7343524061E10
3267362817,2.7376620047666668E10
3270508545,2.7409814632333332E10
3273654273,2.7443301868333332E10
3276800001,2.7476549139E10
3279945729,2.7509694715333332E10
3283091457,2.7542970181E10
3286237185,2.7576245180333332E10
3289382913,2.7609456667666668E10
3292528641,2.7642622266666668E10
3295674369,2.7675882273E10
3298820097,2.7709094808E10
3301965825,2.7742329158E10
3305111553,2.7775720030666668E10
3308257281,2.7808986369E10
3311403009,2.7842539213E10
3314548737,2.7875848483666668E10
3317694465,2.7909184364666668E10
3320840193,2.7943269637333332E10
3323985921,2.7976657809333332E10
3327131649,2.8009919236333332E10
3330277377,2.8043195167333332E10
3333423105,2.8076497569666668E10
3336568833,2.8109825721333332E10
3339714561,2.8143156690333332E10
3342860289,2.8176456531666668E10
3346006017,2.8209817301333332E10
3349151745,2.8243241257333332E10
3352297473,2.8276745651E10
3355443201,2.8310126023333332E10
3358588929,2.8343528607333332E10
3361734657,2.8376889703666668E10
3364880385,2.8410427903333332E10
3368026113,2.8444088146E10
3371171841,2.8477628347666668E10
3374317569,2.851106271E10
3377463297,2.854460347E10
3380609025,2.8578154264333332E10
3383754753,2.8611957060333332E10
3386900481,2.8645425787E10
3390046209,2.8678865644333332E10
3393191937,2.8712310764E10
3396337665,2.8747263070333332E10
3399483393,2.8780948061666668E10
3402629121,2.8814560110333332E10
3405774849,2.8848281746333332E10
3408920577,2.8881816895666668E10
3412066305,2.8915437512E10
3415212033,2.8949060527333332E10
3418357761,2.8982820741333332E10
3421503489,2.9016415376333332E10
3424649217,2.9049975879666668E10
3427794945,2.9083591746666668E10
3430940673,2.911716573E10
3434086401,2.9150724487333332E10
3437232129,2.9184308435333332E10
3440377857,2.9217965790333332E10
3443523585,2.9251638581666668E10
3446669313,2.9285444311333332E10
3449815041,2.9319150813666668E10
3452960769,2.9352813035E10
3456106497,2.9386508945333332E10
3459252225,2.9420383961E10
3462397953,2.945418359E10
3465543681,2.9488026895666668E10
3468689409,2.9521730255666668E10
3471835137,2.9555591395E10
3474980865,2.9589479612E10
3478126593,2.9623235309333332E10
3481272321,2.9656993731E10
3484418049,2.9690708894333332E10
3487563777,2.9724437794333332E10
3490709505,2.9758411385E10
3493855233,2.9792292523333332E10
3497000961,2.9826124305E10
3500146689,2.9860091074E10
3503292417,2.9893896617333332E10
3506438145,2.9927770469E10
3509583873,2.996169745E10
3512729601,2.9995668060666668E10
3515875329,3.0029522518666668E10
3519021057,3.0063342288E10
3522166785,3.0097197374E10
3525312513,3.0131079653E10
3528458241,3.0164914833666668E10
3531603969,3.0198849962666668E10
3534749697,3.0232772356666668E10
3537895425,3.0266784711333332E10
3541041153,3.0301102592E10
3544186881,3.0335052155666668E10
3547332609,3.0368919930666668E10
3550478337,3.0402993376333332E10
3553624065,3.0437094061333332E10
3556769793,3.0471188088E10
3559915521,3.0505248776333332E10
3563061249,3.0539242691666668E10
3566206977,3.0573328058E10
3569352705,3.0607399269333332E10
3572498433,3.0641379402E10
3575644161,3.0675372433E10
