LINE,
2905604097,2.8568683783E10
2908749825,2.8599329965E10
2911895553,2.8629877408333332E10
2915041281,2.8660929902E10
2918187009,2.8691476554666668E10
2921332737,2.8722051658E10
2924478465,2.8752591885E10
2927624193,2.8783178744333332E10
2930769921,2.8814364548666668E10
2933915649,2.8845092194E10
2937061377,2.8876384442666668E10
2940207105,2.8907059866E10
2943352833,2.8937936001E10
2946498561,2.8968593125333332E10
2949644289,2.8999146623666668E10
2952790017,2.9029722984333332E10
2955935745,2.9060362531333332E10
2959081473,2.9090929113333332E10
2962227201,2.9121531595E10
2965372929,2.9152083044666668E10
2968518657,2.9182678076333332E10
2971664385,2.9213457616E10
2974810113,2.9244052717666668E10
2977955841,2.9274715778666668E10
2981101569,2.9305400398666668E10
2984247297,2.9336117543E10
2987393025,2.9366770826E10
2990538753,2.9397451534666668E10
2993684481,2.9428027777666668E10
2996830209,2.9458921490333332E10
2999975937,2.9489536475333332E10
3003121665,2.9520161633333332E10
3006267393,2.9550683095E10
3009413121,2.9581244811E10
3012558849,2.9611961024666668E10
3015704577,2.9642595519666668E10
3018850305,2.9673049069333332E10
3021996033,2.9703611576666668E10
3025141761,2.9734183583333332E10
3028287489,2.9764738547666668E10
3031433217,2.9795369200666668E10
3034578945,2.9826221216E10
3037724673,2.9856838925E10
3040870401,2.9887701626333332E10
3044016129,2.9918362267E10
3047161857,2.9948959650666668E10
3050307585,2.9979545277333332E10
3053453313,3.001009938E10
3056599041,3.0040662912333332E10
3059744769,3.0071316451333332E10
3062890497,3.0101842569666668E10
3066036225,3.0132495410666668E10
3069181953,3.0163097055E10
3072327681,3.0193714111666668E10
3075473409,3.0224410954E10
3078619137,3.0255080651333332E10
3081764865,3.0285742176E10
3084910593,3.0316415574333332E10
3088056321,3.0347256531333332E10
3091202049,3.0378011811E10
3094347777,3.0408594410666668E10
3097493505,3.0439204552333332E10
3100639233,3.0469788967666668E10
3103784961,3.0500384093333332E10
3106930689,3.0530932469666668E10
3110076417,3.0561572319333332E10
3113222145,3.0592262388333332E10
3116367873,3.0622807598666668E10
3119513601,3.0653413736E10
3122659329,3.0684003041333332E10
3125805057,3.0763897945333332E10
3128950785,3.0794501614E10
3132096513,3.0825156130666668E10
3135242241,3.0856429917333332E10
3138387969,3.0887413847666668E10
3141533697,3.0918124822666668E10
3144679425,3.0949070221333332E10
3147825153,3.0979788367E10
3150970881,3.1010419393E10
3154116609,3.1041031491E10
3157262337,3.1071540311333332E10
3160408065,3.1102225118E10
3163553793,3.1132910133333332E10
3166699521,3.1163564650333332E10
3169845249,3.1194193697333332E10
3172990977,3.1224887723333332E10
3176136705,3.125542525E10
3179282433,3.1286214824E10
3182428161,3.1316850342666668E10
3185573889,3.1347469122333332E10
3188719617,3.1378143870666668E10
3191865345,3.1408852517666668E10
3195011073,3.1439622953666668E10
3198156801,3.1470387360666668E10
3201302529,3.1500994779333332E10
3204448257,3.1531622987666668E10
3207593985,3.1562213992666668E10
3210739713,3.1592820689333332E10
3213885441,3.1623361918E10
3217031169,3.165402449E10
3220176897,3.1684618801E10
3223322625,3.1715318112666668E10
3226468353,3.1745983758666668E10
3229614081,3.1776636203E10
3232759809,3.1807240339E10
3235905537,3.1837768296666668E10
3239051265,3.1868411359E10
3242196993,3.1899044247E10
3245342721,3.1929757061666668E10
3248488449,3.1960702553333332E10
3251634177,3.1991294419666668E10
3254779905,3.2021880419E10
3257925633,3.2052530652E10
3261071361,3.2083209382E10
3264217089,3.2113893955666668E10
3267362817,3.2144544794E10
3270508545,3.2175248388E10
3273654273,3.2205893498666668E10
3276800001,3.2236632807666668E10
3279945729,3.2267276405333332E10
3283091457,3.2298093800666668E10
3286237185,3.2328711975E10
3289382913,3.2359408120333332E10
3292528641,3.2390157952666668E10
3295674369,3.2420815472333332E10
3298820097,3.2451714749666668E10
3301965825,3.2482356206E10
3305111553,3.2512952146333332E10
3308257281,3.2543531696E10
3311403009,3.2574186981E10
3314548737,3.2604785249333332E10
3317694465,3.2635403796333332E10
3320840193,3.2666053447333332E10
3323985921,3.2696794455666668E10
3327131649,3.2727362039333332E10
3330277377,3.2757996580666668E10
3333423105,3.2788997249666668E10
3336568833,3.2819543995333332E10
3339714561,3.2850045900333332E10
3342860289,3.2880740345333332E10
3346006017,3.2911459492E10
3349151745,3.294217063E10
3352297473,3.2973181637E10
3355443201,3.3003838365333332E10
3358588929,3.3034430626333332E10
3361734657,3.3065371019E10
3364880385,3.3096096685333332E10
3368026113,3.3126683545333332E10
3371171841,3.3157342882E10
3374317569,3.3188072389666668E10
3377463297,3.3218717313666668E10
3380609025,3.3249288318666668E10
3383754753,3.3280343513333332E10
3386900481,3.3311119770666668E10
3390046209,3.3341724581E10
3393191937,3.3372344548333332E10
3396337665,3.3403092237666668E10
3399483393,3.3433826075666668E10
3402629121,3.3464428371666668E10
3405774849,3.3495178553E10
3408920577,3.3525798426333332E10
3412066305,3.3556436854666668E10
3415212033,3.3587131509333332E10
3418357761,3.3617813707666668E10
3421503489,3.3699874624666668E10
3424649217,3.3732375636333332E10
3427794945,3.3764317515E10
3430940673,3.3797607728666668E10
3434086401,3.3829190486666668E10
3437232129,3.3863922908333332E10
3440377857,3.38951194E10
3443523585,3.3925778946E10
3446669313,3.395649616E10
3449815041,3.3987191932666668E10
3452960769,3.4017942789E10
3456106497,3.4048853963333332E10
3459252225,3.4079530155E10
3462397953,3.4110179712333332E10
3465543681,3.4140880653E10
3468689409,3.4171543971E10
3471835137,3.4203304532E10
3474980865,3.4234047915666668E10
3478126593,3.4264829784E10
3481272321,3.4295548023E10
3484418049,3.4326179957E10
3487563777,3.4356864530333332E10
3490709505,3.4387641136666664E10
3493855233,3.4418306083333336E10
3497000961,3.4448937807666664E10
3500146689,3.4479646082E10
3503292417,3.4510374821E10
3506438145,3.4541111266E10
3509583873,3.4571894205E10
3512729601,3.4602630766666664E10
3515875329,3.4633252921666664E10
3519021057,3.4664004126666664E10
3522166785,3.4694663812333336E10
3525312513,3.4725345267E10
3528458241,3.4756001389666664E10
3531603969,3.4786609110333336E10
3534749697,3.4817271590333336E10
3537895425,3.4847935978666664E10
3541041153,3.4878518158666664E10
3544186881,3.4909245221E10
3547332609,3.4939914870666664E10
3550478337,3.4970568922E10
3553624065,3.5001225535333336E10
3556769793,3.5031935160333336E10
3559915521,3.5062937948333336E10
3563061249,3.5093690644333336E10
3566206977,3.5124422945333336E10
3569352705,3.5155167399666664E10
3572498433,3.51858069E10
3575644161,3.5216583179666664E10
3578789889,3.5247444717333336E10
3581935617,3.5278143516666664E10
3585081345,3.5308773122E10
3588227073,3.5339512174666664E10
3591372801,3.5370145832333336E10
3594518529,3.5400911636E10
3597664257,3.5431641957666664E10
3600809985,3.5462382220666664E10
3603955713,3.549295467E10
3607101441,3.5523718471666664E10
3610247169,3.5554471959E10
3613392897,3.5585168383E10
3616538625,3.5615825507E10
3619684353,3.5646608911666664E10
3622830081,3.5677230136E10
3625975809,3.5707926699666664E10
3629121537,3.5738620446666664E10
3632267265,3.5769217551333336E10
3635412993,3.5799860124333336E10
3638558721,3.5830533313E10
3641704449,3.5861240516333336E10
3644850177,3.5891936405333336E10
3647995905,3.5922503476E10
3651141633,3.5953259990666664E10
3654287361,3.5983878467666664E10
3657433089,3.6014530889666664E10
3660578817,3.6045362743E10
3663724545,3.6076332238666664E10
3666870273,3.6107097366333336E10
3670016001,3.6137902119666664E10
3673161729,3.6168635677E10
3676307457,3.6199431281E10
3679453185,3.623058242E10
3682598913,3.6261326035333336E10
3685744641,3.629200097E10
3688890369,3.6322679932333336E10
3692036097,3.6353316382666664E10
3695181825,3.6384064422666664E10
3698327553,3.6414855020666664E10
3701473281,3.6445587856666664E10
3704619009,3.6476214016333336E10
3707764737,3.6506885855E10
3710910465,3.6537547426666664E10
3714056193,3.6568269716333336E10
3717201921,3.6647945912E10
3720347649,3.6678723054333336E10
3723493377,3.6709430910333336E10
3726639105,3.6740142374666664E10
3729784833,3.6770862848666664E10
3732930561,3.6801591914E10
3736076289,3.6832178378333336E10
3739222017,3.6862902135333336E10
3742367745,3.6893509484666664E10
3745513473,3.6924222671333336E10
3748659201,3.6954912505666664E10
3751804929,3.6986196187333336E10
3754950657,3.7016798018E10
3758096385,3.7047580142E10
3761242113,3.7078324689666664E10
3764387841,3.7109095358333336E10
3767533569,3.71400317E10
3770679297,3.7170911118333336E10
3773825025,3.7201636831E10
3776970753,3.7232700010666664E10
3780116481,3.7263345680333336E10
3783262209,3.7294027879333336E10
3786407937,3.732477096E10
3789553665,3.7355449225E10
3792699393,3.7386099855E10
3795845121,3.7416784079333336E10
3798990849,3.7447521525666664E10
3802136577,3.7478343833333336E10
3805282305,3.7509056997E10
3808428033,3.7539772861E10
3811573761,3.7570434455666664E10
3814719489,3.7601110927333336E10
3817865217,3.7631875077666664E10
3821010945,3.7662713659666664E10
3824156673,3.7693474388E10
3827302401,3.7724213510666664E10
3830448129,3.7755042081666664E10
3833593857,3.7785755361333336E10
3836739585,3.7816621112666664E10
3839885313,3.7847274582E10
3843031041,3.7877929286E10
3846176769,3.7908572324333336E10
3849322497,3.7939264603666664E10
3852468225,3.7970006193666664E10
3855613953,3.8000654821E10
3858759681,3.8031409473E10
3861905409,3.8062181586E10
3865051137,3.809286872E10
3868196865,3.8123565981666664E10
3871342593,3.8154567652333336E10
3874488321,3.8185406327E10
3877634049,3.8216240182333336E10
3880779777,3.8246893208666664E10
3883925505,3.8277638058666664E10
3887071233,3.8308280306666664E10
3890216961,3.8339097865E10
3893362689,3.8369801716333336E10
3896508417,3.8400589195E10
3899654145,3.8431239312E10
3902799873,3.8461961578333336E10
3905945601,3.8492797553E10
3909091329,3.8523546477E10
3912237057,3.8554174615333336E10
3915382785,3.8584970591E10
3918528513,3.8615694743333336E10
3921674241,3.8646438568666664E10
3924819969,3.8677239318666664E10
3927965697,3.8708097247666664E10
3931111425,3.8738752766333336E10
3934257153,3.8769403139333336E10
3937402881,3.8800125196666664E10
3940548609,3.8830864389333336E10
3943694337,3.8861547589333336E10
3946840065,3.8892286129666664E10
3949985793,3.8922964836666664E10
3953131521,3.8953666685E10
3956277249,3.8984384527666664E10
3959422977,3.9015087750333336E10
3962568705,3.9045976784333336E10
3965714433,3.9076647016333336E10
3968860161,3.9107367722666664E10
3972005889,3.9138149915666664E10
3975151617,3.9169113915666664E10
3978297345,3.9199944558333336E10
3981443073,3.9230869725E10
3984588801,3.9261576672666664E10
3987734529,3.9292206045666664E10
3990880257,3.9322937717666664E10
3994025985,3.9353624853E10
3997171713,3.9384297156666664E10
4000317441,3.9415015559666664E10
4003463169,3.94457812E10
4006608897,3.9476488612666664E10
4009754625,3.9507380766333336E10
4012900353,3.9538112088666664E10
4016046081,3.9618759597333336E10
4019191809,3.9651258094E10
4022337537,3.9683273705E10
4025483265,3.9717166146E10
4028628993,3.9748931665333336E10
4031774721,3.9784365610666664E10
4034920449,3.9816398473666664E10
4038066177,3.9847095945333336E10
4041211905,3.9877932967666664E10
4044357633,3.9908688806333336E10
4047503361,3.9939376150333336E10
4050649089,3.9970023123E10
4053794817,4.0000831020333336E10
4056940545,4.0031559852E10
4060086273,4.0062267125333336E10
4063232001,4.0092981895E10
4066377729,4.0123790513333336E10
4069523457,4.0154511150333336E10
4072669185,4.0185188437333336E10
4075814913,4.0215949282E10
4078960641,4.0246903667E10
4082106369,4.0277695010666664E10
4085252097,4.0308559296333336E10
4088397825,4.0339288198333336E10
4091543553,4.0370004737333336E10
4094689281,4.0400752381E10
4097835009,4.0431483704333336E10
4100980737,4.0462149443333336E10
4104126465,4.0492893897E10
4107272193,4.0523746168666664E10
4110417921,4.0554446806333336E10
4113563649,4.0585479045E10
4116709377,4.0616286661666664E10
4119855105,4.0647054979666664E10
4123000833,4.0677802205E10
4126146561,4.0708561791666664E10
4129292289,4.0739330645E10
4132438017,4.0770444788666664E10
4135583745,4.0801234502333336E10
4138729473,4.0832050431E10
4141875201,4.0862936647333336E10
4145020929,4.0893643105666664E10
4148166657,4.0924418059333336E10
4151312385,4.0955054439333336E10
4154458113,4.0985777520666664E10
4157603841,4.1016457879333336E10
4160749569,4.1047268756E10
4163895297,4.1078031417E10
4167041025,4.1108815426666664E10
4170186753,4.1140121597666664E10
4173332481,4.1170824028E10
4176478209,4.1201534118333336E10
4179623937,4.1232279410666664E10
4182769665,4.1263257333666664E10
4185915393,4.1294111585E10
4189061121,4.1324960736333336E10
4192206849,4.1355809841666664E10
4195352577,4.1386899657E10
4198498305,4.1417673934666664E10
4201644033,4.1448430263E10
4204789761,4.1479149595333336E10
4207935489,4.1509949250333336E10
4211081217,4.1540693145E10
4214226945,4.1571460950666664E10
4217372673,4.1602417244666664E10
4220518401,4.1633179858333336E10
4223664129,4.1663893860666664E10
4226809857,4.1694563860333336E10
4229955585,4.1725381185333336E10
4233101313,4.1756123357666664E10
4236247041,4.1786946923E10
4239392769,4.1817762898666664E10
4242538497,4.1848769505E10
4245684225,4.1879584200333336E10
4248829953,4.1910343694333336E10
4251975681,4.1941005894333336E10
4255121409,4.1971755214666664E10
4258267137,4.2002473220666664E10
4261412865,4.2033170552333336E10
4264558593,4.206395838E10
4267704321,4.2094706513E10
4270850049,4.2125446288E10
4273995777,4.2156146716666664E10
4277141505,4.2186878948E10
4280287233,4.2217613716333336E10
4283432961,4.2248366132E10
4286578689,4.2279298911666664E10
4289724417,4.2310121988333336E10
4292870145,4.2340961385333336E10
4296015873,4.2377454950666664E10
4299161601,4.2407403449666664E10
4302307329,4.2438161383333336E10
4305453057,4.2469058611333336E10
4308598785,4.2499864064E10
4311744513,4.2530718175333336E10
4314890241,4.2561559923333336E10
4318035969,4.2592486091E10
4321181697,4.262343915E10
4324327425,4.2654283482666664E10
4327473153,4.2685112682E10
4330618881,4.2716067579333336E10
4333764609,4.2746861042E10
