LINE,
68720525313,1.20798E7
68721573889,2.09542E7
68722622465,2.8271752666666668E7
68723671041,3.557834E7
68724719617,4.2904484E7
68725768193,5.0547189E7
68726816769,5.816305E7
68727865345,6.5953687333333336E7
68728913921,7.3147429E7
68729962497,8.0365453E7
68731011073,8.751896333333333E7
68732059649,9.4662067E7
68733108225,1.01799443E8
68734156801,1.0897833033333333E8
68735205377,1.1619183733333333E8
68736253953,1.23378151E8
68737302529,1.30552242E8
68738351105,1.3771511133333334E8
68739399681,1.4485756266666666E8
68740448257,1.5199286633333334E8
68741496833,1.59126843E8
68742545409,1.6627907266666666E8
68743593985,1.7341279333333334E8
68744642561,1.8056001766666666E8
68745691137,1.8775492266666666E8
68746739713,1.94894394E8
68747788289,2.0205982433333334E8
68748836865,2.0919482566666666E8
68749885441,2.16337929E8
68750934017,2.2349847033333334E8
68751982593,2.3070247833333334E8
68753031169,2.3785680333333334E8
68754079745,2.44984564E8
68755128321,2.5212282433333334E8
68756176897,2.5925635866666666E8
68757225473,2.6640737766666666E8
68758274049,2.735282933333333E8
68759322625,2.806820363333333E8
68760371201,2.87846419E8
68761419777,2.949820723333333E8
68762468353,3.0218331E8
68763516929,3.093318146666667E8
68764565505,3.16540316E8
68765614081,3.236683793333333E8
68766662657,3.30839933E8
68767711233,3.379849683333333E8
68768759809,3.451607123333333E8
68769808385,3.52313477E8
68770856961,3.594508293333333E8
68771905537,3.666227553333333E8
68772954113,3.74139041E8
68774002689,3.813162053333333E8
68775051265,3.88472952E8
68776099841,3.956051593333333E8
68777148417,4.027372966666667E8
68778196993,4.098517636666667E8
68779245569,4.169943076666667E8
68780294145,4.24115433E8
68781342721,4.312562776666667E8
68782391297,4.38374283E8
68783439873,4.455107976666667E8
68784488449,4.526298976666667E8
68785537025,4.597684843333333E8
68786585601,4.66910447E8
68787634177,4.740277073333333E8
68788682753,4.811881786666667E8
68789731329,4.88313006E8
68790779905,4.954680763333333E8
68791828481,5.02587758E8
68792877057,5.09709838E8
68793925633,5.168669336666667E8
68794974209,5.239959283333333E8
68796022785,5.31152232E8
68797071361,5.382612976666666E8
68798119937,5.453845646666666E8
68799168513,5.52495842E8
68800217089,5.597404536666666E8
68801265665,5.66942459E8
68802314241,5.741914943333334E8
68803362817,5.814568726666666E8
68804411393,5.888057626666666E8
68805459969,5.960154283333334E8
68806508545,6.031529906666666E8
68807557121,6.10345195E8
68808605697,6.175831946666666E8
68809654273,6.248266653333334E8
68810702849,6.320537453333334E8
68811751425,6.392194083333334E8
68812800001,6.463706603333334E8
68813848577,6.535051956666666E8
68814897153,6.606587523333334E8
68815945729,6.67822041E8
