LINE,
68720525313,1.2852799E7
68721573889,2.2381135E7
68722622465,3.0202271E7
68723671041,3.8051298333333336E7
68724719617,4.5894877666666664E7
68725768193,5.4462494333333336E7
68726816769,6.2691339333333336E7
68727865345,7.085292333333333E7
68728913921,7.8627077E7
68729962497,8.639443233333333E7
68731011073,9.448738166666667E7
68732059649,1.0225839233333333E8
68733108225,1.0999815866666667E8
68734156801,1.1774269766666667E8
68735205377,1.2551799166666667E8
68736253953,1.3326162233333333E8
68737302529,1.41020806E8
68738351105,1.48770141E8
68739399681,1.5652322466666666E8
68740448257,1.6427174533333334E8
68741496833,1.7202077766666666E8
68742545409,1.79754514E8
68743593985,1.8751609533333334E8
68744642561,1.95276536E8
68745691137,2.03038932E8
68746739713,2.1077618433333334E8
68747788289,2.1851320333333334E8
68748836865,2.2627881266666666E8
68749885441,2.34028008E8
68750934017,2.41784188E8
68751982593,2.4953801666666666E8
68753031169,2.57435982E8
68754079745,2.65265918E8
68755128321,2.73080954E8
68756176897,2.80854828E8
68757225473,2.8862812E8
68758274049,2.963547786666667E8
68759322625,3.041438093333333E8
68760371201,3.118904436666667E8
68761419777,3.196390336666667E8
68762468353,3.273965406666667E8
68763516929,3.35155677E8
68764565505,3.42918818E8
68765614081,3.506761853333333E8
68766662657,3.584758793333333E8
68767711233,3.662463313333333E8
68768759809,3.73998577E8
68769808385,3.817987126666667E8
68770856961,3.895677906666667E8
68771905537,3.973679263333333E8
68772954113,4.051552573333333E8
68774002689,4.129519016666667E8
68775051265,4.206983733333333E8
68776099841,4.28469826E8
68777148417,4.362582976666667E8
68778196993,4.439914286666667E8
68779245569,4.517734743333333E8
68780294145,4.595212496666667E8
68781342721,4.67262739E8
68782391297,4.750771466666667E8
68783439873,4.829041026666667E8
68784488449,4.906947626666667E8
68785537025,4.985135703333333E8
68786585601,5.062566193333333E8
68787634177,5.140755433333333E8
68788682753,5.21892279E8
68789731329,5.296762113333333E8
68790779905,5.37487336E8
68791828481,5.452885196666666E8
68792877057,5.53090262E8
68793925633,5.608695606666666E8
68794974209,5.68685039E8
68796022785,5.764977936666666E8
68797071361,5.84274019E8
68798119937,5.9204191E8
68799168513,5.998014656666666E8
68800217089,6.075544793333334E8
68801265665,6.152954793333334E8
68802314241,6.230652553333334E8
68803362817,6.308165696666666E8
68804411393,6.385944716666666E8
68805459969,6.46338219E8
68806508545,6.541133736666666E8
68807557121,6.618508346666666E8
68808605697,6.69607457E8
68809654273,6.773961383333334E8
68810702849,6.85153366E8
68811751425,6.929030503333334E8
68812800001,7.00654923E8
68813848577,7.083909643333334E8
68814897153,7.1613874E8
68815945729,7.238963866666666E8
68816994305,7.316602493333334E8
68818042881,7.394242286666666E8
68819091457,7.472045286666666E8
68820140033,7.549389633333334E8
68821188609,7.626861336666666E8
68822237185,7.704379366666666E8
68823285761,7.781715103333334E8
68824334337,7.859104616666666E8
68825382913,7.93712274E8
68826431489,8.017432243333334E8
68827480065,8.095089503333334E8
68828528641,8.172639893333334E8
68829577217,8.250098093333334E8
68830625793,8.32760029E8
68831674369,8.40533228E8
68832722945,8.48343957E8
68833771521,8.56122953E8
68834820097,8.638756873333334E8
68835868673,8.716664173333334E8
68836917249,8.794259496666666E8
68837965825,8.872189843333334E8
68839014401,8.94987946E8
68840062977,9.027867553333334E8
68841111553,9.107108893333334E8
68842160129,9.185564943333334E8
68843208705,9.263485516666666E8
68844257281,9.340913216666666E8
68845305857,9.418574426666666E8
68846354433,9.497173426666666E8
68847403009,9.574695413333334E8
68848451585,9.652544046666666E8
68849500161,9.730011086666666E8
68850548737,9.808100446666666E8
68851597313,9.88570229E8
68852645889,9.96328062E8
68853694465,1.0040999106666666E9
68854743041,1.011881188E9
68855791617,1.019637787E9
68856840193,1.027426445E9
68857888769,1.0352221576666666E9
68858937345,1.0430317226666666E9
68859985921,1.0508833576666666E9
68861034497,1.0587110126666666E9
68862083073,1.0664855853333334E9
68863131649,1.0742708676666667E9
68864180225,1.0820866953333333E9
68865228801,1.089863526E9
68866277377,1.097689295E9
68867325953,1.1054424486666667E9
68868374529,1.1131971853333333E9
68869423105,1.1209399783333333E9
68870471681,1.1286778823333333E9
68871520257,1.13642312E9
68872568833,1.1441744806666667E9
68873617409,1.151948261E9
68874665985,1.1597379663333333E9
68875714561,1.1674851363333333E9
68876763137,1.1752214106666667E9
68877811713,1.1829767293333333E9
68878860289,1.190713702E9
68879908865,1.1984642946666667E9
68880957441,1.206233303E9
68882006017,1.2139998896666667E9
68883054593,1.2218744573333333E9
68884103169,1.229660228E9
68885151745,1.237436919E9
68886200321,1.245199967E9
68887248897,1.2529928156666667E9
68888297473,1.2607942783333333E9
68889346049,1.268598581E9
68890394625,1.2763575316666667E9
68891443201,1.284110615E9
68892491777,1.2918532453333333E9
68893540353,1.2996085406666667E9
68894588929,1.3073476086666667E9
68895637505,1.3154117123333333E9
68896686081,1.323178299E9
68897734657,1.3309595536666667E9
68898783233,1.3387763823333333E9
68899831809,1.346553795E9
68900880385,1.354362219E9
68901928961,1.3621198886666667E9
68902977537,1.3699364613333333E9
68904026113,1.3777134783333333E9
68905074689,1.3854975493333333E9
68906123265,1.393754961E9
68907171841,1.4015390326666667E9
68908220417,1.409286063E9
68909268993,1.4170232683333333E9
68910317569,1.424776771E9
68911366145,1.4325455696666667E9
68912414721,1.440309083E9
68913463297,1.4480798606666667E9
68914511873,1.455841442E9
68915560449,1.4635932683333333E9
68916609025,1.471345747E9
68917657601,1.4792349353333333E9
68918706177,1.4870251066666667E9
68919754753,1.4948348813333333E9
68920803329,1.502604611E9
68921851905,1.5103530613333333E9
68922900481,1.5180956913333333E9
68923949057,1.525865794E9
68924997633,1.5336420193333333E9
68926046209,1.5414145896666667E9
68927094785,1.549220732E9
68928143361,1.5570027543333333E9
68929191937,1.5647907136666667E9
68930240513,1.5725702683333333E9
68931289089,1.5804162456666667E9
68932337665,1.5881966153333333E9
68933386241,1.5959824793333333E9
68934434817,1.6037745133333333E9
68935483393,1.6115285746666667E9
68936531969,1.6193084783333333E9
68937580545,1.627056603E9
68938629121,1.6348295226666667E9
68939677697,1.642588636E9
68940726273,1.65033995E9
68941774849,1.6580899836666667E9
68942823425,1.6658289586666667E9
68943872001,1.6735748943333333E9
68944920577,1.6813479996666667E9
68945969153,1.689131978E9
68947017729,1.69690534E9
68948066305,1.7046643373333333E9
68949114881,1.712412928E9
68950163457,1.7201569083333333E9
68951212033,1.7278857556666667E9
68952260609,1.735684029E9
68953309185,1.743428149E9
68954357761,1.751176832E9
68955406337,1.758917856E9
68956454913,1.7666818123333333E9
68957503489,1.774410962E9
68958552065,1.7821718683333333E9
68959600641,1.7899309123333333E9
68960649217,1.7977058336666667E9
68961697793,1.8054533993333333E9
68962746369,1.813425121E9
68963794945,1.821253451E9
68964843521,1.8290671133333333E9
68965892097,1.8369134633333333E9
68966940673,1.844695463E9
68967989249,1.8524837716666667E9
68969037825,1.8602587863333333E9
68970086401,1.8680631363333333E9
68971134977,1.8758913963333333E9
68972183553,1.8837005416666667E9
68973232129,1.8914729023333333E9
68974280705,1.8992340413333333E9
68975329281,1.9069716893333333E9
68976377857,1.9147082426666667E9
68977426433,1.922449755E9
68978475009,1.930242185E9
68979523585,1.938015337E9
68980572161,1.9458678796666667E9
68981620737,1.9537012383333333E9
68982669313,1.9614713173333333E9
68983717889,1.9692531073333333E9
68984766465,1.9770020933333333E9
68985815041,1.984765095E9
68986863617,1.9925233933333333E9
68987912193,2.0003506283333333E9
68988960769,2.008119683E9
68990009345,2.0158675513333333E9
68991057921,2.0236152803333333E9
68992106497,2.0313987233333333E9
68993155073,2.039158326E9
68994203649,2.0469142496666667E9
68995252225,2.0547171326666667E9
68996300801,2.0624694476666667E9
68997349377,2.070257757E9
68998397953,2.0780967736666667E9
68999446529,2.0859042896666667E9
69000495105,2.09422242E9
69001543681,2.1020276783333333E9
69002592257,2.1098126576666667E9
69003640833,2.1175684883333333E9
69004689409,2.1253722096666667E9
69005737985,2.1331758143333333E9
69006786561,2.1409333676666667E9
69007835137,2.148676417E9
69008883713,2.1564313396666665E9
69009932289,2.164166612E9
69010980865,2.1719223726666665E9
69012029441,2.1796700316666665E9
69013078017,2.1875570546666665E9
69014126593,2.1953426856666665E9
69015175169,2.203156767E9
69016223745,2.2109019116666665E9
69017272321,2.21869653E9
69018320897,2.226478529E9
69019369473,2.234225978E9
69020418049,2.241979434E9
69021466625,2.2497497693333335E9
69022515201,2.25748453E9
69023563777,2.265301848E9
69024612353,2.273069762E9
