LINE,
1099512676353,2.859192E7
1099513724929,4.7998037333333336E7
1099514773505,6.6036307333333336E7
1099515822081,8.381198266666667E7
1099516870657,1.0153459933333333E8
1099517919233,1.1918446033333333E8
1099518967809,1.3637178333333334E8
1099520016385,1.5411500433333334E8
1099521064961,1.7178537666666666E8
1099522113537,1.8905683966666666E8
1099523162113,2.0582264766666666E8
1099524210689,2.22751567E8
1099525259265,2.3963224666666666E8
1099526307841,2.5653853633333334E8
1099527356417,2.73532924E8
1099528404993,2.904113686666667E8
1099529453569,3.073853146666667E8
1099530502145,3.241991753333333E8
1099531550721,3.40942819E8
1099532599297,3.577496256666667E8
1099533647873,3.745024423333333E8
1099534696449,3.91253047E8
1099535745025,4.080655346666667E8
1099536793601,4.247566316666667E8
1099537842177,4.415445336666667E8
1099538890753,4.582434523333333E8
1099539939329,4.749719393333333E8
1099540987905,4.917200763333333E8
1099542036481,5.084867923333333E8
1099543085057,5.252268736666667E8
1099544133633,5.421866416666666E8
1099545182209,5.591707383333334E8
1099546230785,5.760746996666666E8
1099547279361,5.93066712E8
1099548327937,6.09869188E8
1099549376513,6.266312473333334E8
1099550425089,6.433535416666666E8
1099551473665,6.600884313333334E8
1099552522241,6.768976593333334E8
1099553570817,6.937263506666666E8
1099554619393,7.104383773333334E8
1099555667969,7.272857873333334E8
1099556716545,7.441279356666666E8
1099557765121,7.61127073E8
1099558813697,7.780309873333334E8
1099559862273,7.948375613333334E8
1099560910849,8.115979903333334E8
1099561959425,8.28369758E8
1099563008001,8.451480683333334E8
1099564056577,8.61929242E8
1099565105153,8.786504183333334E8
1099566153729,8.953652393333334E8
1099567202305,9.121763996666666E8
1099568250881,9.289714953333334E8
1099569299457,9.457370003333334E8
1099570348033,9.625305596666666E8
1099571396609,9.79454683E8
1099572445185,9.963219286666666E8
1099573493761,1.01332933E9
1099574542337,1.0302305906666666E9
1099575590913,1.0471558776666666E9
1099576639489,1.0641485653333334E9
1099577688065,1.081122441E9
1099578736641,1.0980075206666667E9
1099579785217,1.1148197753333333E9
1099580833793,1.131563535E9
1099581882369,1.1483177946666667E9
1099582930945,1.1650703083333333E9
1099583979521,1.182109094E9
1099585028097,1.1987995623333333E9
1099586076673,1.2155593866666667E9
1099587125249,1.232429054E9
1099588173825,1.2492183996666667E9
1099589222401,1.2661414753333333E9
1099590270977,1.2831112773333333E9
1099591319553,1.3001614476666667E9
1099592368129,1.3169330756666667E9
1099593416705,1.333735296E9
1099594465281,1.3504540746666667E9
1099595513857,1.3672816023333333E9
1099596562433,1.3840476193333333E9
1099597611009,1.4007896563333333E9
1099598659585,1.417529319E9
1099599708161,1.434343436E9
1099600756737,1.4510748796666667E9
1099601805313,1.467857916E9
1099602853889,1.484584913E9
1099603902465,1.501348276E9
1099604951041,1.518131941E9
1099605999617,1.5348531876666667E9
1099607048193,1.5518042243333333E9
1099608096769,1.5686990826666667E9
1099609145345,1.5857026663333333E9
1099610193921,1.6026003183333333E9
1099611242497,1.6194004203333333E9
1099612291073,1.6361674386666667E9
1099613339649,1.6529660966666667E9
1099614388225,1.6697229876666667E9
1099615436801,1.6865966596666667E9
1099616485377,1.7033590683333333E9
1099617533953,1.72008858E9
1099618582529,1.73703226E9
1099619631105,1.7538719406666667E9
1099620679681,1.770814247E9
1099621728257,1.7877177433333333E9
1099622776833,1.8044426683333333E9
1099623825409,1.821497355E9
1099624873985,1.838249916E9
1099625922561,1.855046968E9
1099626971137,1.871728938E9
1099628019713,1.888500054E9
1099629068289,1.9052066566666667E9
1099630116865,1.9219434093333333E9
1099631165441,1.9387002303333333E9
1099632214017,1.9554860836666667E9
1099633262593,1.97227657E9
1099634311169,1.98929254E9
1099635359745,2.0063474596666667E9
1099636408321,2.0232213643333333E9
1099637456897,2.0400972943333333E9
1099638505473,2.0570447456666667E9
1099639554049,2.0740042803333333E9
1099640602625,2.09098733E9
1099641651201,2.1078942016666667E9
1099642699777,2.1246263906666667E9
1099643748353,2.141456665E9
1099644796929,2.1581761423333335E9
1099645845505,2.1749291913333335E9
1099646894081,2.1916894116666665E9
1099647942657,2.2084265363333335E9
1099648991233,2.2251390986666665E9
1099650039809,2.2420416166666665E9
1099651088385,2.25888167E9
1099652136961,2.2757288006666665E9
1099653185537,2.2928867423333335E9
1099654234113,2.3098452993333335E9
1099655282689,2.3265721096666665E9
1099656331265,2.3434153523333335E9
1099657379841,2.3601403936666665E9
1099658428417,2.37686171E9
1099659476993,2.3935476616666665E9
1099660525569,2.410402219E9
1099661574145,2.4271056313333335E9
1099662622721,2.4438638253333335E9
1099663671297,2.4606189003333335E9
1099664719873,2.4773898996666665E9
1099665768449,2.4941598053333335E9
1099666817025,2.5108552086666665E9
1099667865601,2.527618269E9
1099668914177,2.5443662193333335E9
1099669962753,2.561297816E9
1099671011329,2.5783007476666665E9
1099672059905,2.5952519943333335E9
1099673108481,2.6121292283333335E9
1099674157057,2.6289195283333335E9
1099675205633,2.6456797483333335E9
1099676254209,2.662402089E9
1099677302785,2.6793220446666665E9
1099678351361,2.696107991E9
