LINE,
1099512676353,2.4838895666666668E7
1099513724929,3.4152195333333336E7
1099514773505,4.3354581333333336E7
1099515822081,5.3038152666666664E7
1099516870657,6.2423183E7
1099517919233,7.1732129E7
1099518967809,8.095821533333333E7
1099520016385,9.069470566666667E7
1099521064961,1.0047443066666667E8
1099522113537,1.0987899466666667E8
1099523162113,1.1907914533333333E8
1099524210689,1.2803441966666667E8
1099525259265,1.36903179E8
1099526307841,1.4580120333333334E8
1099527356417,1.54655993E8
1099528404993,1.6352433333333334E8
1099529453569,1.7272993166666666E8
1099530502145,1.8158800466666666E8
1099531550721,1.9049685533333334E8
1099532599297,1.9938957133333334E8
1099533647873,2.0845156866666666E8
1099534696449,2.17390243E8
1099535745025,2.2633259566666666E8
1099536793601,2.3518906266666666E8
1099537842177,2.4476050933333334E8
1099538890753,2.53656508E8
1099539939329,2.6262430766666666E8
1099540987905,2.715608633333333E8
1099542036481,2.804465716666667E8
1099543085057,2.893292766666667E8
1099544133633,2.98205835E8
1099545182209,3.070718006666667E8
1099546230785,3.163021943333333E8
1099547279361,3.251572636666667E8
1099548327937,3.34172116E8
1099549376513,3.431520216666667E8
1099550425089,3.52094235E8
1099551473665,3.609476516666667E8
1099552522241,3.698568976666667E8
1099553570817,3.787091736666667E8
1099554619393,3.878811766666667E8
1099555667969,3.96722557E8
1099556716545,4.055807466666667E8
1099557765121,4.145015866666667E8
1099558813697,4.23357634E8
1099559862273,4.322221326666667E8
1099560910849,4.41092964E8
1099561959425,4.499567406666667E8
1099563008001,4.591542833333333E8
1099564056577,4.680185956666667E8
1099565105153,4.768733856666667E8
1099566153729,4.858192766666667E8
1099567202305,4.94724658E8
1099568250881,5.03647594E8
1099569299457,5.125910176666667E8
1099570348033,5.214653876666667E8
1099571396609,5.30656854E8
1099572445185,5.39585354E8
1099573493761,5.484980223333334E8
1099574542337,5.574623763333334E8
1099575590913,5.66390597E8
1099576639489,5.753077356666666E8
1099577688065,5.84196098E8
1099578736641,5.930579196666666E8
1099579785217,6.022288046666666E8
1099580833793,6.11137911E8
1099581882369,6.200061813333334E8
1099582930945,6.28859691E8
1099583979521,6.377528256666666E8
1099585028097,6.466328293333334E8
1099586076673,6.555274776666666E8
1099587125249,6.64374073E8
1099588173825,6.735681933333334E8
1099589222401,6.82450712E8
1099590270977,6.912866206666666E8
1099591319553,7.001664623333334E8
1099592368129,7.090496793333334E8
1099593416705,7.179292646666666E8
1099594465281,7.267790026666666E8
1099595513857,7.356369593333334E8
1099596562433,7.448313356666666E8
1099597611009,7.539991713333334E8
1099598659585,7.62930861E8
1099599708161,7.718922343333334E8
1099600756737,7.808538406666666E8
1099601805313,7.897871133333334E8
1099602853889,7.986879546666666E8
1099603902465,8.075789713333334E8
1099604951041,8.16817979E8
1099605999617,8.25730438E8
1099607048193,8.346489966666666E8
1099608096769,8.43532307E8
1099609145345,8.524251156666666E8
1099610193921,8.61295226E8
1099611242497,8.70207871E8
1099612291073,8.79058214E8
1099613339649,8.882453033333334E8
1099614388225,8.971289863333334E8
1099615436801,9.060064063333334E8
1099616485377,9.148836866666666E8
1099617533953,9.237260216666666E8
1099618582529,9.325956886666666E8
1099619631105,9.41435928E8
1099620679681,9.503735076666666E8
1099621728257,9.595581293333334E8
1099622776833,9.685951683333334E8
1099623825409,9.775263453333334E8
1099624873985,9.86419131E8
1099625922561,9.95321625E8
1099626971137,1.004265654E9
1099628019713,1.0131748533333334E9
1099629068289,1.022080677E9
1099630116865,1.031420285E9
1099631165441,1.04034967E9
1099632214017,1.049348411E9
1099633262593,1.058344847E9
1099634311169,1.067340631E9
1099635359745,1.076249505E9
1099636408321,1.0851169366666667E9
1099637456897,1.0939733566666667E9
1099638505473,1.1032248203333333E9
1099639554049,1.1120677133333333E9
1099640602625,1.1209824076666667E9
1099641651201,1.129860433E9
1099642699777,1.1387371783333333E9
1099643748353,1.1476113856666667E9
1099644796929,1.156463242E9
1099645845505,1.1653337943333333E9
1099646894081,1.1745757823333333E9
1099647942657,1.1834531793333333E9
1099648991233,1.1922842453333333E9
1099650039809,1.201174587E9
1099651088385,1.2100352906666667E9
1099652136961,1.2189957096666667E9
1099653185537,1.2279376896666667E9
1099654234113,1.2369522616666667E9
1099655282689,1.246196997E9
1099656331265,1.255192129E9
1099657379841,1.2641089183333333E9
1099658428417,1.2730401423333333E9
1099659476993,1.281952904E9
1099660525569,1.290845224E9
1099661574145,1.2998230116666667E9
1099662622721,1.308836909E9
1099663671297,1.3181350286666667E9
1099664719873,1.32701033E9
1099665768449,1.3358833033333333E9
1099666817025,1.3447448453333333E9
1099667865601,1.353636071E9
1099668914177,1.3624963326666667E9
1099669962753,1.371353265E9
1099671011329,1.3802240963333333E9
1099672059905,1.3894195906666667E9
1099673108481,1.3982968243333333E9
1099674157057,1.4071519176666667E9
1099675205633,1.4160297803333333E9
1099676254209,1.424911321E9
1099677302785,1.4337997763333333E9
1099678351361,1.4426672086666667E9
1099679399937,1.4515402516666667E9
1099680448513,1.46073691E9
1099681497089,1.4695915136666667E9
1099682545665,1.4784680956666667E9
1099683594241,1.4873281006666667E9
1099684642817,1.4961749516666667E9
1099685691393,1.5050528836666667E9
1099686739969,1.5139164976666667E9
1099687788545,1.5229405916666667E9
1099688837121,1.5322168733333333E9
1099689885697,1.5412295833333333E9
1099690934273,1.5501515646666667E9
1099691982849,1.5594203263333333E9
1099693031425,1.5683342283333333E9
1099694080001,1.577253858E9
1099695128577,1.5861133513333333E9
1099696177153,1.5949802946666667E9
1099697225729,1.6041893856666667E9
1099698274305,1.6130155163333333E9
1099699322881,1.621887535E9
1099700371457,1.630814335E9
1099701420033,1.639851281E9
1099702468609,1.648752728E9
1099703517185,1.65764272E9
1099704565761,1.6665177883333333E9
1099705614337,1.6757045753333333E9
1099706662913,1.6845721003333333E9
1099707711489,1.6934271703333333E9
1099708760065,1.702317093E9
1099709808641,1.711164596E9
1099710857217,1.720037034E9
1099711905793,1.7288885646666667E9
1099712954369,1.7377944346666667E9
1099714002945,1.746997309E9
1099715051521,1.7559895773333333E9
1099716100097,1.7649522083333333E9
1099717148673,1.7738994263333333E9
1099718197249,1.7827992896666667E9
1099719245825,1.791714752E9
1099720294401,1.8006023693333333E9
1099721342977,1.8095249786666667E9
1099722391553,1.8187153973333333E9
1099723440129,1.8276546306666667E9
1099724488705,1.836521364E9
1099725537281,1.8454746356666667E9
1099726585857,1.854360088E9
1099727634433,1.8632261466666667E9
1099728683009,1.8721343213333333E9
1099729731585,1.881021054E9
1099730780161,1.890209657E9
1099731828737,1.8990767866666667E9
1099732877313,1.9079437536666667E9
1099733925889,1.9167945626666667E9
1099734974465,1.9256529616666667E9
1099736023041,1.934497322E9
1099737071617,1.9433864296666667E9
1099738120193,1.9522682266666667E9
1099739168769,1.9614815313333333E9
1099740217345,1.9705459266666667E9
1099741265921,1.9795088833333333E9
1099742314497,1.98838316E9
1099743363073,1.9972728266666667E9
1099744411649,2.006138396E9
1099745460225,2.0150760226666667E9
1099746508801,2.0240452656666667E9
1099747557377,2.0333572613333333E9
1099748605953,2.0423430806666667E9
1099749654529,2.0513078536666667E9
1099750703105,2.060276817E9
1099751751681,2.0692250133333333E9
1099752800257,2.078112654E9
1099753848833,2.0869794803333333E9
1099754897409,2.095877179E9
1099755945985,2.1050853153333333E9
1099756994561,2.113926695E9
1099758043137,2.1228081196666667E9
1099759091713,2.131664237E9
1099760140289,2.140526547E9
1099761188865,2.1493840613333335E9
1099762237441,2.158282668E9
1099763286017,2.1671564326666665E9
1099764334593,2.1763799346666665E9
1099765383169,2.1852458073333335E9
1099766431745,2.1941153813333335E9
