LINE,
17592187092993,3.3234102666666668E7
17592188141569,4.3602790333333336E7
17592189190145,5.705132E7
17592190238721,6.736254866666667E7
17592191287297,7.747141266666667E7
17592192335873,8.754598266666667E7
17592193384449,9.761612833333333E7
17592194433025,1.07670467E8
17592195481601,1.1763863966666667E8
17592196530177,1.2773823733333333E8
17592197578753,1.3774205433333334E8
17592198627329,1.4773143666666666E8
17592199675905,1.57707851E8
17592200724481,1.67652346E8
17592201773057,1.7761586233333334E8
17592202821633,1.87584314E8
17592203870209,1.97574837E8
17592204918785,2.07585406E8
17592205967361,2.1754252E8
17592207015937,2.2760069966666666E8
17592208064513,2.3756614866666666E8
17592209113089,2.4755737033333334E8
17592210161665,2.57502494E8
17592211210241,2.67475812E8
17592212258817,2.77404988E8
17592213307393,2.87390342E8
17592214355969,2.973576066666667E8
17592215404545,3.07308341E8
17592216453121,3.17251649E8
17592217501697,3.27167694E8
17592218550273,3.371331893333333E8
17592219598849,3.470767766666667E8
17592220647425,3.570410146666667E8
17592221696001,3.66967164E8
17592222744577,3.7695182E8
17592223793153,3.868904716666667E8
17592224841729,3.96825142E8
17592225890305,4.068269333333333E8
17592226938881,4.16772709E8
17592227987457,4.26715202E8
17592229036033,4.36642306E8
17592230084609,4.465867543333333E8
17592231133185,4.56518282E8
17592232181761,4.664988873333333E8
17592233230337,4.764288543333333E8
17592234278913,4.863709516666667E8
17592235327489,4.96333816E8
17592236376065,5.062965873333333E8
17592237424641,5.162443656666667E8
17592238473217,5.26198406E8
17592239521793,5.361719106666667E8
17592240570369,5.46137243E8
17592241618945,5.561161483333334E8
17592242667521,5.661725353333334E8
17592243716097,5.76247175E8
17592244764673,5.8632554E8
17592245813249,5.96373965E8
17592246861825,6.064374993333334E8
17592247910401,6.164311886666666E8
17592248958977,6.26407952E8
17592250007553,6.363484656666666E8
17592251056129,6.464336986666666E8
17592252104705,6.56519584E8
17592253153281,6.66573922E8
17592254201857,6.76572268E8
17592255250433,6.865616503333334E8
17592256299009,6.965226053333334E8
17592257347585,7.06503956E8
17592258396161,7.16521346E8
17592259444737,7.2649641E8
17592260493313,7.36484023E8
17592261541889,7.464488196666666E8
17592262590465,7.564194603333334E8
17592263639041,7.664120323333334E8
17592264687617,7.763662826666666E8
17592265736193,7.863024433333334E8
17592266784769,7.962547606666666E8
17592267833345,8.061969976666666E8
17592268881921,8.1616857E8
17592269930497,8.26169314E8
17592270979073,8.361286166666666E8
17592272027649,8.460590963333334E8
17592273076225,8.56027036E8
17592274124801,8.660072453333334E8
17592275173377,8.759561173333334E8
17592276221953,8.858924873333334E8
17592277270529,8.958544903333334E8
17592278319105,9.058031993333334E8
17592279367681,9.15759638E8
17592280416257,9.25732723E8
17592281464833,9.356532846666666E8
17592282513409,9.45588467E8
17592283561985,9.555091213333334E8
17592284610561,9.654860246666666E8
17592285659137,9.754864426666666E8
17592286707713,9.854645336666666E8
17592287756289,9.953940126666666E8
17592288804865,1.0053253766666666E9
17592289853441,1.0153276103333334E9
17592290902017,1.0253033263333334E9
17592291950593,1.035249498E9
17592292999169,1.0451993943333334E9
17592294047745,1.0552867226666666E9
17592295096321,1.0653981006666666E9
17592296144897,1.0754589113333333E9
17592297193473,1.085462193E9
17592298242049,1.0955024456666667E9
17592299290625,1.1054811183333333E9
17592300339201,1.1155263763333333E9
17592301387777,1.1254931286666667E9
17592302436353,1.1394545076666667E9
17592303484929,1.1494348803333333E9
17592304533505,1.1594156483333333E9
17592305582081,1.1693800026666667E9
17592306630657,1.1793485473333333E9
17592307679233,1.1892801446666667E9
17592308727809,1.1992253616666667E9
17592309776385,1.2092112516666667E9
17592310824961,1.219224707E9
17592311873537,1.2291949983333333E9
17592312922113,1.2391713893333333E9
17592313970689,1.2491663126666667E9
17592315019265,1.259159117E9
17592316067841,1.2691520383333333E9
17592317116417,1.279081447E9
17592318164993,1.2890400743333333E9
17592319213569,1.2989555836666667E9
17592320262145,1.3089104626666667E9
17592321310721,1.3188957703333333E9
17592322359297,1.3288497873333333E9
17592323407873,1.3387931416666667E9
17592324456449,1.348742852E9
17592325505025,1.3586662303333333E9
17592326553601,1.3686530053333333E9
17592327602177,1.3786210386666667E9
17592328650753,1.3885367343333333E9
17592329699329,1.3984900996666667E9
17592330747905,1.4084281226666667E9
17592331796481,1.4184093796666667E9
