LINE,
1152921504607895553,3.4634896E7
1152921504608944129,5.3833781E7
1152921504609992705,6.9004545E7
1152921504611041281,8.8189787E7
1152921504612089857,1.0747981933333333E8
1152921504613138433,1.2054697033333333E8
1152921504614187009,1.3373700166666667E8
1152921504615235585,1.7642737066666666E8
1152921504616284161,1.8929960766666666E8
1152921504617332737,2.0213950633333334E8
1152921504618381313,2.14537077E8
1152921504619429889,2.26929107E8
1152921504620478465,2.3936981866666666E8
1152921504621527041,2.51753048E8
1152921504622575617,2.64520052E8
1152921504623624193,2.768657046666667E8
1152921504624672769,2.89172407E8
1152921504625721345,3.01598428E8
1152921504626769921,3.139260603333333E8
1152921504627818497,3.2618273E8
1152921504628867073,3.385592773333333E8
1152921504629915649,3.508483326666667E8
1152921504630964225,3.632457166666667E8
1152921504632012801,3.75539638E8
1152921504633061377,3.880668403333333E8
1152921504634109953,4.004002E8
1152921504635158529,4.126974266666667E8
1152921504636207105,4.25058329E8
1152921504637255681,4.37358024E8
1152921504638304257,4.496059403333333E8
1152921504639352833,4.618811423333333E8
1152921504640401409,4.741998116666667E8
1152921504641449985,4.864418606666667E8
1152921504642498561,4.987374576666667E8
1152921504643547137,5.110948216666667E8
1152921504644595713,5.233734226666667E8
1152921504645644289,5.35533963E8
1152921504646692865,5.47815149E8
1152921504647741441,5.60121875E8
1152921504648790017,5.72414981E8
1152921504649838593,5.847447553333334E8
1152921504650887169,5.97210378E8
1152921504651935745,6.093787406666666E8
1152921504652984321,6.218535826666666E8
1152921504654032897,6.342279413333334E8
1152921504655081473,6.46470107E8
1152921504656130049,6.587492673333334E8
1152921504657178625,6.70969525E8
1152921504658227201,6.83246543E8
1152921504659275777,6.955219316666666E8
1152921504660324353,7.078028616666666E8
1152921504661372929,7.201012056666666E8
1152921504662421505,7.323126163333334E8
1152921504663470081,7.445137833333334E8
1152921504664518657,7.567960636666666E8
1152921504665567233,7.69038276E8
1152921504666615809,7.813307533333334E8
1152921504667664385,7.935020263333334E8
1152921504668712961,8.05800487E8
1152921504669761537,8.181371066666666E8
1152921504670810113,8.305079033333334E8
1152921504671858689,8.427173583333334E8
1152921504672907265,8.5491473E8
1152921504673955841,8.67204413E8
1152921504675004417,8.79446998E8
1152921504676052993,8.915849783333334E8
1152921504677101569,9.03885162E8
1152921504678150145,9.16179618E8
1152921504679198721,9.283615543333334E8
1152921504680247297,9.40575968E8
1152921504681295873,9.527583466666666E8
1152921504682344449,9.650755256666666E8
1152921504683393025,9.772226093333334E8
1152921504684441601,9.89458815E8
1152921504685490177,1.0016770936666666E9
1152921504686538753,1.013816145E9
1152921504687587329,1.0261131163333334E9
1152921504688635905,1.0383144926666666E9
1152921504689684481,1.050436595E9
1152921504690733057,1.0626544776666666E9
1152921504691781633,1.0750580783333333E9
1152921504692830209,1.0873237586666667E9
1152921504693878785,1.099619472E9
1152921504694927361,1.1118509976666667E9
1152921504695975937,1.1241654763333333E9
1152921504697024513,1.1363752106666667E9
1152921504698073089,1.1486607266666667E9
1152921504699121665,1.160843082E9
1152921504700170241,1.1729825756666667E9
