LINE,
1048577,389573.0
2097153,786860.0
3145729,1191604.0
4194305,1603012.0
5242881,2020596.0
6291457,2443730.0
7340033,2872176.0
8388609,3305493.0
9437185,3743529.0
10485761,4185953.0
11534337,4632670.0
12582913,5083519.0
13631489,5538134.0
14680065,5996711.0
15728641,6458846.0
16777217,6924530.0
17825793,7393844.0
18874369,7866376.0
19922945,8342204.0
20971521,8821146.0
22020097,9303423.0
23068673,9788564.0
24117249,1.0276696E7
25165825,1.0767922E7
26214401,1.1261818E7
27262977,1.1758655E7
28311553,1.2258391E7
29360129,1.2760612E7
30408705,1.326575E7
31457281,1.3773262E7
32505857,1.4283509E7
33554433,1.4796307E7
34603009,1.5311422E7
35651585,1.5829143E7
36700161,1.6349368E7
37748737,1.6872031E7
38797313,1.7397058E7
39845889,1.7924589E7
40894465,1.8454312E7
41943041,1.8986067E7
42991617,1.9520266E7
44040193,2.0056708E7
45088769,2.0595428E7
46137345,2.1136371E7
47185921,2.1679383E7
48234497,2.2224374E7
49283073,2.277163E7
50331649,2.3321159E7
51380225,2.3872507E7
52428801,2.4425995E7
53477377,2.498159E7
54525953,2.5538916E7
55574529,2.6098518E7
56623105,2.6660018E7
57671681,2.7223679E7
58720257,2.7789096E7
59768833,2.8356344E7
60817409,2.8925697E7
61865985,2.9496761E7
62914561,3.0069773E7
63963137,3.0644832E7
65011713,3.1221426E7
66060289,3.1800026E7
67108865,3.238053E7
68157441,3.2962823E7
69206017,3.3546694E7
70254593,3.4132585E7
71303169,3.4720166E7
72351745,3.5309632E7
73400321,3.5900618E7
74448897,3.6493343E7
75497473,3.7087939E7
76546049,3.7684169E7
77594625,3.8282057E7
78643201,3.8881584E7
79691777,3.948286E7
80740353,4.0085779E7
81788929,4.0690452E7
82837505,4.1296785E7
83886081,4.1904586E7
84934657,4.2513968E7
85983233,4.3125112E7
87031809,4.3737882E7
88080385,4.4352104E7
89128961,4.4968107E7
90177537,4.558551E7
91226113,4.6204658E7
92274689,4.6825192E7
93323265,4.7447194E7
94371841,4.8070925E7
95420417,4.8696331E7
96468993,4.9323071E7
97517569,4.9951405E7
98566145,5.0581281E7
99614721,5.1212357E7
100663297,5.1845101E7
101711873,5.24794E7
102760449,5.3115315E7
103809025,5.3752432E7
104857601,5.4391272E7
105906177,5.5031322E7
106954753,5.5672822E7
108003329,5.6315973E7
109051905,5.6960577E7
110100481,5.7606782E7
111149057,5.8253814E7
112197633,5.8902556E7
