LINE,
2905604097,3.825314743E9
2908749825,3.831017477E9
2911895553,3.836723028E9
2915041281,3.842431189E9
2918187009,3.848141836E9
2921332737,3.85385505E9
2924478465,3.859570839E9
2927624193,3.865289378E9
2930769921,3.871010185E9
2933915649,3.8767334E9
2937061377,3.882459148E9
2940207105,3.888187813E9
2943352833,3.893918862E9
2946498561,3.899652184E9
2949644289,3.905388335E9
2952790017,3.911126695E9
2955935745,3.916867123E9
2959081473,3.922610671E9
2962227201,3.928356849E9
2965372929,3.934105421E9
2968518657,3.939856605E9
2971664385,3.945609968E9
2974810113,3.951365669E9
2977955841,3.957124487E9
2981101569,3.962885791E9
2984247297,3.968649416E9
2987393025,3.974415484E9
2990538753,3.980183988E9
2993684481,3.985955357E9
2996830209,3.991728903E9
2999975937,3.997504505E9
3003121665,4.003283088E9
3006267393,4.009064108E9
3009413121,4.014847555E9
3012558849,4.020633876E9
3015704577,4.026422616E9
3018850305,4.032213606E9
3021996033,4.038007074E9
3025141761,4.04380302E9
3028287489,4.049601344E9
3031433217,4.055402442E9
3034578945,4.061206061E9
3037724673,4.067012107E9
3040870401,4.072820698E9
3044016129,4.078631928E9
3047161857,4.084445472E9
3050307585,4.090261105E9
3053453313,4.096079702E9
3056599041,4.10190067E9
3059744769,4.107724121E9
3062890497,4.113549545E9
3066036225,4.119378468E9
3069181953,4.125209226E9
3072327681,4.131042643E9
3075473409,4.136878594E9
3078619137,4.142716767E9
3081764865,4.148557222E9
3084910593,4.15440047E9
3088056321,4.160246035E9
3091202049,4.166093893E9
3094347777,4.171944264E9
3097493505,4.177797118E9
3100639233,4.183652123E9
3103784961,4.189510017E9
3106930689,4.195370316E9
3110076417,4.201233006E9
3113222145,4.207098634E9
3116367873,4.212966079E9
3119513601,4.21883622E9
3122659329,4.224708987E9
3125805057,4.230584433E9
3128950785,4.23646171E9
3132096513,4.242341667E9
3135242241,4.248223967E9
3138387969,4.254108924E9
3141533697,4.259996241E9
3144679425,4.265885788E9
3147825153,4.271778098E9
3150970881,4.277672612E9
3154116609,4.283569887E9
3157262337,4.289469617E9
3160408065,4.295371383E9
3163553793,4.301275789E9
3166699521,4.307182874E9
3169845249,4.313091986E9
3172990977,4.319003589E9
3176136705,4.32491736E9
3179282433,4.330834239E9
3182428161,4.336752894E9
3185573889,4.342674446E9
3188719617,4.348598077E9
3191865345,4.354524535E9
3195011073,4.360452897E9
3198156801,4.366384104E9
3201302529,4.372317585E9
3204448257,4.378253704E9
3207593985,4.384191936E9
3210739713,4.390132872E9
3213885441,4.396076032E9
3217031169,4.402021521E9
3220176897,4.407969285E9
3223322625,4.413919663E9
3226468353,4.419872621E9
3229614081,4.425827523E9
3232759809,4.431785093E9
3235905537,4.437745346E9
3239051265,4.443707518E9
3242196993,4.449672306E9
3245342721,4.455639754E9
3248488449,4.461609575E9
3251634177,4.467581486E9
3254779905,4.473556177E9
3257925633,4.479533083E9
3261071361,4.48551245E9
3264217089,4.491493751E9
3267362817,4.497477882E9
3270508545,4.503463879E9
3273654273,4.509452752E9
3276800001,4.515443927E9
3279945729,4.521437723E9
3283091457,4.527433771E9
