LINE,
2905604097,3.194190507E9
2908749825,3.197716765E9
2911895553,3.201243238E9
2915041281,3.204769876E9
2918187009,3.208296563E9
2921332737,3.211823304E9
2924478465,3.215349988E9
2927624193,3.218877089E9
2930769921,3.222403907E9
2933915649,3.225930975E9
2937061377,3.229457939E9
2940207105,3.232985214E9
2943352833,3.236512364E9
2946498561,3.240039467E9
2949644289,3.243566855E9
2952790017,3.247094182E9
2955935745,3.250621061E9
2959081473,3.254148596E9
2962227201,3.257676161E9
2965372929,3.261203879E9
2968518657,3.264731795E9
2971664385,3.26825937E9
2974810113,3.271787004E9
2977955841,3.275315233E9
2981101569,3.278843461E9
2984247297,3.282371654E9
2987393025,3.285899902E9
2990538753,3.289428182E9
2993684481,3.292956696E9
2996830209,3.296484941E9
2999975937,3.300012981E9
3003121665,3.303541517E9
3006267393,3.307070081E9
3009413121,3.310598562E9
3012558849,3.314127479E9
3015704577,3.317656407E9
3018850305,3.32118516E9
3021996033,3.324713939E9
3025141761,3.328242795E9
3028287489,3.33177165E9
3031433217,3.335300667E9
3034578945,3.338830143E9
3037724673,3.342359426E9
3040870401,3.345888889E9
3044016129,3.349418345E9
3047161857,3.352947919E9
3050307585,3.356477024E9
3053453313,3.360006827E9
3056599041,3.363536583E9
3059744769,3.367066277E9
3062890497,3.370595703E9
3066036225,3.374126075E9
3069181953,3.377655983E9
3072327681,3.381186059E9
3075473409,3.384716277E9
3078619137,3.388246339E9
3081764865,3.391776367E9
3084910593,3.395306494E9
3088056321,3.39883666E9
3091202049,3.402366753E9
3094347777,3.405896996E9
3097493505,3.409427334E9
3100639233,3.412957521E9
3103784961,3.416487945E9
3106930689,3.420018607E9
3110076417,3.423549258E9
3113222145,3.42708027E9
3116367873,3.430611011E9
3119513601,3.434142134E9
3122659329,3.437673237E9
3125805057,3.441204651E9
3128950785,3.444735739E9
3132096513,3.448267087E9
3135242241,3.451798252E9
3138387969,3.455329847E9
3141533697,3.458861195E9
3144679425,3.462392743E9
3147825153,3.465924339E9
3150970881,3.469456114E9
3154116609,3.472987958E9
3157262337,3.476519875E9
3160408065,3.480051592E9
3163553793,3.483583526E9
3166699521,3.487115885E9
3169845249,3.490647913E9
3172990977,3.494179898E9
3176136705,3.497711749E9
3179282433,3.501244217E9
3182428161,3.504776165E9
3185573889,3.508308606E9
3188719617,3.511841065E9
3191865345,3.5153737E9
3195011073,3.518906021E9
3198156801,3.522438898E9
3201302529,3.525971621E9
3204448257,3.529504659E9
3207593985,3.533037588E9
3210739713,3.536570562E9
3213885441,3.540103495E9
3217031169,3.543636678E9
3220176897,3.54716944E9
3223322625,3.550702694E9
3226468353,3.554235982E9
3229614081,3.557769207E9
3232759809,3.561302642E9
3235905537,3.56483629E9
3239051265,3.568369546E9
3242196993,3.571903181E9
3245342721,3.575437163E9
3248488449,3.578971155E9
3251634177,3.582504951E9
3254779905,3.586039147E9
3257925633,3.589573153E9
3261071361,3.593107319E9
3264217089,3.596641181E9
3267362817,3.600175411E9
3270508545,3.603709326E9
3273654273,3.607243756E9
3276800001,3.610778199E9
3279945729,3.614312796E9
3283091457,3.617847365E9
3286237185,3.621382179E9
3289382913,3.624916922E9
3292528641,3.62845152E9
3295674369,3.631986303E9
3298820097,3.6355213E9
3301965825,3.639056159E9
3305111553,3.642591344E9
3308257281,3.646126522E9
3311403009,3.649661237E9
3314548737,3.653196407E9
3317694465,3.656731753E9
3320840193,3.660267285E9
3323985921,3.663802781E9
3327131649,3.667338215E9
3330277377,3.670873603E9
3333423105,3.674409274E9
3336568833,3.677944823E9
3339714561,3.68148037E9
3342860289,3.685016037E9
3346006017,3.68855203E9
3349151745,3.692087711E9
3352297473,3.695623717E9
3355443201,3.699159756E9
3358588929,3.702695399E9
3361734657,3.70623157E9
3364880385,3.709767777E9
3368026113,3.713303967E9
3371171841,3.716840336E9
3374317569,3.720376867E9
3377463297,3.723913237E9
3380609025,3.727449485E9
3383754753,3.730985877E9
3386900481,3.734522717E9
3390046209,3.738059633E9
3393191937,3.741596239E9
3396337665,3.74513341E9
3399483393,3.748670139E9
3402629121,3.752207214E9
3405774849,3.755744159E9
3408920577,3.759281115E9
3412066305,3.762818211E9
3415212033,3.766355525E9
3418357761,3.769892901E9
3421503489,3.773430301E9
3424649217,3.776967931E9
3427794945,3.780505413E9
3430940673,3.784042949E9
3434086401,3.787580345E9
3437232129,3.791117761E9
3440377857,3.794655668E9
3443523585,3.79819343E9
3446669313,3.801731523E9
3449815041,3.805269201E9
3452960769,3.808807263E9
3456106497,3.812345211E9
3459252225,3.815883139E9
3462397953,3.819421213E9
3465543681,3.822959578E9
3468689409,3.826497412E9
3471835137,3.830035472E9
3474980865,3.833573682E9
3478126593,3.837111924E9
3481272321,3.840650615E9
3484418049,3.844188867E9
3487563777,3.84772757E9
3490709505,3.851265965E9
3493855233,3.854804457E9
3497000961,3.858343498E9
3500146689,3.861882313E9
3503292417,3.865421192E9
3506438145,3.868960345E9
3509583873,3.872499422E9
3512729601,3.876038735E9
3515875329,3.879577927E9
3519021057,3.883117108E9
3522166785,3.886656178E9
3525312513,3.890195642E9
3528458241,3.893735073E9
3531603969,3.897274363E9
3534749697,3.900813971E9
3537895425,3.904353847E9
3541041153,3.907893338E9
3544186881,3.911432825E9
3547332609,3.914972572E9
3550478337,3.918512627E9
3553624065,3.922052401E9
3556769793,3.925592636E9
3559915521,3.929132786E9
3563061249,3.932672358E9
3566206977,3.936212633E9
3569352705,3.939752958E9
3572498433,3.943293269E9
3575644161,3.946833352E9
3578789889,3.950373819E9
3581935617,3.953914365E9
3585081345,3.957454697E9
3588227073,3.960995178E9
3591372801,3.964535332E9
3594518529,3.968075706E9
3597664257,3.971616475E9
3600809985,3.975156902E9
3603955713,3.978697612E9
3607101441,3.982238655E9
3610247169,3.985779236E9
3613392897,3.989319919E9
3616538625,3.99286069E9
3619684353,3.996401917E9
3622830081,3.999943207E9
3625975809,4.003484405E9
3629121537,4.007025603E9
3632267265,4.010567048E9
3635412993,4.014108395E9
3638558721,4.017649613E9
3641704449,4.02119143E9
3644850177,4.024732858E9
3647995905,4.028274273E9
3651141633,4.031815944E9
3654287361,4.035357625E9
3657433089,4.038898962E9
3660578817,4.042440457E9
3663724545,4.04598214E9
3666870273,4.04952398E9
3670016001,4.053065871E9
3673161729,4.056607766E9
3676307457,4.060149707E9
3679453185,4.063691739E9
3682598913,4.067233904E9
3685744641,4.070775663E9
3688890369,4.074317546E9
3692036097,4.077859952E9
3695181825,4.08140227E9
3698327553,4.084944496E9
3701473281,4.088487034E9
3704619009,4.092029281E9
3707764737,4.095571736E9
3710910465,4.099114152E9
3714056193,4.102656709E9
3717201921,4.106199556E9
3720347649,4.109742578E9
3723493377,4.113285704E9
3726639105,4.116828523E9
3729784833,4.120371405E9
3732930561,4.12391441E9
3736076289,4.127457477E9
3739222017,4.131000487E9
3742367745,4.134543532E9
3745513473,4.138086712E9
3748659201,4.141629605E9
3751804929,4.145172674E9
3754950657,4.148715808E9
3758096385,4.152258943E9
3761242113,4.155802272E9
3764387841,4.159345698E9
3767533569,4.162889095E9
3770679297,4.166432634E9
3773825025,4.16997602E9
3776970753,4.173519562E9
3780116481,4.177063114E9
3783262209,4.180606837E9
3786407937,4.184150396E9
3789553665,4.187694183E9
3792699393,4.191237811E9
3795845121,4.194781804E9
3798990849,4.198325949E9
3802136577,4.201869876E9
3805282305,4.205414132E9
3808428033,4.208958443E9
3811573761,4.21250253E9
3814719489,4.216046774E9
3817865217,4.219591472E9
3821010945,4.223135827E9
3824156673,4.226680227E9
3827302401,4.230224378E9
3830448129,4.233769119E9
3833593857,4.237313472E9
3836739585,4.240857961E9
3839885313,4.244402763E9
3843031041,4.247947292E9
3846176769,4.251491796E9
3849322497,4.255036348E9
3852468225,4.258581288E9
3855613953,4.262125976E9
3858759681,4.265670929E9
3861905409,4.269216118E9
3865051137,4.272761072E9
3868196865,4.276306452E9
3871342593,4.279851795E9
3874488321,4.283396967E9
3877634049,4.286942402E9
3880779777,4.290487602E9
3883925505,4.294033266E9
3887071233,4.297578763E9
3890216961,4.301124157E9
3893362689,4.304669406E9
3896508417,4.308214806E9
3899654145,4.311760465E9
3902799873,4.315306114E9
3905945601,4.318852134E9
3909091329,4.322398003E9
3912237057,4.325943638E9
3915382785,4.329489082E9
3918528513,4.33303471E9
3921674241,4.336580706E9
3924819969,4.340126415E9
3927965697,4.343672474E9
3931111425,4.34721888E9
3934257153,4.350764852E9
3937402881,4.354311033E9
3940548609,4.357857483E9
3943694337,4.361403712E9
3946840065,4.36495008E9
3949985793,4.368496794E9
3953131521,4.372043184E9
3956277249,4.375589714E9
3959422977,4.379136203E9
3962568705,4.382682938E9
3965714433,4.386229624E9
3968860161,4.389776121E9
3972005889,4.393322737E9
3975151617,4.396869634E9
3978297345,4.400416235E9
3981443073,4.403963125E9
3984588801,4.407510087E9
3987734529,4.411056979E9
3990880257,4.414603783E9
3994025985,4.418150696E9
3997171713,4.421697899E9
4000317441,4.425245056E9
4003463169,4.428792477E9
4006608897,4.432339482E9
4009754625,4.435886675E9
4012900353,4.439433672E9
4016046081,4.44298088E9
4019191809,4.446528159E9
4022337537,4.450076117E9
4025483265,4.45362365E9
4028628993,4.457171077E9
4031774721,4.460718821E9
4034920449,4.464266442E9
4038066177,4.467814462E9
4041211905,4.471362037E9
4044357633,4.474909995E9
4047503361,4.478457876E9
4050649089,4.482006008E9
4053794817,4.485554266E9
4056940545,4.489102585E9
4060086273,4.492650933E9
4063232001,4.496199443E9
4066377729,4.499747896E9
4069523457,4.503296302E9
4072669185,4.506844286E9
4075814913,4.510392894E9
4078960641,4.513941358E9
4082106369,4.517490005E9
4085252097,4.521038838E9
4088397825,4.524587502E9
4091543553,4.52813644E9
4094689281,4.531685171E9
4097835009,4.535234104E9
4100980737,4.538782932E9
4104126465,4.542331811E9
4107272193,4.545880877E9
4110417921,4.549430115E9
4113563649,4.552978998E9
4116709377,4.556528374E9
4119855105,4.56007783E9
4123000833,4.563627032E9
4126146561,4.567176446E9
4129292289,4.570725798E9
4132438017,4.574275242E9
4135583745,4.577824957E9
4138729473,4.581374223E9
4141875201,4.584923334E9
4145020929,4.588473002E9
4148166657,4.592022452E9
4151312385,4.595572114E9
4154458113,4.59912171E9
4157603841,4.602671137E9
4160749569,4.606220955E9
4163895297,4.609770254E9
4167041025,4.613319858E9
4170186753,4.616869588E9
4173332481,4.620419384E9
4176478209,4.62396914E9
4179623937,4.627518979E9
4182769665,4.631068983E9
4185915393,4.63461913E9
4189061121,4.638169207E9
4192206849,4.641719331E9
4195352577,4.645269507E9
4198498305,4.648819779E9
4201644033,4.652370288E9
4204789761,4.655920947E9
4207935489,4.659471179E9
4211081217,4.663021436E9
4214226945,4.666572091E9
4217372673,4.67012252E9
4220518401,4.673673135E9
4223664129,4.677223814E9
4226809857,4.680773997E9
4229955585,4.684324861E9
4233101313,4.687875478E9
4236247041,4.691426303E9
4239392769,4.694977024E9
4242538497,4.698527929E9
4245684225,4.702078819E9
4248829953,4.705629988E9
4251975681,4.709180958E9
4255121409,4.712732107E9
4258267137,4.716283167E9
4261412865,4.719834236E9
4264558593,4.723385491E9
4267704321,4.726936672E9
4270850049,4.730488008E9
4273995777,4.734039576E9
4277141505,4.73759142E9
4280287233,4.741142927E9
4283432961,4.744694522E9
4286578689,4.748246391E9
4289724417,4.751797609E9
4292870145,4.755349206E9
4296015873,4.758853564E9
4299161601,4.762263451E9
4302307329,4.76567349E9
4305453057,4.769083581E9
4308598785,4.772493723E9
4311744513,4.775904E9
4314890241,4.779314213E9
4318035969,4.782724571E9
4321181697,4.786135039E9
4324327425,4.789545547E9
4327473153,4.792956061E9
4330618881,4.796366631E9
4333764609,4.799777226E9
4336910337,4.803187896E9
4340056065,4.806598608E9
4343201793,4.810009461E9
4346347521,4.813420244E9
4349493249,4.816831142E9
4352638977,4.820242077E9
4355784705,4.823653052E9
4358930433,4.827064098E9
4362076161,4.830475141E9
4365221889,4.833886269E9
4368367617,4.837297453E9
4371513345,4.840708664E9
4374659073,4.844119963E9
4377804801,4.847531321E9
4380950529,4.850942671E9
4384096257,4.854354085E9
4387241985,4.857765538E9
4390387713,4.861177068E9
4393533441,4.864588507E9
4396679169,4.868000033E9
4399824897,4.871411561E9
4402970625,4.874823193E9
4406116353,4.878234831E9
4409262081,4.881646573E9
4412407809,4.885058346E9
4415553537,4.8884701E9
4418699265,4.891881989E9
4421844993,4.895293937E9
4424990721,4.898705826E9
4428136449,4.902117928E9
4431282177,4.905530036E9
4434427905,4.908942116E9
4437573633,4.912354302E9
4440719361,4.915766537E9
4443865089,4.919178873E9
4447010817,4.922591184E9
4450156545,4.926003496E9
4453302273,4.929415896E9
4456448001,4.932828367E9
4459593729,4.936240962E9
4462739457,4.939653489E9
4465885185,4.943066089E9
4469030913,4.946478733E9
4472176641,4.949891493E9
4475322369,4.953304255E9
4478468097,4.95671702E9
4481613825,4.960129869E9
4484759553,4.963542846E9
4487905281,4.966955829E9
4491051009,4.970368807E9
4494196737,4.973781937E9
4497342465,4.977195057E9
4500488193,4.980608226E9
4503633921,4.984021454E9
4506779649,4.987434759E9
4509925377,4.990848048E9
4513071105,4.994261452E9
4516216833,4.997674885E9
4519362561,5.001088415E9
4522508289,5.004501975E9
4525654017,5.007915648E9
4528799745,5.011329318E9
4531945473,5.014743106E9
4535091201,5.018156851E9
4538236929,5.021570633E9
4541382657,5.024984454E9
4544528385,5.028398378E9
4547674113,5.031812275E9
4550819841,5.035226298E9
4553965569,5.038640371E9
4557111297,5.042054565E9
4560257025,5.045468734E9
4563402753,5.048883014E9
4566548481,5.052297352E9
4569694209,5.055711689E9
4572839937,5.05912621E9
4575985665,5.06254066E9
4579131393,5.065955199E9
4582277121,5.06936974E9
4585422849,5.072784311E9
4588568577,5.076198976E9
4591714305,5.07961362E9
4594860033,5.083028417E9
4598005761,5.086443233E9
4601151489,5.089858163E9
4604297217,5.093273075E9
4607442945,5.096688082E9
4610588673,5.10010308E9
4613734401,5.103518189E9
4616880129,5.106933255E9
4620025857,5.110348468E9
4623171585,5.113763743E9
4626317313,5.11717902E9
4629463041,5.120594418E9
4632608769,5.124009797E9
4635754497,5.127425213E9
4638900225,5.130840646E9
4642045953,5.134256168E9
4645191681,5.137671733E9
4648337409,5.141087359E9
4651483137,5.144502971E9
4654628865,5.147918585E9
4657774593,5.151334368E9
4660920321,5.154750134E9
4664066049,5.15816593E9
4667211777,5.161581768E9
4670357505,5.164997647E9
4673503233,5.168413479E9
