LINE,
2905604097,4.797508042E9
2908749825,4.802767636E9
2911895553,4.808027571E9
2915041281,4.813287767E9
2918187009,4.818548026E9
2921332737,4.823808337E9
2924478465,4.829068432E9
2927624193,4.834329321E9
2930769921,4.839589626E9
2933915649,4.844850334E9
2937061377,4.850110724E9
2940207105,4.855371753E9
2943352833,4.860632489E9
2946498561,4.865893062E9
2949644289,4.871154129E9
2952790017,4.876415019E9
2955935745,4.881675152E9
2959081473,4.886936297E9
2962227201,4.892197415E9
2965372929,4.897458717E9
2968518657,4.902720366E9
2971664385,4.907981229E9
2974810113,4.913242238E9
2977955841,4.918504216E9
2981101569,4.923766119E9
2984247297,4.929027952E9
2987393025,4.934289771E9
2990538753,4.939551549E9
2993684481,4.944813828E9
2996830209,4.950075381E9
2999975937,4.955336541E9
3003121665,4.960598648E9
3006267393,4.965860728E9
3009413121,4.97112259E9
3012558849,4.976385282E9
3015704577,4.981647896E9
3018850305,4.986910109E9
3021996033,4.992172391E9
3025141761,4.997434682E9
3028287489,5.00269693E9
3031433217,5.007959455E9
3034578945,5.013222767E9
3037724673,5.018485649E9
3040870401,5.02374878E9
3044016129,5.029011924E9
3047161857,5.034275206E9
3050307585,5.039537591E9
3053453313,5.044801077E9
3056599041,5.050064553E9
3059744769,5.055327847E9
3062890497,5.060590567E9
3066036225,5.065855065E9
3069181953,5.071118505E9
3072327681,5.076382346E9
3075473409,5.081646362E9
3078619137,5.086909989E9
3081764865,5.092173565E9
3084910593,5.097437251E9
3088056321,5.102701062E9
3091202049,5.107964646E9
3094347777,5.113228332E9
3097493505,5.118492183E9
3100639233,5.123755642E9
3103784961,5.129019461E9
3106930689,5.134283685E9
3110076417,5.139547873E9
3113222145,5.14481272E9
3116367873,5.15007696E9
3119513601,5.155341717E9
3122659329,5.160606535E9
3125805057,5.165871821E9
3128950785,5.171136381E9
3132096513,5.176401353E9
3135242241,5.181665942E9
3138387969,5.186931315E9
3141533697,5.192196173E9
3144679425,5.197461344E9
3147825153,5.202726613E9
3150970881,5.207992066E9
3154116609,5.21325764E9
3157262337,5.21852332E9
3160408065,5.223788539E9
3163553793,5.229054048E9
3166699521,5.23432041E9
3169845249,5.239586006E9
3172990977,5.244851539E9
3176136705,5.250116726E9
3179282433,5.25538307E9
3182428161,5.260648341E9
3185573889,5.265914554E9
3188719617,5.271180696E9
3191865345,5.276447065E9
3195011073,5.281712758E9
3198156801,5.286979419E9
3201302529,5.292245737E9
3204448257,5.297512671E9
3207593985,5.302779291E9
3210739713,5.308045956E9
3213885441,5.313312502E9
3217031169,5.31857936E9
3220176897,5.323845405E9
3223322625,5.329113158E9
3226468353,5.334380108E9
3229614081,5.339646818E9
3232759809,5.344913861E9
3235905537,5.350181327E9
3239051265,5.355447986E9
3242196993,5.360715214E9
3245342721,5.365983062E9
3248488449,5.371250853E9
3251634177,5.376518215E9
3254779905,5.38178634E9
