LINE,
1099512676353,1634786.0
1099513724929,3272441.0
1099514773505,4909427.0
1099515822081,6544451.0
1099516870657,8180266.0
1099517919233,9819105.0
1099518967809,1.1452516E7
1099520016385,1.3090521E7
1099521064961,1.4727941E7
1099522113537,1.6364384E7
1099523162113,1.799948E7
1099524210689,1.9637078E7
1099525259265,2.1272769E7
1099526307841,2.2910322E7
1099527356417,2.4546568E7
1099528404993,2.6180952E7
1099529453569,2.7818321E7
1099530502145,2.9455212E7
1099531550721,3.1090896E7
1099532599297,3.2729131E7
1099533647873,3.4364394E7
1099534696449,3.5999664E7
1099535745025,3.7637628E7
1099536793601,3.9272813E7
1099537842177,4.0910613E7
1099538890753,4.2545828E7
1099539939329,4.4182112E7
1099540987905,4.581932E7
1099542036481,4.7455623E7
1099543085057,4.9091889E7
1099544133633,5.0727438E7
1099545182209,5.2365028E7
1099546230785,5.4000278E7
1099547279361,5.563872E7
1099548327937,5.7274314E7
1099549376513,5.8911496E7
1099550425089,6.0547442E7
1099551473665,6.2182445E7
1099552522241,6.3818667E7
1099553570817,6.5457174E7
1099554619393,6.7092284E7
1099555667969,6.8729049E7
1099556716545,7.0364873E7
1099557765121,7.2003411E7
1099558813697,7.3638531E7
1099559862273,7.5274668E7
1099560910849,7.6911691E7
1099561959425,7.8548244E7
1099563008001,8.0183916E7
1099564056577,8.1821418E7
1099565105153,8.3456874E7
1099566153729,8.5092593E7
1099567202305,8.6730083E7
1099568250881,8.8367197E7
1099569299457,9.0002358E7
1099570348033,9.1640005E7
1099571396609,9.3277078E7
1099572445185,9.4912481E7
1099573493761,9.6547858E7
1099574542337,9.8185687E7
1099575590913,9.9820042E7
1099576639489,1.01458107E8
1099577688065,1.03095356E8
1099578736641,1.04730628E8
1099579785217,1.06367591E8
1099580833793,1.08003212E8
1099581882369,1.09639904E8
1099582930945,1.11278311E8
1099583979521,1.12913414E8
1099585028097,1.14548919E8
1099586076673,1.16186466E8
1099587125249,1.1782252E8
1099588173825,1.19457156E8
1099589222401,1.21098447E8
1099590270977,1.22730009E8
1099591319553,1.24369755E8
1099592368129,1.26003508E8
1099593416705,1.27641083E8
1099594465281,1.29276175E8
1099595513857,1.30915438E8
1099596562433,1.32551129E8
1099597611009,1.34188212E8
1099598659585,1.35823797E8
1099599708161,1.37460882E8
1099600756737,1.39097307E8
1099601805313,1.40733151E8
1099602853889,1.42368959E8
1099603902465,1.44006298E8
1099604951041,1.45643875E8
1099605999617,1.47279313E8
1099607048193,1.48915438E8
1099608096769,1.50550654E8
1099609145345,1.52188859E8
1099610193921,1.53824006E8
1099611242497,1.55460752E8
1099612291073,1.57097056E8
1099613339649,1.58734481E8
1099614388225,1.60371266E8
1099615436801,1.62007866E8
1099616485377,1.63644887E8
1099617533953,1.65280662E8
1099618582529,1.66917378E8
1099619631105,1.68552086E8
1099620679681,1.70191201E8
1099621728257,1.71826468E8
1099622776833,1.73461734E8
1099623825409,1.75098487E8
1099624873985,1.76734707E8
1099625922561,1.78372699E8
1099626971137,1.80007942E8
1099628019713,1.81646089E8
1099629068289,1.83281723E8
1099630116865,1.84917789E8
1099631165441,1.86553709E8
1099632214017,1.88191146E8
1099633262593,1.89826866E8
1099634311169,1.91463559E8
1099635359745,1.9310046E8
1099636408321,1.94735535E8
1099637456897,1.96372945E8
1099638505473,1.98008615E8
1099639554049,1.99646705E8
1099640602625,2.01283119E8
1099641651201,2.02919423E8
1099642699777,2.04554167E8
1099643748353,2.06193515E8
1099644796929,2.0782864E8
1099645845505,2.09466073E8
1099646894081,2.11101332E8
1099647942657,2.12738252E8
1099648991233,2.1437492E8
1099650039809,2.16010615E8
1099651088385,2.17647519E8
1099652136961,2.19282929E8
1099653185537,2.20920562E8
1099654234113,2.22557736E8
1099655282689,2.2419205E8
1099656331265,2.25830841E8
1099657379841,2.27466542E8
1099658428417,2.29103591E8
1099659476993,2.3073747E8
1099660525569,2.32376622E8
1099661574145,2.34011308E8
1099662622721,2.35648073E8
1099663671297,2.37283771E8
1099664719873,2.3892218E8
1099665768449,2.4055906E8
1099666817025,2.4219374E8
1099667865601,2.43831427E8
1099668914177,2.45467892E8
1099669962753,2.47103151E8
1099671011329,2.48740861E8
1099672059905,2.50376522E8
1099673108481,2.52013238E8
1099674157057,2.53650078E8
1099675205633,2.55285735E8
1099676254209,2.56920623E8
1099677302785,2.5855968E8
1099678351361,2.60196788E8
1099679399937,2.61831282E8
1099680448513,2.63469448E8
1099681497089,2.65105793E8
1099682545665,2.66743102E8
1099683594241,2.68378684E8
1099684642817,2.70014069E8
1099685691393,2.71652074E8
1099686739969,2.7328662E8
1099687788545,2.74924371E8
1099688837121,2.76561079E8
1099689885697,2.78198611E8
1099690934273,2.79832272E8
1099691982849,2.8147036E8
1099693031425,2.83105897E8
1099694080001,2.84743757E8
1099695128577,2.86380271E8
1099696177153,2.88016196E8
1099697225729,2.89654209E8
1099698274305,2.91288518E8
1099699322881,2.92925232E8
1099700371457,2.94561717E8
1099701420033,2.96199802E8
1099702468609,2.97834697E8
1099703517185,2.99472021E8
1099704565761,3.01108514E8
1099705614337,3.02745093E8
1099706662913,3.04381631E8
1099707711489,3.06018081E8
1099708760065,3.07654187E8
1099709808641,3.09291231E8
1099710857217,3.10927783E8
1099711905793,3.12563652E8
1099712954369,3.14199022E8
1099714002945,3.15836985E8
1099715051521,3.17473493E8
1099716100097,3.19108169E8
1099717148673,3.20745512E8
1099718197249,3.22382517E8
1099719245825,3.24019633E8
1099720294401,3.25656508E8
1099721342977,3.2729262E8
1099722391553,3.2892898E8
1099723440129,3.30562629E8
1099724488705,3.32201524E8
1099725537281,3.33838506E8
1099726585857,3.3547276E8
1099727634433,3.37109666E8
1099728683009,3.38747568E8
1099729731585,3.40384518E8
1099730780161,3.42020738E8
1099731828737,3.43657247E8
1099732877313,3.45293905E8
1099733925889,3.4693054E8
1099734974465,3.48566658E8
1099736023041,3.50203688E8
1099737071617,3.51838409E8
1099738120193,3.53476043E8
1099739168769,3.55111029E8
1099740217345,3.56749888E8
1099741265921,3.5838495E8
1099742314497,3.60022169E8
1099743363073,3.61656119E8
1099744411649,3.63295732E8
1099745460225,3.64931479E8
1099746508801,3.6656699E8
1099747557377,3.68204236E8
1099748605953,3.69840921E8
1099749654529,3.71475807E8
1099750703105,3.73113117E8
1099751751681,3.74750521E8
1099752800257,3.76386897E8
1099753848833,3.78022494E8
1099754897409,3.79660479E8
1099755945985,3.81296262E8
1099756994561,3.82932453E8
1099758043137,3.84569061E8
1099759091713,3.86203826E8
1099760140289,3.87842447E8
1099761188865,3.89480531E8
1099762237441,3.91113826E8
1099763286017,3.9275123E8
1099764334593,3.9438847E8
1099765383169,3.96024644E8
1099766431745,3.97661458E8
1099767480321,3.99298318E8
1099768528897,4.00933221E8
1099769577473,4.02570335E8
1099770626049,4.04205796E8
1099771674625,4.05844607E8
1099772723201,4.07479041E8
1099773771777,4.0911548E8
1099774820353,4.10752753E8
1099775868929,4.12390698E8
1099776917505,4.14026111E8
1099777966081,4.15662075E8
1099779014657,4.17299698E8
1099780063233,4.18934006E8
1099781111809,4.20572552E8
1099782160385,4.22208807E8
1099783208961,4.2384603E8
1099784257537,4.25482027E8
1099785306113,4.27117153E8
1099786354689,4.28754015E8
1099787403265,4.3039033E8
1099788451841,4.32027317E8
1099789500417,4.33665352E8
1099790548993,4.35300805E8
1099791597569,4.36936379E8
1099792646145,4.38573015E8
1099793694721,4.40210517E8
1099794743297,4.418483E8
1099795791873,4.4348256E8
1099796840449,4.45119789E8
1099797889025,4.46756191E8
1099798937601,4.4839263E8
1099799986177,4.50029861E8
1099801034753,4.5166494E8
1099802083329,4.53302243E8
1099803131905,4.54938693E8
1099804180481,4.56575775E8
1099805229057,4.58213145E8
1099806277633,4.59846216E8
1099807326209,4.61486702E8
1099808374785,4.63122487E8
1099809423361,4.64758257E8
1099810471937,4.66394833E8
1099811520513,4.68031581E8
1099812569089,4.69668035E8
1099813617665,4.71304573E8
1099814666241,4.72941576E8
1099815714817,4.74577379E8
1099816763393,4.76213036E8
1099817811969,4.7785066E8
1099818860545,4.79487197E8
1099819909121,4.81123428E8
1099820957697,4.82760077E8
1099822006273,4.84396629E8
1099823054849,4.86033679E8
1099824103425,4.87669148E8
1099825152001,4.89307464E8
1099826200577,4.90944798E8
1099827249153,4.92577662E8
1099828297729,4.942158E8
1099829346305,4.95853338E8
1099830394881,4.97488824E8
1099831443457,4.99123913E8
1099832492033,5.00761717E8
1099833540609,5.02398651E8
1099834589185,5.04035684E8
1099835637761,5.05670801E8
1099836686337,5.07307874E8
1099837734913,5.08945263E8
1099838783489,5.10578871E8
1099839832065,5.12219514E8
1099840880641,5.13854601E8
1099841929217,5.15489477E8
1099842977793,5.17126975E8
1099844026369,5.18762635E8
1099845074945,5.20401502E8
1099846123521,5.22036326E8
1099847172097,5.23673985E8
1099848220673,5.25308858E8
1099849269249,5.26946662E8
1099850317825,5.28581207E8
1099851366401,5.30221731E8
1099852414977,5.3185445E8
1099853463553,5.33490701E8
1099854512129,5.35128868E8
1099855560705,5.367663E8
1099856609281,5.3840206E8
1099857657857,5.40038571E8
1099858706433,5.41673862E8
1099859755009,5.43311225E8
1099860803585,5.44948181E8
1099861852161,5.46585257E8
1099862900737,5.48221844E8
1099863949313,5.49858937E8
1099864997889,5.51494485E8
1099866046465,5.53130033E8
1099867095041,5.5476772E8
1099868143617,5.56402657E8
1099869192193,5.58041561E8
1099870240769,5.59675682E8
1099871289345,5.61312127E8
1099872337921,5.6295055E8
1099873386497,5.64585881E8
1099874435073,5.66222699E8
1099875483649,5.67859496E8
1099876532225,5.69496943E8
1099877580801,5.71131591E8
1099878629377,5.72768295E8
1099879677953,5.74403795E8
1099880726529,5.76041822E8
1099881775105,5.77677874E8
1099882823681,5.79315681E8
1099883872257,5.80952522E8
1099884920833,5.82589185E8
1099885969409,5.84225152E8
1099887017985,5.85861111E8
1099888066561,5.87497617E8
