LINE,
1099512676353,1294276.0
1099513724929,2574761.0
1099514773505,3855247.0
1099515822081,5135251.0
1099516870657,6415541.0
1099517919233,7696209.0
1099518967809,8976019.0
1099520016385,1.0256699E7
1099521064961,1.153693E7
1099522113537,1.2817299E7
1099523162113,1.4097586E7
1099524210689,1.5378077E7
1099525259265,1.6658183E7
1099526307841,1.7938659E7
1099527356417,1.9218939E7
1099528404993,2.0498994E7
1099529453569,2.1779405E7
1099530502145,2.305981E7
1099531550721,2.4340079E7
1099532599297,2.5620505E7
1099533647873,2.6900793E7
1099534696449,2.8180816E7
1099535745025,2.9461266E7
1099536793601,3.0741539E7
1099537842177,3.2021882E7
1099538890753,3.3302164E7
1099539939329,3.4582446E7
1099540987905,3.5862897E7
1099542036481,3.7143129E7
1099543085057,3.8423432E7
1099544133633,3.9703601E7
1099545182209,4.0984119E7
1099546230785,4.2264187E7
1099547279361,4.3544829E7
1099548327937,4.4825143E7
1099549376513,4.6105523E7
1099550425089,4.7385765E7
1099551473665,4.8665825E7
1099552522241,4.994615E7
1099553570817,5.12268E7
1099554619393,5.2506848E7
1099555667969,5.3787199E7
1099556716545,5.5067427E7
1099557765121,5.6348008E7
1099558813697,5.7628042E7
1099559862273,5.8908459E7
1099560910849,6.0188857E7
1099561959425,6.1469112E7
1099563008001,6.2749471E7
1099564056577,6.4029752E7
1099565105153,6.5309963E7
1099566153729,6.6590205E7
1099567202305,6.7870591E7
1099568250881,6.9151027E7
1099569299457,7.0431151E7
1099570348033,7.1711711E7
1099571396609,7.2992046E7
1099572445185,7.4272154E7
1099573493761,7.5552428E7
1099574542337,7.6832929E7
1099575590913,7.8112851E7
1099576639489,7.9393422E7
1099577688065,8.067374E7
1099578736641,8.1954153E7
1099579785217,8.3234392E7
1099580833793,8.4514571E7
1099581882369,8.5794941E7
1099582930945,8.7075565E7
1099583979521,8.8355596E7
1099585028097,8.9635799E7
1099586076673,9.0916253E7
1099587125249,9.2196488E7
1099588173825,9.347662E7
1099589222401,9.4757578E7
1099590270977,9.6037204E7
1099591319553,9.7317977E7
1099592368129,9.8597977E7
1099593416705,9.9878463E7
1099594465281,1.01158713E8
1099595513857,1.02439252E8
1099596562433,1.03719481E8
1099597611009,1.04999961E8
1099598659585,1.0627993E8
1099599708161,1.07560566E8
1099600756737,1.08840728E8
1099601805313,1.10121018E8
1099602853889,1.11401266E8
1099603902465,1.12681663E8
1099604951041,1.13962043E8
1099605999617,1.15242357E8
1099607048193,1.16522575E8
1099608096769,1.17802744E8
1099609145345,1.19083257E8
1099610193921,1.2036345E8
1099611242497,1.21643733E8
1099612291073,1.22924085E8
1099613339649,1.24204492E8
1099614388225,1.2548484E8
1099615436801,1.26765184E8
1099616485377,1.28045585E8
1099617533953,1.29325787E8
1099618582529,1.30606162E8
1099619631105,1.31886162E8
1099620679681,1.33166913E8
1099621728257,1.34447007E8
1099622776833,1.35727279E8
1099623825409,1.37007484E8
1099624873985,1.38287865E8
1099625922561,1.39568344E8
1099626971137,1.40848549E8
1099628019713,1.42129054E8
1099629068289,1.43409234E8
1099630116865,1.44689475E8
1099631165441,1.45969817E8
1099632214017,1.47250109E8
1099633262593,1.48530399E8
1099634311169,1.49810744E8
1099635359745,1.51091149E8
1099636408321,1.52371265E8
1099637456897,1.53651758E8
1099638505473,1.5493192E8
1099639554049,1.56212391E8
1099640602625,1.57492731E8
1099641651201,1.58773009E8
1099642699777,1.60053248E8
1099643748353,1.61333826E8
1099644796929,1.62613987E8
1099645845505,1.63894424E8
1099646894081,1.6517462E8
1099647942657,1.6645489E8
1099648991233,1.67735246E8
1099650039809,1.69015398E8
1099651088385,1.70295886E8
1099652136961,1.71575972E8
1099653185537,1.7285653E8
1099654234113,1.74137004E8
1099655282689,1.75416956E8
1099656331265,1.76697538E8
1099657379841,1.77977928E8
1099658428417,1.79258238E8
1099659476993,1.80538177E8
1099660525569,1.81818855E8
1099661574145,1.83099002E8
1099662622721,1.8437933E8
1099663671297,1.85659363E8
1099664719873,1.86940069E8
1099665768449,1.88220366E8
1099666817025,1.89500492E8
1099667865601,1.90780945E8
1099668914177,1.9206125E8
1099669962753,1.93341379E8
1099671011329,1.94621905E8
1099672059905,1.95902069E8
1099673108481,1.97182519E8
1099674157057,1.98462746E8
1099675205633,1.99742984E8
1099676254209,2.01023187E8
1099677302785,2.02303719E8
1099678351361,2.0358429E8
1099679399937,2.04864286E8
1099680448513,2.0614482E8
1099681497089,2.0742522E8
1099682545665,2.08705442E8
1099683594241,2.099856E8
1099684642817,2.11265777E8
1099685691393,2.12546419E8
1099686739969,2.13826462E8
1099687788545,2.15106979E8
1099688837121,2.16387277E8
1099689885697,2.17667774E8
1099690934273,2.18947591E8
1099691982849,2.20228249E8
1099693031425,2.21508383E8
1099694080001,2.22788838E8
1099695128577,2.24069233E8
1099696177153,2.25349533E8
1099697225729,2.26630037E8
1099698274305,2.27910158E8
1099699322881,2.29190401E8
1099700371457,2.30470662E8
1099701420033,2.31751163E8
1099702468609,2.33031272E8
1099703517185,2.34311801E8
1099704565761,2.35592102E8
1099705614337,2.3687251E8
1099706662913,2.38152757E8
1099707711489,2.39432995E8
1099708760065,2.40713324E8
1099709808641,2.41993647E8
1099710857217,2.43274146E8
1099711905793,2.44554121E8
1099712954369,2.45834402E8
1099714002945,2.47114965E8
1099715051521,2.4839527E8
1099716100097,2.49675399E8
1099717148673,2.50955779E8
1099718197249,2.52236111E8
1099719245825,2.53516693E8
1099720294401,2.5479691E8
1099721342977,2.56077223E8
1099722391553,2.57357586E8
1099723440129,2.58637453E8
1099724488705,2.5991816E8
1099725537281,2.61198476E8
1099726585857,2.62478623E8
1099727634433,2.63758792E8
1099728683009,2.65039353E8
1099729731585,2.66319742E8
1099730780161,2.67600108E8
1099731828737,2.68880393E8
1099732877313,2.70160738E8
1099733925889,2.71440978E8
1099734974465,2.72721325E8
1099736023041,2.74001677E8
1099737071617,2.75281795E8
1099738120193,2.76562189E8
1099739168769,2.77842491E8
1099740217345,2.79123031E8
1099741265921,2.80403191E8
1099742314497,2.81683477E8
1099743363073,2.82963505E8
1099744411649,2.84244306E8
1099745460225,2.85524389E8
1099746508801,2.86804666E8
1099747557377,2.88084983E8
1099748605953,2.89365472E8
1099749654529,2.90645477E8
1099750703105,2.91925861E8
1099751751681,2.93206471E8
1099752800257,2.94486687E8
1099753848833,2.95766838E8
1099754897409,2.97047374E8
1099755945985,2.98327514E8
1099756994561,2.99607903E8
1099758043137,3.00888276E8
1099759091713,3.02168339E8
1099760140289,3.03448921E8
1099761188865,3.04729473E8
1099762237441,3.06009353E8
1099763286017,3.07289736E8
1099764334593,3.08570218E8
1099765383169,3.09850423E8
1099766431745,3.11130795E8
1099767480321,3.12411196E8
1099768528897,3.13691278E8
1099769577473,3.14971661E8
1099770626049,3.16251819E8
1099771674625,3.17532561E8
1099772723201,3.18812518E8
1099773771777,3.20092983E8
1099774820353,3.2137333E8
1099775868929,3.22653808E8
1099776917505,3.23934054E8
1099777966081,3.25214269E8
1099779014657,3.26494703E8
1099780063233,3.27774781E8
1099781111809,3.29066911E8
1099782160385,3.30347261E8
1099783208961,3.3162769E8
1099784257537,3.32907961E8
1099785306113,3.34188081E8
1099786354689,3.35468467E8
1099787403265,3.36748843E8
1099788451841,3.38029124E8
1099789500417,3.39309571E8
1099790548993,3.40589809E8
1099791597569,3.41870001E8
1099792646145,3.43150332E8
1099793694721,3.44430983E8
1099794743297,3.45711324E8
1099795791873,3.46991362E8
1099796840449,3.48271825E8
1099797889025,3.49552125E8
1099798937601,3.50832299E8
1099799986177,3.52112828E8
1099801034753,3.5339295E8
1099802083329,3.54673321E8
1099803131905,3.55953707E8
1099804180481,3.57234031E8
1099805229057,3.58514473E8
1099806277633,3.59794325E8
1099807326209,3.61075134E8
1099808374785,3.623553E8
1099809423361,3.63635677E8
1099810471937,3.64916027E8
1099811520513,3.6619627E8
1099812569089,3.67476696E8
1099813617665,3.68756902E8
1099814666241,3.70037313E8
1099815714817,3.7131752E8
1099816763393,3.72597735E8
1099817811969,3.73878209E8
1099818860545,3.75158567E8
1099819909121,3.76438731E8
1099820957697,3.77719181E8
1099822006273,3.78999518E8
1099823054849,3.80279938E8
1099824103425,3.81560029E8
1099825152001,3.82840602E8
1099826200577,3.84121052E8
1099827249153,3.85400926E8
1099828297729,3.86681399E8
1099829346305,3.87961895E8
1099830394881,3.89242105E8
1099831443457,3.90522229E8
1099832492033,3.91802707E8
1099833540609,3.93083154E8
