LINE,
1099512676353,1322893.0
1099513724929,2603378.0
1099514773505,3895600.0
1099515822081,5175604.0
1099516870657,6467718.0
1099517919233,7748386.0
1099518967809,9040163.0
1099520016385,1.0320843E7
1099521064961,1.1612777E7
1099522113537,1.2893146E7
1099523162113,1.4185302E7
1099524210689,1.5465793E7
1099525259265,1.6757711E7
1099526307841,1.8038187E7
1099527356417,1.933026E7
1099528404993,2.0610315E7
1099529453569,2.1902437E7
1099530502145,2.3182842E7
1099531550721,2.447494E7
1099532599297,2.5755366E7
1099533647873,2.7047518E7
1099534696449,2.8327541E7
1099535745025,2.9619672E7
1099536793601,3.0899945E7
1099537842177,3.2191968E7
1099538890753,3.347225E7
1099539939329,3.4764323E7
1099540987905,3.6044774E7
1099542036481,3.733679E7
1099543085057,3.8617093E7
1099544133633,3.9909092E7
1099545182209,4.118961E7
1099546230785,4.2481531E7
1099547279361,4.3762173E7
1099548327937,4.5054334E7
1099549376513,4.6334714E7
1099550425089,4.7626767E7
1099551473665,4.8906827E7
1099552522241,5.0198948E7
1099553570817,5.1479598E7
1099554619393,5.27715E7
1099555667969,5.4051851E7
1099556716545,5.5343907E7
1099557765121,5.6624488E7
1099558813697,5.7916378E7
1099559862273,5.9196795E7
1099560910849,6.0488939E7
1099561959425,6.1769194E7
1099563008001,6.3061396E7
1099564056577,6.4341677E7
1099565105153,6.5633735E7
1099566153729,6.6913977E7
1099567202305,6.8206069E7
1099568250881,6.9486505E7
1099569299457,7.0778491E7
1099570348033,7.2059051E7
1099571396609,7.3351119E7
1099572445185,7.4631227E7
1099573493761,7.5923361E7
1099574542337,7.7203862E7
1099575590913,7.8495691E7
1099576639489,7.9776262E7
1099577688065,8.1068305E7
1099578736641,8.2348718E7
1099579785217,8.3640695E7
1099580833793,8.4920874E7
1099581882369,8.6213016E7
1099582930945,8.749364E7
1099583979521,8.8785531E7
1099585028097,9.0065734E7
1099586076673,9.1357895E7
1099587125249,9.263813E7
1099588173825,9.3930163E7
1099589222401,9.5211121E7
1099590270977,9.6502843E7
1099591319553,9.7783616E7
1099592368129,9.9075571E7
1099593416705,1.00356057E8
1099594465281,1.01648184E8
1099595513857,1.02928723E8
1099596562433,1.04220779E8
1099597611009,1.05501259E8
1099598659585,1.06793051E8
1099599708161,1.08073687E8
1099600756737,1.0936562E8
1099601805313,1.1064591E8
1099602853889,1.11937982E8
1099603902465,1.13218379E8
1099604951041,1.14510462E8
1099605999617,1.15790776E8
1099607048193,1.17082789E8
1099608096769,1.18362958E8
1099609145345,1.19655133E8
1099610193921,1.20935326E8
1099611242497,1.2222737E8
1099612291073,1.23507722E8
1099613339649,1.24799852E8
1099614388225,1.260802E8
1099615436801,1.27372314E8
1099616485377,1.28652715E8
1099617533953,1.29944742E8
1099618582529,1.31225117E8
1099619631105,1.32517004E8
1099620679681,1.33797755E8
1099621728257,1.35089705E8
1099622776833,1.36369977E8
1099623825409,1.37661938E8
1099624873985,1.38942319E8
1099625922561,1.40234483E8
1099626971137,1.41514688E8
1099628019713,1.42806866E8
1099629068289,1.44087046E8
1099630116865,1.45379096E8
1099631165441,1.46659438E8
1099632214017,1.47951439E8
1099633262593,1.49231729E8
1099634311169,1.50523847E8
1099635359745,1.51804252E8
1099636408321,1.53096239E8
1099637456897,1.54376732E8
1099638505473,1.55668729E8
1099639554049,1.569492E8
1099640602625,1.58241324E8
1099641651201,1.59521602E8
1099642699777,1.6081375E8
1099643748353,1.62094328E8
1099644796929,1.63386363E8
1099645845505,1.646668E8
1099646894081,1.65958864E8
1099647942657,1.67239134E8
1099648991233,1.6853126E8
1099650039809,1.69811412E8
1099651088385,1.71103662E8
1099652136961,1.72383748E8
1099653185537,1.73676021E8
1099654234113,1.74956495E8
1099655282689,1.76248359E8
1099656331265,1.77528941E8
1099657379841,1.78821171E8
1099658428417,1.80101481E8
1099659476993,1.8139337E8
1099660525569,1.82674048E8
1099661574145,1.83966105E8
1099662622721,1.85246433E8
1099663671297,1.86538291E8
1099664719873,1.87818997E8
1099665768449,1.89111043E8
1099666817025,1.90391169E8
1099667865601,1.91683323E8
1099668914177,1.92963628E8
1099669962753,1.94255612E8
1099671011329,1.95536138E8
1099672059905,1.96828133E8
1099673108481,1.98108583E8
1099674157057,1.99400555E8
1099675205633,2.00680793E8
1099676254209,2.01972899E8
1099677302785,2.03253431E8
1099678351361,2.04545755E8
1099679399937,2.05825751E8
1099680448513,2.07117963E8
1099681497089,2.08398363E8
1099682545665,2.09690297E8
1099683594241,2.10970455E8
1099684642817,2.1226249E8
1099685691393,2.13543132E8
1099686739969,2.14835089E8
1099687788545,2.16115606E8
1099688837121,2.17407669E8
1099689885697,2.18688166E8
1099690934273,2.19979949E8
1099691982849,2.21260607E8
