LINE,
17592187092993,1599362.0
17592188141569,3198808.0
17592189190145,4797937.0
17592190238721,6397001.0
17592191287297,7996661.0
17592192335873,9596098.0
17592193384449,1.1195533E7
17592194433025,1.2794809E7
17592195481601,1.4394114E7
17592196530177,1.5993286E7
17592197578753,1.7592789E7
17592198627329,1.9191933E7
17592199675905,2.0791583E7
17592200724481,2.239071E7
17592201773057,2.3990367E7
17592202821633,2.5589826E7
17592203870209,2.718894E7
17592204918785,2.8788261E7
17592205967361,3.0387385E7
17592207015937,3.1987104E7
17592208064513,3.3586349E7
17592209113089,3.5185564E7
17592210161665,3.6784946E7
17592211210241,3.8384437E7
17592212258817,3.9983546E7
17592213307393,4.1583375E7
17592214355969,4.3182772E7
17592215404545,4.4781858E7
17592216453121,4.6381023E7
17592217501697,4.7980465E7
17592218550273,4.9579759E7
17592219598849,5.1178918E7
17592220647425,5.2779002E7
17592221696001,5.4378207E7
17592222744577,5.5977403E7
17592223793153,5.7576542E7
17592224841729,5.9175802E7
17592225890305,6.0775136E7
17592226938881,6.2374561E7
17592227987457,6.3974339E7
17592229036033,6.5573406E7
17592230084609,6.7173034E7
17592231133185,6.8772032E7
17592232181761,7.0371259E7
17592233230337,7.1970664E7
17592234278913,7.3570151E7
17592235327489,7.5169855E7
17592236376065,7.6769227E7
17592237424641,7.836795E7
17592238473217,7.9967626E7
17592239521793,8.156712E7
17592240570369,8.3166281E7
17592241618945,8.4765732E7
17592242667521,8.6365028E7
17592243716097,8.7964477E7
17592244764673,8.9564075E7
17592245813249,9.1163138E7
17592246861825,9.2762594E7
17592247910401,9.4362159E7
17592248958977,9.5960934E7
17592250007553,9.75603E7
17592251056129,9.9160108E7
17592252104705,1.00759427E8
17592253153281,1.0235863E8
17592254201857,1.03957843E8
17592255250433,1.05557425E8
17592256299009,1.07156892E8
17592257347585,1.08755686E8
17592258396161,1.10355335E8
17592259444737,1.11954951E8
17592260493313,1.1355425E8
17592261541889,1.15153611E8
17592262590465,1.16752815E8
17592263639041,1.18352486E8
17592264687617,1.19951723E8
17592265736193,1.21550859E8
17592266784769,1.23150233E8
17592267833345,1.24749588E8
17592268881921,1.26349273E8
17592269930497,1.27948532E8
17592270979073,1.29547577E8
17592272027649,1.31146968E8
17592273076225,1.32746493E8
17592274124801,1.34345964E8
17592275173377,1.35945048E8
17592276221953,1.37544372E8
17592277270529,1.39143905E8
17592278319105,1.40743472E8
17592279367681,1.4234262E8
17592280416257,1.43942132E8
17592281464833,1.45541176E8
17592282513409,1.47140607E8
17592283561985,1.48740026E8
