LINE,
4503599628419073,1434663.0
4503599629467649,2869865.0
4503599630516225,4304430.0
4503599631564801,5738766.0
4503599632613377,7173436.0
4503599633661953,8607484.0
4503599634710529,1.0042541E7
4503599635759105,1.147654E7
4503599636807681,1.2910792E7
4503599637856257,1.4345616E7
4503599638904833,1.5780509E7
4503599639953409,1.7214528E7
4503599641001985,1.8648417E7
4503599642050561,2.0083638E7
4503599643099137,2.1517534E7
4503599644147713,2.2952047E7
4503599645196289,2.4386397E7
4503599646244865,2.5820594E7
4503599647293441,2.7254916E7
4503599648342017,2.868931E7
4503599649390593,3.0123957E7
4503599650439169,3.1558382E7
4503599651487745,3.2992605E7
4503599652536321,3.4427424E7
4503599653584897,3.5861726E7
4503599654633473,3.7296667E7
4503599655682049,3.8730619E7
4503599656730625,4.0165472E7
4503599657779201,4.1599857E7
4503599658827777,4.3033802E7
4503599659876353,4.446815E7
4503599660924929,4.5903962E7
4503599661973505,4.7338834E7
4503599663022081,4.877342E7
4503599664070657,5.0207945E7
4503599665119233,5.1642676E7
4503599666167809,5.3077007E7
4503599667216385,5.4511211E7
4503599668264961,5.594553E7
4503599669313537,5.7379845E7
4503599670362113,5.8814071E7
4503599671410689,6.0248178E7
4503599672459265,6.1683235E7
4503599673507841,6.3118081E7
4503599674556417,6.4553104E7
4503599675604993,6.598674E7
4503599676653569,6.7422089E7
4503599677702145,6.8856172E7
4503599678750721,7.0291679E7
4503599679799297,7.1725735E7
4503599680847873,7.3160166E7
4503599681896449,7.4594635E7
4503599682945025,7.6028911E7
4503599683993601,7.7463894E7
4503599685042177,7.8898176E7
4503599686090753,8.0332491E7
4503599687139329,8.176734E7
4503599688187905,8.3201564E7
4503599689236481,8.4635987E7
4503599690285057,8.6070316E7
4503599691333633,8.7504515E7
4503599692382209,8.8939035E7
4503599693430785,9.0373017E7
4503599694479361,9.1808133E7
4503599695527937,9.3242565E7
4503599696576513,9.4677244E7
4503599697625089,9.6111485E7
4503599698673665,9.7546166E7
4503599699722241,9.8980534E7
4503599700770817,1.00415328E8
4503599701819393,1.01849677E8
4503599702867969,1.03283878E8
4503599703916545,1.04718716E8
4503599704965121,1.0615355E8
4503599706013697,1.07588133E8
4503599707062273,1.09022992E8
4503599708110849,1.10457329E8
4503599709159425,1.11892002E8
4503599710208001,1.13326475E8
4503599711256577,1.14761128E8
4503599712305153,1.16195835E8
4503599713353729,1.17630747E8
4503599714402305,1.19065061E8
4503599715450881,1.20499532E8
4503599716499457,1.21933754E8
4503599717548033,1.23368078E8
4503599718596609,1.24802434E8
4503599719645185,1.2623692E8
4503599720693761,1.27671735E8
4503599721742337,1.2910591E8
4503599722790913,1.30540416E8
4503599723839489,1.31974924E8
4503599724888065,1.33408467E8
4503599725936641,1.34843464E8
4503599726985217,1.36277653E8
4503599728033793,1.37712494E8
4503599729082369,1.39147291E8
4503599730130945,1.40582075E8
4503599731179521,1.42016515E8
4503599732228097,1.43450227E8
4503599733276673,1.44884695E8
4503599734325249,1.46319045E8
4503599735373825,1.47753769E8
4503599736422401,1.49187448E8
4503599737470977,1.50621916E8
4503599738519553,1.52056529E8
4503599739568129,1.53491307E8
4503599740616705,1.54926316E8
4503599741665281,1.56360878E8
4503599742713857,1.57795295E8
4503599743762433,1.59229885E8
4503599744811009,1.60663981E8
4503599745859585,1.62098944E8
4503599746908161,1.63533018E8
4503599747956737,1.64967484E8
4503599749005313,1.66401964E8
4503599750053889,1.67836221E8
4503599751102465,1.69270824E8
4503599752151041,1.70705631E8
4503599753199617,1.72139847E8
4503599754248193,1.73574906E8
4503599755296769,1.75008586E8
4503599756345345,1.76443207E8
4503599757393921,1.77878135E8
4503599758442497,1.79312699E8
4503599759491073,1.80746854E8
4503599760539649,1.82181754E8
4503599761588225,1.83615982E8
4503599762636801,1.8505049E8
4503599763685377,1.86485227E8
4503599764733953,1.87919995E8
4503599765782529,1.89354071E8
4503599766831105,1.90788452E8
4503599767879681,1.92223211E8
4503599768928257,1.93657521E8
4503599769976833,1.95092097E8
4503599771025409,1.9652691E8
4503599772073985,1.97961519E8
4503599773122561,1.99395428E8
4503599774171137,2.0083022E8
4503599775219713,2.02264404E8
4503599776268289,2.03698704E8
4503599777316865,2.05133783E8
4503599778365441,2.06568718E8
4503599779414017,2.08002849E8
4503599780462593,2.09436834E8
4503599781511169,2.10871573E8
4503599782559745,2.12305404E8
4503599783608321,2.13740148E8
4503599784656897,2.15174522E8
4503599785705473,2.16609445E8
4503599786754049,2.18043583E8
4503599787802625,2.1947798E8
4503599788851201,2.20912236E8
4503599789899777,2.22346747E8
4503599790948353,2.23781699E8
4503599791996929,2.2521609E8
4503599793045505,2.26650727E8
4503599794094081,2.28086085E8
4503599795142657,2.29520718E8
4503599796191233,2.30954867E8
4503599797239809,2.32389673E8
4503599798288385,2.33823617E8
4503599799336961,2.35257835E8
4503599800385537,2.36692842E8
4503599801434113,2.38126653E8
4503599802482689,2.39561319E8
4503599803531265,2.40996147E8
4503599804579841,2.42431251E8
4503599805628417,2.43865726E8
4503599806676993,2.4530026E8
4503599807725569,2.46734689E8
4503599808774145,2.48168784E8
4503599809822721,2.49602489E8
4503599810871297,2.51036786E8
4503599811919873,2.52470936E8
4503599812968449,2.53905251E8
4503599814017025,2.55340165E8
4503599815065601,2.56775098E8
4503599816114177,2.58209349E8
4503599817162753,2.59643956E8
4503599818211329,2.61078367E8
4503599819259905,2.62513066E8
4503599820308481,2.63947276E8
4503599821357057,2.65382019E8
4503599822405633,2.66816423E8
4503599823454209,2.68250709E8
4503599824502785,2.69685227E8
4503599825551361,2.71119861E8
4503599826599937,2.72555076E8
4503599827648513,2.73989863E8
4503599828697089,2.75424504E8
4503599829745665,2.76859318E8
4503599830794241,2.78293866E8
4503599831842817,2.79728561E8
4503599832891393,2.81163289E8
4503599833939969,2.8259796E8
4503599834988545,2.84032528E8
4503599836037121,2.85466676E8
4503599837085697,2.86900875E8
4503599838134273,2.88335197E8
4503599839182849,2.89770517E8
4503599840231425,2.9120466E8
4503599841280001,2.92639341E8
4503599842328577,2.94074016E8
4503599843377153,2.95508374E8
4503599844425729,2.96942764E8
4503599845474305,2.98376649E8
4503599846522881,2.99810768E8
4503599847571457,3.01245589E8
4503599848620033,3.02679603E8
4503599849668609,3.04114463E8
4503599850717185,3.05548321E8
4503599851765761,3.06982579E8
4503599852814337,3.08417468E8
4503599853862913,3.09851847E8
4503599854911489,3.11286343E8
4503599855960065,3.12720423E8
4503599857008641,3.14154981E8
4503599858057217,3.1558957E8
4503599859105793,3.17023812E8
4503599860154369,3.18458512E8
4503599861202945,3.19893113E8
4503599862251521,3.21326971E8
4503599863300097,3.22761403E8
4503599864348673,3.24196428E8
4503599865397249,3.25630894E8
4503599866445825,3.27065863E8
4503599867494401,3.28500715E8
4503599868542977,3.29935275E8
4503599869591553,3.31369489E8
4503599870640129,3.32803557E8
4503599871688705,3.34238214E8
4503599872737281,3.35672866E8
4503599873785857,3.37107689E8
4503599874834433,3.38542278E8
4503599875883009,3.39976965E8
4503599876931585,3.41411262E8
4503599877980161,3.42846089E8
4503599879028737,3.44280255E8
4503599880077313,3.45714396E8
4503599881125889,3.47149318E8
4503599882174465,3.48584169E8
4503599883223041,3.50017986E8
4503599884271617,3.5145269E8
4503599885320193,3.5288769E8
4503599886368769,3.54321217E8
4503599887417345,3.55755804E8
4503599888465921,3.57189968E8
4503599889514497,3.58624149E8
4503599890563073,3.60058133E8
4503599891611649,3.61492795E8
4503599892660225,3.62927219E8
4503599893708801,3.64361568E8
4503599894757377,3.65796341E8
4503599895805953,3.67231507E8
4503599896854529,3.68666075E8
4503599897903105,3.70100534E8
4503599898951681,3.71535637E8
4503599900000257,3.72969959E8
4503599901048833,3.74404527E8
4503599902097409,3.75838711E8
4503599903145985,3.77273216E8
4503599904194561,3.78707611E8
4503599905243137,3.80143012E8
4503599906291713,3.81577364E8
4503599907340289,3.83011586E8
4503599908388865,3.84446401E8
4503599909437441,3.85880923E8
4503599910486017,3.87315288E8
4503599911534593,3.88749604E8
4503599912583169,3.90184103E8
4503599913631745,3.91618366E8
4503599914680321,3.93053257E8
4503599915728897,3.94487206E8
4503599916777473,3.95921815E8
4503599917826049,3.97356298E8
4503599918874625,3.98791034E8
4503599919923201,4.00226071E8
4503599920971777,4.01660466E8
4503599922020353,4.03094827E8
4503599923068929,4.04529239E8
4503599924117505,4.05963329E8
4503599925166081,4.07398347E8
4503599926214657,4.08832817E8
4503599927263233,4.1026691E8
4503599928311809,4.11701573E8
4503599929360385,4.13136272E8
4503599930408961,4.14570993E8
4503599931457537,4.1600533E8
4503599932506113,4.17439695E8
4503599933554689,4.18873009E8
4503599934603265,4.20307671E8
4503599935651841,4.21742154E8
4503599936700417,4.23176228E8
4503599937748993,4.24611117E8
4503599938797569,4.260454E8
4503599939846145,4.27480704E8
4503599940894721,4.28914637E8
4503599941943297,4.3034964E8
4503599942991873,4.31784166E8
4503599944040449,4.33217911E8
4503599945089025,4.34652534E8
4503599946137601,4.36086893E8
4503599947186177,4.37521509E8
4503599948234753,4.38955939E8
4503599949283329,4.40391069E8
4503599950331905,4.41826101E8
4503599951380481,4.43260107E8
4503599952429057,4.44694278E8
4503599953477633,4.46129561E8
4503599954526209,4.47564662E8
4503599955574785,4.48999324E8
4503599956623361,4.50433867E8
4503599957671937,4.51867497E8
4503599958720513,4.53301574E8
4503599959769089,4.54736099E8
4503599960817665,4.56170946E8
4503599961866241,4.57605059E8
4503599962914817,4.59039574E8
4503599963963393,4.60474459E8
4503599965011969,4.61908566E8
4503599966060545,4.63342881E8
4503599967109121,4.64777324E8
4503599968157697,4.66211217E8
4503599969206273,4.67645894E8
4503599970254849,4.6908099E8
4503599971303425,4.70515948E8
4503599972352001,4.71949998E8
4503599973400577,4.7338488E8
4503599974449153,4.74818772E8
4503599975497729,4.76253633E8
4503599976546305,4.77687904E8
4503599977594881,4.79122984E8
4503599978643457,4.80557338E8
4503599979692033,4.81991864E8
4503599980740609,4.83426184E8
4503599981789185,4.8486079E8
4503599982837761,4.86295241E8
4503599983886337,4.87729849E8
4503599984934913,4.89164388E8
4503599985983489,4.90598777E8
4503599987032065,4.92033257E8
4503599988080641,4.9346744E8
4503599989129217,4.94901559E8
4503599990177793,4.96335777E8
4503599991226369,4.97770682E8
4503599992274945,4.99205413E8
4503599993323521,5.00639615E8
4503599994372097,5.02074491E8
4503599995420673,5.03509073E8
4503599996469249,5.04943862E8
4503599997517825,5.06378473E8
4503599998566401,5.07813251E8
4503599999614977,5.09248145E8
4503600000663553,5.10682174E8
4503600001712129,5.12116849E8
4503600002760705,5.13551591E8
4503600003809281,5.14986311E8
4503600004857857,5.16420427E8
4503600005906433,5.17855135E8
4503600006955009,5.1928955E8
4503600008003585,5.20723975E8
4503600009052161,5.22159073E8
4503600010100737,5.23593607E8
4503600011149313,5.25028023E8
4503600012197889,5.26462064E8
4503600013246465,5.27896936E8
4503600014295041,5.29331593E8
4503600015343617,5.30765888E8
4503600016392193,5.32199969E8
4503600017440769,5.33634386E8
4503600018489345,5.35068924E8
4503600019537921,5.36503166E8
4503600020586497,5.37938184E8
4503600021635073,5.39372444E8
4503600022683649,5.40806537E8
4503600023732225,5.42241115E8
4503600024780801,5.43675904E8
4503600025829377,5.45110249E8
4503600026877953,5.46543921E8
4503600027926529,5.47978719E8
4503600028975105,5.49413225E8
4503600030023681,5.50847511E8
4503600031072257,5.52281588E8
4503600032120833,5.53715867E8
4503600033169409,5.55151108E8
4503600034217985,5.56585629E8
4503600035266561,5.58020069E8
4503600036315137,5.59454047E8
4503600037363713,5.60888215E8
4503600038412289,5.62322397E8
4503600039460865,5.63757033E8
4503600040509441,5.65191857E8
4503600041558017,5.66626271E8
4503600042606593,5.68060502E8
4503600043655169,5.69494948E8
4503600044703745,5.70929684E8
4503600045752321,5.72363926E8
4503600046800897,5.73798071E8
4503600047849473,5.75232189E8
4503600048898049,5.76666872E8
4503600049946625,5.78101925E8
4503600050995201,5.79536438E8
4503600052043777,5.80970697E8
4503600053092353,5.82405356E8
4503600054140929,5.83840757E8
4503600055189505,5.85274946E8
4503600056238081,5.86709078E8
4503600057286657,5.88143156E8
4503600058335233,5.8957792E8
4503600059383809,5.91012729E8
4503600060432385,5.92447306E8
4503600061480961,5.93882056E8
4503600062529537,5.9531677E8
4503600063578113,5.96751484E8
4503600064626689,5.9818545E8
4503600065675265,5.99620166E8
4503600066723841,6.01054511E8
4503600067772417,6.02489214E8
4503600068820993,6.03923992E8
4503600069869569,6.05358409E8
4503600070918145,6.06792881E8
4503600071966721,6.08227178E8
4503600073015297,6.09661135E8
4503600074063873,6.1109592E8
4503600075112449,6.12530933E8
4503600076161025,6.13965429E8
4503600077209601,6.15400144E8
4503600078258177,6.16835203E8
4503600079306753,6.18269452E8
4503600080355329,6.19704026E8
4503600081403905,6.21138621E8
4503600082452481,6.22572976E8
4503600083501057,6.24007139E8
4503600084549633,6.2544163E8
4503600085598209,6.26876054E8
4503600086646785,6.28310686E8
4503600087695361,6.29745241E8
4503600088743937,6.31179722E8
4503600089792513,6.3261454E8
4503600090841089,6.34048982E8
4503600091889665,6.35483863E8
4503600092938241,6.36918146E8
4503600093986817,6.38352987E8
4503600095035393,6.39786923E8
4503600096083969,6.41221794E8
4503600097132545,6.42656591E8
4503600098181121,6.44090814E8
4503600099229697,6.45525127E8
4503600100278273,6.46959766E8
